$ Get data for 692:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:30:46 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA692           Pigtail Peak
WA692       0800  20     52.00
WA692       0800  21     64.00
WA692       0800  22     72.00
WA692       0800  23     78.00
WA692       0800  24     66.00
WA692       0800  25     59.00
WA692       0800  26     48.00
WA692       0800  27     49.00
WA692       0800  28     63.00
WA692       0800  29     54.00
WA692       0800  30     59.00
WA692       0800  31     47.00
WA692       0900   1     43.00
WA692       0900   2     43.00
WA692       0900   3     44.00
WA692       0900   4     48.00
WA692       0900   5     46.00
WA692       0900   6     51.00
WA692       0900   7     57.00
WA692       0900   8     41.00
WA692       0900   9     40.00
WA692       0900  10     45.00
WA692       0900  11     58.00
WA692       0900  12     63.00
WA692       0900  13     74.00
WA692       0900  14     78.00
WA692       0900  15     58.00
WA692       0900  16     60.00
WA692       0900  17     65.00
WA692       0900  18     52.00
WA692       0900  19     60.00
WA692       0900  20     51.00
WA692       0900  21     39.00
WA692       0900  22     36.00
WA692       0900  23     51.00
WA692       0900  24     55.00
WA692       0900  25     62.00
WA692       0900  26     66.00
WA692       0900  27     68.00
WA692       0900  28     56.00
WA692       0900  29     46.00
WA692       0900  30     47.00
WA692       1000   1     44.00
WA692       1000   2     39.00
WA692       1000   3     46.00
WA692       1000   4     51.00
WA692       1000   5     44.00
WA692       1000   6     47.00
WA692       1000   7     60.00
WA692       1000   8     59.00
WA692       1000   9     45.00
WA692       1000  10     37.00
WA692       1000  11     55.00
WA692       1000  12     40.00
WA692       1000  13     40.00
WA692       1000  14     38.00
WA692       1000  15     44.00
WA692       1000  16     43.00
WA692       1000  17     53.00
WA692       1000  18     42.00
WA692       1000  19     47.00
WA692       1000  20     44.00
WA692       1000  21     31.00
WA692       1000  22     45.00
WA692       1000  23     45.00
WA692       1000  24     50.00
WA692       1000  25     42.00
WA692       1000  26     38.00
WA692       1000  27     38.00
WA692       1000  28     35.00
WA692       1000  29     33.00
WA692       1000  30     41.00
WA692       1000  31     31.00
WA692       1100   1     40.00
WA692       1100   2     41.00
WA692       1100   3     54.00
WA692       1100   4     44.00
WA692       1100   5     28.00
WA692       1100   6     32.00
WA692       1100   7     36.00
WA692       1100   8     29.00
WA692       1100   9     23.00
WA692       1100  10     18.00
WA692       1100  11     23.00
WA692       1100  12     36.00
WA692       1100  13     18.00
WA692       1100  14     25.00
WA692       1100  15     33.00
WA692       1100  16     34.00
WA692       1100  17     30.00
WA692       1100  18     44.00
WA692       1100  19     39.00
WA692       1100  20     31.00
WA692       1100  21     34.00
WA692       1100  22     48.00
WA692       1100  23     40.00
WA692       1100  24     32.00
WA692       1100  25     31.00
WA692       1100  26     31.00
WA692       1100  27     26.00
WA692       1100  28     24.00
WA692       1100  29     27.00
WA692       1100  30     32.00
WA692       1200   1     35.00
WA692       1200   2     33.00
WA692       1200   3     36.00
WA692       1200   4     46.00
