$ Get data for 824:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:42:17 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA824           Touchet
WA824       0800  21     67.00
WA824       0800  22     76.00
WA824       0800  23     87.00
WA824       0800  24     79.00
WA824       0800  25     76.00
WA824       0800  26     62.00
WA824       0800  27     61.00
WA824       0800  28     65.00
WA824       0800  29     67.00
WA824       0800  30     62.00
WA824       0800  31     62.00
WA824       0900   1     47.00
WA824       0900   2     45.00
WA824       0900   3     56.00
WA824       0900   4     48.00
WA824       0900   5     52.00
WA824       0900   6     57.00
WA824       0900   7     65.00
WA824       0900   8     49.00
WA824       0900   9     51.00
WA824       0900  10     46.00
WA824       0900  11     60.00
WA824       0900  12     71.00
WA824       0900  13     73.00
WA824       0900  14     85.00
WA824       0900  15     68.00
WA824       0900  16     67.00
WA824       0900  17     72.00
WA824       0900  18     63.00
WA824       0900  19     60.00
WA824       0900  20     60.00
WA824       0900  21     48.00
WA824       0900  22     38.00
WA824       0900  23     47.00
WA824       0900  24     60.00
WA824       0900  25     65.00
WA824       0900  26     66.00
WA824       0900  27     73.00
WA824       0900  28     67.00
WA824       0900  29     50.00
WA824       0900  30     50.00
WA824       1000   1     48.00
WA824       1000   2     44.00
WA824       1000   3     46.00
WA824       1000   4     49.00
WA824       1000   5     52.00
WA824       1000   6     60.00
WA824       1000   7     64.00
WA824       1000   8     68.00
WA824       1000   9     60.00
WA824       1000  10     40.00
WA824       1000  11     43.00
WA824       1000  12     45.00
WA824       1000  13     40.00
WA824       1000  14     43.00
WA824       1000  15     54.00
WA824       1000  16     55.00
WA824       1000  17     61.00
WA824       1000  18     48.00
WA824       1000  19     53.00
WA824       1000  20     51.00
WA824       1000  21     32.00
WA824       1000  22     42.00
WA824       1000  23     55.00
WA824       1000  24     53.00
WA824       1000  25     54.00
WA824       1000  26     45.00
WA824       1000  27     43.00
WA824       1000  28     39.00
WA824       1000  29     40.00
WA824       1000  30     38.00
WA824       1000  31     35.00
WA824       1100   1     37.00
WA824       1100   2     40.00
WA824       1100   3     42.00
WA824       1100   4     36.00
WA824       1100   5     28.00
WA824       1100   6     31.00
WA824       1100   7     35.00
WA824       1100   8     27.00
WA824       1100   9     25.00
WA824       1100  10     19.00
WA824       1100  11     21.00
WA824       1100  12     20.00
WA824       1100  13     29.00
WA824       1100  14     27.00
WA824       1100  15     28.00
WA824       1100  16     29.00
WA824       1100  17     29.00
WA824       1100  18     35.00
WA824       1100  19     39.00
WA824       1100  20     39.00
WA824       1100  21     41.00
WA824       1100  22     49.00
WA824       1100  23     43.00
WA824       1100  24     31.00
WA824       1100  25     32.00
WA824       1100  26     32.00
WA824       1100  27     30.00
WA824       1100  28     28.00
WA824       1100  29     32.00
WA824       1100  30     34.00
WA824       1200   1     37.00
WA824       1200   2     36.00
WA824       1200   3     38.00
WA824       1200   4     43.00
WA824       1200   5     44.00
WA824       1200   6     49.00
WA824       1200   7     39.00
WA824       1200   8     35.00
WA824       1200   9     29.00
WA824       1200  10     20.00
WA824       1200  11     18.00
WA824       1200  12     18.00
WA824       1200  13     25.00
WA824       1200  14     29.00
WA824       1200  15     25.00
WA824       1200  16     36.00
WA824       1200  17     24.00
WA824       1200  18     25.00
WA824       1200  19     36.00
WA824       1200  20     23.00
WA824       1200  21     32.00
WA824       1200  22     30.00
WA824       1200  23     31.00
WA824       1200  24     28.00
WA824       1200  25     32.00
WA824       1200  26     36.00
WA824       1200  27     37.00
WA824       1200  28     41.00
WA824       1200  29     40.00
WA824       1200  30     35.00
WA824       1200  31     37.00
WA824       0101   1     42.00
WA824       0101   2     44.00
WA824       0101   3     40.00
WA824       0101   4     45.00
WA824       0101   5     43.00
WA824       0101   6     40.00
WA824       0101   7     37.00
WA824       0101   8     36.00
WA824       0101   9     33.00
WA824       0101  10     33.00
WA824       0101  11     31.00
WA824       0101  12     25.00
WA824       0101  13     28.00
WA824       0101  14     24.00
WA824       0101  15     21.00
WA824       0101  16     32.00
WA824       0101  17     29.00
WA824       0101  18     33.00
WA824       0101  19     32.00
WA824       0101  20     29.00
WA824       0101  21     31.00
WA824       0101  22     36.00
WA824       0101  23     35.00
WA824       0101  24     35.00
WA824       0101  25     27.00
WA824       0101  26     34.00
WA824       0101  27     36.00
WA824       0101  28     45.00
WA824       0101  29     33.00
WA824       0101  30     24.00
WA824       0101  31     31.00
WA824       0201   1     38.00
WA824       0201   2     31.00
WA824       0201   3     30.00
WA824       0201   4     36.00
WA824       0201   5     31.00
WA824       0201   6     21.00
WA824       0201   7     22.00
WA824       0201   8     24.00
WA824       0201   9     20.00
WA824       0201  10     26.00
WA824       0201  11     33.00
WA824       0201  12     34.00
WA824       0201  13     30.00
WA824       0201  14     40.00
WA824       0201  15     29.00
WA824       0201  16     33.00
WA824       0201  17     38.00
WA824       0201  18     38.00
WA824       0201  19     43.00
WA824       0201  20     40.00
WA824       0201  21     38.00
WA824       0201  22     38.00
WA824       0201  23     26.00
WA824       0201  24     37.00
WA824       0201  25     33.00
WA824       0201  26     38.00
WA824       0201  27     35.00
WA824       0201  28     43.00
WA824       0301   1     40.00
WA824       0301   2     31.00
WA824       0301   3     33.00
WA824       0301   4     41.00
WA824       0301   5     48.00
WA824       0301   6     55.00
WA824       0301   7     54.00
