$ Get data for 899:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:41:54 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA899           Tinkham Creek
WA899       0800  21     72.00
WA899       0800  22     81.00
WA899       0800  23     83.00
WA899       0800  24     75.00
WA899       0800  25     62.00
WA899       0800  26     58.00
WA899       0800  27     58.00
WA899       0800  28     70.00
WA899       0800  29     66.00
WA899       0800  30     66.00
WA899       0800  31     56.00
WA899       0900   1     60.00
WA899       0900   2     58.00
WA899       0900   3     57.00
WA899       0900   4     59.00
WA899       0900   5     53.00
WA899       0900   6     59.00
WA899       0900   7     64.00
WA899       0900   8     49.00
WA899       0900   9     46.00
WA899       0900  10     52.00
WA899       0900  11     66.00
WA899       0900  12     72.00
WA899       0900  13     80.00
WA899       0900  14     85.00
WA899       0900  15     66.00
WA899       0900  16     64.00
WA899       0900  17     72.00
WA899       0900  18     56.00
WA899       0900  19     65.00
WA899       0900  20     58.00
WA899       0900  21     49.00
WA899       0900  22     52.00
WA899       0900  23     59.00
WA899       0900  24     63.00
WA899       0900  25     69.00
WA899       0900  26     72.00
WA899       0900  27     77.00
WA899       0900  28     63.00
WA899       0900  29     53.00
WA899       0900  30     54.00
WA899       1000   1     52.00
WA899       1000   2     49.00
WA899       1000   3     54.00
WA899       1000   4     59.00
WA899       1000   5     55.00
WA899       1000   6     57.00
WA899       1000   7     63.00
WA899       1000   8     67.00
WA899       1000   9     50.00
WA899       1000  10     45.00
WA899       1000  11     54.00
WA899       1000  12     47.00
WA899       1000  13     47.00
WA899       1000  14     46.00
WA899       1000  15     47.00
WA899       1000  16     47.00
WA899       1000  17     59.00
WA899       1000  18     47.00
WA899       1000  19     50.00
WA899       1000  20     49.00
WA899       1000  21     42.00
WA899       1000  22     47.00
WA899       1000  23     52.00
WA899       1000  24     54.00
WA899       1000  25     51.00
WA899       1000  26     53.00
WA899       1000  27     49.00
WA899       1000  28     47.00
WA899       1000  29     45.00
WA899       1000  30     47.00
WA899       1000  31     41.00
WA899       1100   1     46.00
WA899       1100   2     46.00
WA899       1100   3     52.00
WA899       1100   4     45.00
WA899       1100   5     38.00
WA899       1100   6     41.00
WA899       1100   7     39.00
WA899       1100   8     35.00
WA899       1100   9     35.00
WA899       1100  10     31.00
WA899       1100  11     34.00
WA899       1100  12     36.00
WA899       1100  13     30.00
WA899       1100  14     34.00
WA899       1100  15     38.00
WA899       1100  16     31.00
WA899       1100  17     31.00
WA899       1100  18     34.00
WA899       1100  19     34.00
WA899       1100  20     34.00
WA899       1100  21     39.00
WA899       1100  22     39.00
WA899       1100  23     32.00
WA899       1100  24     35.00
WA899       1100  25     33.00
WA899       1100  26     33.00
WA899       1100  27     35.00
WA899       1100  28     31.00
WA899       1100  29     33.00
WA899       1100  30     36.00
WA899       1200   1     36.00
WA899       1200   2     36.00
WA899       1200   3     36.00
WA899       1200   4     38.00
WA899       1200   5     41.00
WA899       1200   6     38.00
WA899       1200   7     42.00
WA899       1200   8     32.00
WA899       1200   9     32.00
WA899       1200  10     29.00
WA899       1200  11     20.00
WA899       1200  12     21.00
WA899       1200  13     17.00
WA899       1200  14     33.00
WA899       1200  15     30.00
WA899       1200  16     35.00
WA899       1200  17     32.00
WA899       1200  18     32.00
WA899       1200  19     33.00
WA899       1200  20     27.00
WA899       1200  21     29.00
WA899       1200  22     29.00
WA899       1200  23     30.00
WA899       1200  24     36.00
WA899       1200  25     34.00
WA899       1200  26     36.00
WA899       1200  27     38.00
WA899       1200  28     37.00
WA899       1200  29     35.00
WA899       1200  30     35.00
WA899       1200  31     33.00
WA899       0101   1     34.00
WA899       0101   2     33.00
WA899       0101   3     35.00
WA899       0101   4     38.00
WA899       0101   5     41.00
WA899       0101   6     38.00
WA899       0101   7     35.00
WA899       0101   8     35.00
WA899       0101   9     33.00
WA899       0101  10     37.00
WA899       0101  11     35.00
WA899       0101  12     35.00
WA899       0101  13     33.00
WA899       0101  14     33.00
WA899       0101  15     33.00
WA899       0101  16     30.00
WA899       0101  17     29.00
WA899       0101  18     28.00
WA899       0101  19     34.00
WA899       0101  20     31.00
WA899       0101  21     33.00
WA899       0101  22     34.00
WA899       0101  23     35.00
WA899       0101  24     36.00
WA899       0101  25     34.00
WA899       0101  26     37.00
WA899       0101  27     39.00
WA899       0101  28     23.00
WA899       0101  29     30.00
