$ Get data for 352:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:43:40 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA352           Blewett Pass
WA352       0800  21     73.00
WA352       0800  22     81.00
WA352       0800  23     86.00
WA352       0800  24     82.00
WA352       0800  25     73.00
WA352       0800  26     62.00
WA352       0800  27     62.00
WA352       0800  28     71.00
WA352       0800  29     70.00
WA352       0800  30     71.00
WA352       0800  31     60.00
WA352       0900   1     59.00
WA352       0900   2     58.00
WA352       0900   3     52.00
WA352       0900   4     59.00
WA352       0900   5     60.00
WA352       0900   6     64.00
WA352       0900   7     67.00
WA352       0900   8     51.00
WA352       0900   9     52.00
WA352       0900  10     54.00
WA352       0900  11     68.00
WA352       0900  12     74.00
WA352       0900  13     78.00
WA352       0900  14     83.00
WA352       0900  15     73.00
WA352       0900  16     77.00
WA352       0900  17     80.00
WA352       0900  18     57.00
WA352       0900  19     72.00
WA352       0900  20     63.00
WA352       0900  21     45.00
WA352       0900  22     47.00
WA352       0900  23     56.00
WA352       0900  24     60.00
WA352       0900  25     66.00
WA352       0900  26     69.00
WA352       0900  27     74.00
WA352       0900  28     69.00
WA352       0900  29     59.00
WA352       0900  30     55.00
WA352       1000   1     55.00
WA352       1000   2     54.00
WA352       1000   3     55.00
WA352       1000   4     57.00
WA352       1000   5     52.00
WA352       1000   6     54.00
WA352       1000   7     60.00
WA352       1000   8     68.00
WA352       1000   9     58.00
WA352       1000  10     48.00
WA352       1000  11     60.00
WA352       1000  12     59.00
WA352       1000  13     60.00
WA352       1000  14     54.00
WA352       1000  15     49.00
WA352       1000  16     46.00
WA352       1000  17     57.00
WA352       1000  18     48.00
WA352       1000  19     50.00
WA352       1000  20     44.00
WA352       1000  21     46.00
WA352       1000  22     48.00
WA352       1000  23     51.00
WA352       1000  24     54.00
WA352       1000  25     47.00
WA352       1000  26     46.00
WA352       1000  27     47.00
WA352       1000  28     44.00
WA352       1000  29     42.00
WA352       1000  30     47.00
WA352       1000  31     43.00
WA352       1100   1     43.00
WA352       1100   2     42.00
WA352       1100   3     51.00
WA352       1100   4     38.00
WA352       1100   5     36.00
WA352       1100   6     39.00
WA352       1100   7     34.00
WA352       1100   8     30.00
WA352       1100   9     27.00
WA352       1100  10     26.00
WA352       1100  11     29.00
WA352       1100  12     35.00
WA352       1100  13     24.00
WA352       1100  14     32.00
WA352       1100  15     36.00
WA352       1100  16     21.00
WA352       1100  17     29.00
WA352       1100  18     34.00
WA352       1100  19     29.00
WA352       1100  20     31.00
WA352       1100  21     35.00
WA352       1100  22     38.00
WA352       1100  23     28.00
WA352       1100  24     35.00
WA352       1100  25     32.00
WA352       1100  26     35.00
WA352       1100  27     33.00
WA352       1100  28     30.00
WA352       1100  29     27.00
WA352       1100  30     35.00
WA352       1200   1     30.00
WA352       1200   2     34.00
WA352       1200   3     33.00
WA352       1200   4     34.00
WA352       1200   5     39.00
WA352       1200   6     37.00
WA352       1200   7     36.00
WA352       1200   8     24.00
WA352       1200   9     30.00
WA352       1200  10     27.00
WA352       1200  11     13.00
WA352       1200  12     20.00
WA352       1200  13     10.00
WA352       1200  14     26.00
WA352       1200  15     26.00
WA352       1200  16     28.00
WA352       1200  17     31.00
WA352       1200  18     33.00
WA352       1200  19     34.00
WA352       1200  20     25.00
WA352       1200  21     19.00
WA352       1200  22     25.00
WA352       1200  23     26.00
WA352       1200  24     36.00
WA352       1200  25     31.00
WA352       1200  26     33.00
WA352       1200  27     38.00
WA352       1200  28     35.00
WA352       1200  29     29.00
WA352       1200  30     31.00
WA352       1200  31     30.00
WA352       0101   1     36.00
WA352       0101   2     31.00
WA352       0101   3     34.00
WA352       0101   4     41.00
WA352       0101   5     39.00
WA352       0101   6     38.00
WA352       0101   7     31.00
WA352       0101   8     31.00
WA352       0101   9     28.00
WA352       0101  10     36.00
WA352       0101  11     29.00
WA352       0101  12     37.00
WA352       0101  13     29.00
WA352       0101  14     33.00
WA352       0101  15     28.00
WA352       0101  16     31.00
WA352       0101  17     21.00
WA352       0101  18     23.00
WA352       0101  19     33.00
WA352       0101  20     25.00
WA352       0101  21     32.00
WA352       0101  22     29.00
WA352       0101  23     32.00
WA352       0101  24     32.00
WA352       0101  25     38.00
WA352       0101  26     35.00
WA352       0101  27     38.00
WA352       0101  28     19.00
WA352       0101  29     31.00
WA352       0101  30     30.00
WA352       0101  31     37.00
WA352       0201   1     45.00
WA352       0201   2     33.00
WA352       0201   3     36.00
WA352       0201   4     34.00
WA352       0201   5     32.00
WA352       0201   6     28.00
WA352       0201   7     31.00
WA352       0201   8     22.00
WA352       0201   9     25.00
WA352       0201  10     20.00
WA352       0201  11     26.00
WA352       0201  12     38.00
WA352       0201  13     38.00
WA352       0201  14     47.00
WA352       0201  15     37.00
WA352       0201  16     21.00
WA352       0201  17     26.00
WA352       0201  18     37.00
WA352       0201  19     36.00
WA352       0201  20     34.00
WA352       0201  21     38.00
WA352       0201  22     38.00
WA352       0201  23     42.00
WA352       0201  24     46.00
WA352       0201  25     44.00
WA352       0201  26     41.00
WA352       0201  27     43.00
WA352       0201  28     46.00
WA352       0301   1     35.00
WA352       0301   2     40.00
WA352       0301   3     35.00
WA352       0301   4     29.00
WA352       0301   5     55.00
WA352       0301   6     53.00
WA352       0301   7     56.00
WA352       0301   8     44.00
WA352       0301   9     48.00
WA352       0301  10     46.00
WA352       0301  11     52.00
WA352       0301  12     50.00
WA352       0301  13     40.00
WA352       0301  14     41.00
WA352       0301  15     31.00
WA352       0301  16     36.00
WA352       0301  17     46.00
WA352       0301  18     39.00
WA352       0301  19     44.00
WA352       0301  20     50.00
WA352       0301  21     56.00
WA352       0301  22     59.00
WA352       0301  23     60.00
WA352       0301  24     51.00
WA352       0301  25     48.00
WA352       0301  26     41.00
WA352       0301  27     33.00
WA352       0301  28     46.00
WA352       0301  29     47.00
WA352       0301  30     50.00
WA352       0301  31     42.00
WA352       0401   1     45.00
WA352       0401   2     43.00
WA352       0401   3     41.00
WA352       0401   4     47.00
WA352       0401   5     46.00
WA352       0401   6     45.00
WA352       0401   7     44.00
WA352       0401   8     45.00
WA352       0401   9     49.00
WA352       0401  10     33.00
WA352       0401  11     43.00
WA352       0401  12     42.00
WA352       0401  13     43.00
WA352       0401  14     46.00
WA352       0401  15     52.00
WA352       0401  16     56.00
WA352       0401  17     48.00
WA352       0401  18     51.00
WA352       0401  19     51.00
WA352       0401  20     54.00
WA352       0401  21     56.00
WA352       0401  22     44.00
WA352       0401  23     50.00
WA352       0401  24     64.00
WA352       0401  25     72.00
WA352       0401  26     67.00
WA352       0401  27     65.00
WA352       0401  28     49.00
WA352       0401  29     42.00
WA352       0401  30     37.00
WA352       0501   1     36.00
WA352       0501   2     52.00
WA352       0501   3     58.00
WA352       0501   4     59.00
WA352       0501   5     44.00
WA352       0501   6     55.00
WA352       0501   7     67.00
WA352       0501   8     60.00
WA352       0501   9     56.00
WA352       0501  10     62.00
WA352       0501  11     74.00
WA352       0501  12     74.00
WA352       0501  13     63.00
WA352       0501  14     42.00
WA352       0501  15     51.00
WA352       0501  16     48.00
WA352       0501  17     51.00
WA352       0501  18     60.00
WA352       0501  19     54.00
WA352       0501  20     60.00
WA352       0501  21     74.00
WA352       0501  22     82.00
WA352       0501  23     84.00
WA352       0501  24     81.00
WA352       0501  25     79.00
WA352       0501  26     82.00
WA352       0501  27     70.00
WA352       0501  28     54.00
WA352       0501  29     54.00
WA352       0501  30     64.00
WA352       0501  31     77.00
WA352       0601   1     66.00
WA352       0601   2     50.00
WA352       0601   3     56.00
WA352       0601   4     62.00
WA352       0601   5     47.00
WA352       0601   6     56.00
WA352       0601   7     68.00
WA352       0601   8     62.00
WA352       0601   9     58.00
WA352       0601  10     56.00
WA352       0601  11     51.00
WA352       0601  12     52.00
WA352       0601  13     64.00
WA352       0601  14     60.00
WA352       0601  15     65.00
WA352       0601  16     64.00
WA352       0601  17     65.00
WA352       0601  18     69.00
WA352       0601  19     72.00
WA352       0601  20     81.00
WA352       0601  21     81.00
WA352       0601  22     73.00
WA352       0601  23     62.00
WA352       0601  24     54.00
WA352       0601  25     58.00
WA352       0601  26     55.00
WA352       0601  27     56.00
WA352       0601  28     61.00
WA352       0601  29     72.00
WA352       0601  30     69.00
WA352       0701   1     75.00
WA352       0701   2     82.00
