$ Get data for 943:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:49:36 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA943           Dungeness
WA943       0800  21     65.00
WA943       0800  22     73.00
WA943       0800  23     76.00
WA943       0800  24     70.00
WA943       0800  25     56.00
WA943       0800  26     51.00
WA943       0800  27     48.00
WA943       0800  28     66.00
WA943       0800  29     59.00
WA943       0800  30     64.00
WA943       0800  31     55.00
WA943       0900   1     48.00
WA943       0900   2     51.00
WA943       0900   3     51.00
WA943       0900   4     57.00
WA943       0900   5     54.00
WA943       0900   6     56.00
WA943       0900   7     54.00
WA943       0900   8     51.00
WA943       0900   9     53.00
WA943       0900  10     52.00
WA943       0900  11     62.00
WA943       0900  12     67.00
WA943       0900  13     74.00
WA943       0900  14     82.00
WA943       0900  15     57.00
WA943       0900  16     60.00
WA943       0900  17     69.00
WA943       0900  18     62.00
WA943       0900  19     67.00
WA943       0900  20     55.00
WA943       0900  21   -999.00
WA943       0900  22     54.00
WA943       0900  23     62.00
WA943       0900  24     65.00
WA943       0900  25     68.00
WA943       0900  26     68.00
WA943       0900  27     73.00
WA943       0900  28     56.00
WA943       0900  29     60.00
WA943       0900  30     56.00
WA943       1000   1     45.00
WA943       1000   2     45.00
WA943       1000   3     49.00
WA943       1000   4     53.00
WA943       1000   5     58.00
WA943       1000   6     67.00
WA943       1000   7     69.00
WA943       1000   8     55.00
WA943       1000   9     45.00
WA943       1000  10     49.00
WA943       1000  11     56.00
WA943       1000  12     55.00
WA943       1000  13     49.00
WA943       1000  14     46.00
WA943       1000  15     50.00
WA943       1000  16     46.00
WA943       1000  17     57.00
WA943       1000  18     47.00
WA943       1000  19     49.00
WA943       1000  20     51.00
WA943       1000  21     42.00
WA943       1000  22     47.00
WA943       1000  23     62.00
WA943       1000  24     55.00
WA943       1000  25     56.00
WA943       1000  26     49.00
WA943       1000  27     45.00
WA943       1000  28     42.00
WA943       1000  29     45.00
WA943       1000  30     46.00
WA943       1000  31     46.00
WA943       1100   1     47.00
WA943       1100   2     48.00
WA943       1100   3     54.00
WA943       1100   4     48.00
WA943       1100   5     36.00
WA943       1100   6     40.00
WA943       1100   7     38.00
WA943       1100   8     39.00
WA943       1100   9     31.00
WA943       1100  10     32.00
WA943       1100  11     38.00
WA943       1100  12     34.00
WA943       1100  13     32.00
WA943       1100  14     39.00
WA943       1100  15     42.00
WA943       1100  16     42.00
WA943       1100  17     46.00
WA943       1100  18     50.00
WA943       1100  19     43.00
WA943       1100  20     48.00
WA943       1100  21     53.00
WA943       1100  22     55.00
WA943       1100  23     46.00
WA943       1100  24     37.00
WA943       1100  25     44.00
WA943       1100  26     36.00
WA943       1100  27     38.00
WA943       1100  28     37.00
WA943       1100  29     38.00
WA943       1100  30     37.00
WA943       1200   1     42.00
WA943       1200   2     42.00
WA943       1200   3     37.00
WA943       1200   4     50.00
WA943       1200   5     56.00
WA943       1200   6     60.00
WA943       1200   7     50.00
WA943       1200   8     43.00
WA943       1200   9     31.00
WA943       1200  10     23.00
WA943       1200  11     24.00
WA943       1200  12     32.00
WA943       1200  13     29.00
WA943       1200  14     34.00
WA943       1200  15     32.00
WA943       1200  16     43.00
WA943       1200  17     36.00
WA943       1200  18     46.00
WA943       1200  19     35.00
WA943       1200  20     40.00
WA943       1200  21     41.00
WA943       1200  22     36.00
WA943       1200  23     37.00
WA943       1200  24     39.00
WA943       1200  25     44.00
WA943       1200  26     49.00
WA943       1200  27     44.00
WA943       1200  28     48.00
WA943       1200  29     47.00
WA943       1200  30     47.00
WA943       1200  31     45.00
WA943       0101   1     49.00
WA943       0101   2     59.00
WA943       0101   3     50.00
WA943       0101   4     45.00
WA943       0101   5     41.00
WA943       0101   6     49.00
WA943       0101   7     53.00
WA943       0101   8   -999.00
WA943       0101   9     38.00
WA943       0101  10     37.00
WA943       0101  11     35.00
WA943       0101  12     35.00
WA943       0101  13     31.00
WA943       0101  14     30.00
WA943       0101  15     37.00
WA943       0101  16     44.00
WA943       0101  17     39.00
WA943       0101  18     44.00
WA943       0101  19     45.00
WA943       0101  20     42.00
WA943       0101  21     37.00
WA943       0101  22     49.00
WA943       0101  23     48.00
WA943       0101  24     35.00
WA943       0101  25     38.00
WA943       0101  26     45.00
WA943       0101  27     48.00
WA943       0101  28     49.00
WA943       0101  29     32.00
WA943       0101  30     35.00
WA943       0101  31     39.00
WA943       0201   1     49.00
WA943       0201   2     35.00
WA943       0201   3     33.00
WA943       0201   4     46.00
WA943       0201   5     35.00
WA943       0201   6     27.00
WA943       0201   7     33.00
WA943       0201   8     34.00
WA943       0201   9     37.00
WA943       0201  10     34.00
WA943       0201  11     39.00
WA943       0201  12     41.00
WA943       0201  13     50.00
