$ Get data for 734:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:34:04 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA734           Sasse Ridge
WA734       0800  21     76.00
WA734       0800  22     81.00
WA734       0800  23     89.00
WA734       0800  24     80.00
WA734       0800  25     69.00
WA734       0800  26     64.00
WA734       0800  27     62.00
WA734       0800  28     72.00
WA734       0800  29     68.00
WA734       0800  30     73.00
WA734       0800  31     57.00
WA734       0900   1     63.00
WA734       0900   2     56.00
WA734       0900   3     57.00
WA734       0900   4     59.00
WA734       0900   5     58.00
WA734       0900   6     63.00
WA734       0900   7     67.00
WA734       0900   8     45.00
WA734       0900   9     42.00
WA734       0900  10     53.00
WA734       0900  11     68.00
WA734       0900  12     74.00
WA734       0900  13     77.00
WA734       0900  14     82.00
WA734       0900  15     68.00
WA734       0900  16     69.00
WA734       0900  17     73.00
WA734       0900  18     56.00
WA734       0900  19     68.00
WA734       0900  20     56.00
WA734       0900  21     44.00
WA734       0900  22     51.00
WA734       0900  23     57.00
WA734       0900  24     62.00
WA734       0900  25     66.00
WA734       0900  26     68.00
WA734       0900  27     73.00
WA734       0900  28     68.00
WA734       0900  29     58.00
WA734       0900  30     52.00
WA734       1000   1     53.00
WA734       1000   2     51.00
WA734       1000   3     55.00
WA734       1000   4     58.00
WA734       1000   5     54.00
WA734       1000   6     56.00
WA734       1000   7     60.00
WA734       1000   8     64.00
WA734       1000   9     54.00
WA734       1000  10     43.00
WA734       1000  11     61.00
WA734       1000  12     50.00
WA734       1000  13     53.00
WA734       1000  14     48.00
WA734       1000  15     45.00
WA734       1000  16     45.00
WA734       1000  17     54.00
WA734       1000  18     44.00
WA734       1000  19     47.00
WA734       1000  20     45.00
WA734       1000  21     41.00
WA734       1000  22     45.00
WA734       1000  23     50.00
WA734       1000  24     48.00
WA734       1000  25     48.00
WA734       1000  26     45.00
WA734       1000  27     45.00
WA734       1000  28     41.00
WA734       1000  29     40.00
