$ Get data for 975:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:40:12 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA975           Swamp Creek
WA975       0800  20     54.00
WA975       0800  21     66.00
WA975       0800  22     76.00
WA975       0800  23     81.00
WA975       0800  24     74.00
WA975       0800  25     65.00
WA975       0800  26     58.00
WA975       0800  27     52.00
WA975       0800  28     64.00
WA975       0800  29     58.00
WA975       0800  30     66.00
WA975       0800  31     53.00
WA975       0900   1     55.00
WA975       0900   2     52.00
WA975       0900   3     55.00
WA975       0900   4     60.00
WA975       0900   5     52.00
WA975       0900   6     61.00
WA975       0900   7     63.00
WA975       0900   8     45.00
WA975       0900   9     44.00
WA975       0900  10     54.00
WA975       0900  11     63.00
WA975       0900  12     64.00
WA975       0900  13     72.00
WA975       0900  14     81.00
WA975       0900  15     66.00
WA975       0900  16     66.00
WA975       0900  17     64.00
WA975       0900  18     56.00
WA975       0900  19     65.00
WA975       0900  20     53.00
WA975       0900  21     46.00
WA975       0900  22     53.00
WA975       0900  23     63.00
WA975       0900  24     67.00
WA975       0900  25     70.00
WA975       0900  26     71.00
WA975       0900  27     71.00
WA975       0900  28     63.00
WA975       0900  29     52.00
WA975       0900  30     55.00
WA975       1000   1     50.00
WA975       1000   2     45.00
WA975       1000   3     51.00
WA975       1000   4     52.00
WA975       1000   5     57.00
WA975       1000   6     58.00
WA975       1000   7     63.00
WA975       1000   8     63.00
WA975       1000   9     53.00
WA975       1000  10     45.00
WA975       1000  11     56.00
WA975       1000  12     55.00
WA975       1000  13     51.00
WA975       1000  14     48.00
WA975       1000  15     53.00
WA975       1000  16     48.00
WA975       1000  17     57.00
WA975       1000  18     48.00
WA975       1000  19     49.00
WA975       1000  20     47.00
WA975       1000  21     38.00
WA975       1000  22     47.00
WA975       1000  23     52.00
WA975       1000  24     55.00
WA975       1000  25     57.00
WA975       1000  26     53.00
WA975       1000  27     46.00
WA975       1000  28     42.00
WA975       1000  29     46.00
WA975       1000  30     49.00
WA975       1000  31     38.00
WA975       1100   1     44.00
WA975       1100   2     43.00
WA975       1100   3     53.00
WA975       1100   4     44.00
WA975       1100   5     37.00
WA975       1100   6     42.00
WA975       1100   7     39.00
WA975       1100   8     35.00
WA975       1100   9     37.00
WA975       1100  10     30.00
WA975       1100  11     33.00
WA975       1100  12     38.00
WA975       1100  13     31.00
WA975       1100  14     38.00
WA975       1100  15     38.00
WA975       1100  16     35.00
WA975       1100  17     32.00
WA975       1100  18     43.00
WA975       1100  19     38.00
WA975       1100  20     35.00
WA975       1100  21     43.00
WA975       1100  22     47.00
WA975       1100  23     34.00
WA975       1100  24     38.00
WA975       1100  25     35.00
WA975       1100  26     34.00
WA975       1100  27     35.00
WA975       1100  28     33.00
WA975       1100  29     33.00
WA975       1100  30     36.00
WA975       1200   1     37.00
WA975       1200   2     36.00
WA975       1200   3     42.00
WA975       1200   4     38.00
WA975       1200   5     45.00
WA975       1200   6     42.00
