$ Get data for 648:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:26:19 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA648           Mount Crag
WA648       0800  21     61.00
WA648       0800  22     69.00
WA648       0800  23     73.00
WA648       0800  24     66.00
WA648       0800  25     54.00
WA648       0800  26     48.00
WA648       0800  27     44.00
WA648       0800  28     61.00
WA648       0800  29     61.00
WA648       0800  30     61.00
WA648       0800  31     50.00
WA648       0900   1     53.00
WA648       0900   2     49.00
WA648       0900   3     52.00
WA648       0900   4     54.00
WA648       0900   5     51.00
WA648       0900   6     50.00
WA648       0900   7     53.00
WA648       0900   8     50.00
WA648       0900   9     51.00
WA648       0900  10     48.00
WA648       0900  11     61.00
WA648       0900  12     63.00
WA648       0900  13     68.00
WA648       0900  14     77.00
WA648       0900  15     58.00
WA648       0900  16     59.00
WA648       0900  17     64.00
WA648       0900  18     59.00
WA648       0900  19     61.00
WA648       0900  20     54.00
WA648       0900  21     51.00
WA648       0900  22     51.00
WA648       0900  23     57.00
WA648       0900  24     61.00
WA648       0900  25     62.00
WA648       0900  26     62.00
WA648       0900  27     66.00
WA648       0900  28     56.00
WA648       0900  29     57.00
WA648       0900  30     52.00
WA648       1000   1     46.00
WA648       1000   2     41.00
WA648       1000   3     40.00
WA648       1000   4     52.00
WA648       1000   5     54.00
WA648       1000   6     58.00
WA648       1000   7     60.00
WA648       1000   8     54.00
WA648       1000   9     46.00
WA648       1000  10     48.00
WA648       1000  11     53.00
WA648       1000  12     47.00
WA648       1000  13     47.00
WA648       1000  14     40.00
WA648       1000  15     43.00
WA648       1000  16     44.00
WA648       1000  17     47.00
WA648       1000  18     44.00
WA648       1000  19     45.00
WA648       1000  20     47.00
WA648       1000  21     37.00
WA648       1000  22     45.00
WA648       1000  23     52.00
WA648       1000  24     51.00
WA648       1000  25     52.00
WA648       1000  26     52.00
WA648       1000  27     43.00
WA648       1000  28     36.00
WA648       1000  29     37.00
WA648       1000  30     38.00
WA648       1000  31     40.00
WA648       1100   1     39.00
WA648       1100   2     41.00
WA648       1100   3     48.00
WA648       1100   4     44.00
WA648       1100   5     36.00
WA648       1100   6     35.00
WA648       1100   7     38.00
WA648       1100   8     32.00
WA648       1100   9     31.00
WA648       1100  10     29.00
WA648       1100  11     28.00
WA648       1100  12     32.00
WA648       1100  13     31.00
WA648       1100  14     26.00
WA648       1100  15     29.00
WA648       1100  16     28.00
WA648       1100  17     33.00
WA648       1100  18     39.00
WA648       1100  19     41.00
WA648       1100  20     46.00
WA648       1100  21     38.00
WA648       1100  22     42.00
WA648       1100  23     40.00
WA648       1100  24     35.00
WA648       1100  25     37.00
WA648       1100  26     32.00
WA648       1100  27     32.00
WA648       1100  28     31.00
WA648       1100  29     33.00
WA648       1100  30     34.00
WA648       1200   1     36.00
WA648       1200   2     35.00
WA648       1200   3     37.00
WA648       1200   4     43.00
WA648       1200   5     43.00
WA648       1200   6     44.00
WA648       1200   7     39.00
WA648       1200   8     36.00
WA648       1200   9     28.00
WA648       1200  10     25.00
WA648       1200  11     25.00
WA648       1200  12     27.00
WA648       1200  13     29.00
WA648       1200  14     32.00
WA648       1200  15     26.00
WA648       1200  16     36.00
WA648       1200  17     30.00
WA648       1200  18     35.00
WA648       1200  19     29.00
WA648       1200  20     32.00
WA648       1200  21     35.00
WA648       1200  22     35.00
WA648       1200  23     33.00
WA648       1200  24     32.00
WA648       1200  25     40.00
WA648       1200  26     42.00
WA648       1200  27     37.00
WA648       1200  28     42.00
WA648       1200  29     41.00
WA648       1200  30     43.00
WA648       1200  31     38.00
WA648       0101   1     41.00
WA648       0101   2     46.00
WA648       0101   3     47.00
WA648       0101   4     42.00
WA648       0101   5     39.00
WA648       0101   6     37.00
WA648       0101   7     41.00
WA648       0101   8   -999.00
WA648       0101   9     35.00
WA648       0101  10     34.00
WA648       0101  11     35.00
WA648       0101  12     34.00
WA648       0101  13     30.00
WA648       0101  14     29.00
WA648       0101  15     26.00
WA648       0101  16     33.00
WA648       0101  17     39.00
WA648       0101  18     40.00
WA648       0101  19     34.00
WA648       0101  20     35.00
WA648       0101  21     35.00
WA648       0101  22     34.00
WA648       0101  23     39.00
WA648       0101  24     33.00
WA648       0101  25     29.00
WA648       0101  26     28.00
WA648       0101  27     37.00
WA648       0101  28     43.00
WA648       0101  29     29.00
WA648       0101  30     34.00
WA648       0101  31     36.00
WA648       0201   1     39.00
WA648       0201   2     33.00
WA648       0201   3     32.00
WA648       0201   4     36.00
WA648       0201   5     30.00
WA648       0201   6     24.00
WA648       0201   7     27.00
WA648       0201   8     29.00
WA648       0201   9     30.00
WA648       0201  10     30.00
WA648       0201  11     26.00
WA648       0201  12     30.00
WA648       0201  13     32.00
WA648       0201  14     42.00
WA648       0201  15     28.00
WA648       0201  16     33.00
WA648       0201  17     37.00
WA648       0201  18     36.00
WA648       0201  19     32.00
WA648       0201  20     37.00
WA648       0201  21     41.00
WA648       0201  22     39.00
WA648       0201  23     33.00
WA648       0201  24     30.00
WA648       0201  25     32.00
WA648       0201  26     38.00
WA648       0201  27     46.00
WA648       0201  28     43.00
WA648       0301   1     34.00
WA648       0301   2     33.00
WA648       0301   3     33.00
WA648       0301   4     36.00
WA648       0301   5     48.00
WA648       0301   6     52.00
WA648       0301   7     53.00
WA648       0301   8     37.00
WA648       0301   9     37.00
WA648       0301  10     32.00
WA648       0301  11     40.00
WA648       0301  12     47.00
WA648       0301  13     37.00
WA648       0301  14     36.00
WA648       0301  15     35.00
WA648       0301  16     34.00
WA648       0301  17     43.00
WA648       0301  18     44.00
WA648       0301  19     39.00
WA648       0301  20     44.00
WA648       0301  21     44.00
WA648       0301  22     49.00
WA648       0301  23     58.00
WA648       0301  24     52.00
WA648       0301  25     43.00
WA648       0301  26     34.00
WA648       0301  27     33.00
WA648       0301  28     36.00
WA648       0301  29     37.00
WA648       0301  30     35.00
WA648       0301  31     45.00
WA648       0401   1     33.00
WA648       0401   2     36.00
WA648       0401   3     38.00
WA648       0401   4     47.00
WA648       0401   5     35.00
WA648       0401   6     33.00
WA648       0401   7     38.00
WA648       0401   8     36.00
WA648       0401   9     45.00
WA648       0401  10     32.00
WA648       0401  11     47.00
WA648       0401  12     35.00
WA648       0401  13     33.00
WA648       0401  14     39.00
WA648       0401  15     50.00
WA648       0401  16     53.00
WA648       0401  17     41.00
WA648       0401  18     47.00
WA648       0401  19     42.00
WA648       0401  20     50.00
WA648       0401  21     53.00
WA648       0401  22     37.00
WA648       0401  23     48.00
WA648       0401  24     60.00
WA648       0401  25     65.00
WA648       0401  26     59.00
WA648       0401  27     49.00
WA648       0401  28     44.00
WA648       0401  29     44.00
WA648       0401  30     43.00
WA648       0501   1     40.00
WA648       0501   2     41.00
WA648       0501   3     47.00
WA648       0501   4     50.00
WA648       0501   5     36.00
WA648       0501   6     48.00
WA648       0501   7     58.00
WA648       0501   8     41.00
WA648       0501   9     41.00
WA648       0501  10     49.00
WA648       0501  11     60.00
WA648       0501  12     61.00
WA648       0501  13     48.00
WA648       0501  14     42.00
WA648       0501  15     44.00
WA648       0501  16     45.00
WA648       0501  17     39.00
WA648       0501  18     40.00
WA648       0501  19     42.00
WA648       0501  20     48.00
WA648       0501  21     69.00
WA648       0501  22     79.00
WA648       0501  23     72.00
WA648       0501  24     64.00
WA648       0501  25     66.00
WA648       0501  26     65.00
WA648       0501  27     55.00
WA648       0501  28     45.00
WA648       0501  29     41.00
WA648       0501  30     56.00
WA648       0501  31     73.00
WA648       0601   1     53.00
WA648       0601   2     42.00
WA648       0601   3     41.00
WA648       0601   4     41.00
WA648       0601   5     42.00
WA648       0601   6     49.00
WA648       0601   7     57.00
WA648       0601   8     55.00
WA648       0601   9     49.00
WA648       0601  10     47.00
WA648       0601  11     42.00
WA648       0601  12     46.00
WA648       0601  13     52.00
WA648       0601  14     44.00
WA648       0601  15     42.00
WA648       0601  16     44.00
WA648       0601  17     47.00
WA648       0601  18     53.00
WA648       0601  19     68.00
WA648       0601  20     66.00
WA648       0601  21     65.00
WA648       0601  22     49.00
WA648       0601  23     47.00
WA648       0601  24     44.00
WA648       0601  25     53.00
WA648       0601  26     60.00
WA648       0601  27     56.00
WA648       0601  28     47.00
WA648       0601  29     56.00
WA648       0601  30     59.00
WA648       0701   1     58.00
WA648       0701   2     65.00
WA648       0701   3     74.00
WA648       0701   4     70.00
WA648       0701   5     53.00
WA648       0701   6     59.00
WA648       0701   7     62.00
WA648       0701   8     64.00
WA648       0701   9     68.00
WA648       0701  10     69.00
WA648       0701  11     64.00
WA648       0701  12     65.00
WA648       0701  13     61.00
WA648       0701  14     59.00
WA648       0701  15     45.00
WA648       0701  16     46.00
WA648       0701  17     47.00
WA648       0701  18     49.00
WA648       0701  19     54.00
WA648       0701  20     58.00
WA648       0701  21     61.00
WA648       0701  22     62.00
WA648       0701  23     62.00
WA648       0701  24     56.00
WA648       0701  25     63.00
WA648       0701  26     64.00
WA648       0701  27     59.00
WA648       0701  28     48.00
WA648       0701  29     48.00
WA648       0701  30     53.00
WA648       0701  31     50.00
WA648       0801   1     55.00
WA648       0801   2     57.00
WA648       0801   3     60.00
WA648       0801   4     55.00
WA648       0801   5     60.00
WA648       0801   6     58.00
WA648       0801   7     61.00
WA648       0801   8     73.00
WA648       0801   9     78.00
WA648       0801  10     78.00
WA648       0801  11     76.00
WA648       0801  12     75.00
WA648       0801  13     76.00
WA648       0801  14     77.00
WA648       0801  15     79.00
WA648       0801  16     68.00
WA648       0801  17     60.00
WA648       0801  18     48.00
WA648       0801  19     50.00
WA648       0801  20     54.00
WA648       0801  21     53.00
WA648       0801  22     52.00
WA648       0801  23     51.00
WA648       0801  24     54.00
WA648       0801  25     66.00
WA648       0801  26     68.00
WA648       0801  27     67.00
WA648       0801  28     61.00
WA648       0801  29     67.00
WA648       0801  30     68.00
WA648       0801  31     56.00
WA648       0901   1     50.00
WA648       0901   2     54.00
WA648       0901   3     47.00
WA648       0901   4     52.00
WA648       0901   5     48.00
WA648       0901   6     44.00
WA648       0901   7     57.00
WA648       0901   8     65.00
WA648       0901   9     66.00
WA648       0901  10     64.00
WA648       0901  11     67.00
WA648       0901  12     68.00
WA648       0901  13     71.00
WA648       0901  14     72.00
WA648       0901  15     70.00
WA648       0901  16     67.00
WA648       0901  17     58.00
WA648       0901  18     49.00
WA648       0901  19     48.00
WA648       0901  20     58.00
WA648       0901  21     59.00
WA648       0901  22     68.00
WA648       0901  23     72.00
WA648       0901  24     67.00
WA648       0901  25     57.00
WA648       0901  26     51.00
WA648       0901  27     47.00
WA648       0901  28     53.00
WA648       0901  29     58.00
WA648       0901  30     65.00
WA648       1001   1     62.00
WA648       1001   2     56.00
WA648       1001   3     60.00
WA648       1001   4     60.00
WA648       1001   5     59.00
WA648       1001   6     44.00
WA648       1001   7     51.00
WA648       1001   8     43.00
WA648       1001   9     38.00
WA648       1001  10     43.00
WA648       1001  11     40.00
WA648       1001  12     56.00
WA648       1001  13     43.00
WA648       1001  14     43.00
WA648       1001  15     51.00
WA648       1001  16     45.00
WA648       1001  17     36.00
WA648       1001  18     45.00
WA648       1001  19     44.00
WA648       1001  20     41.00
WA648       1001  21     44.00
WA648       1001  22     41.00
WA648       1001  23     34.00
WA648       1001  24     38.00
WA648       1001  25     42.00
WA648       1001  26     48.00
WA648       1001  27     33.00
WA648       1001  28     33.00
WA648       1001  29     37.00
WA648       1001  30     41.00
WA648       1001  31     38.00
WA648       1101   1     41.00
WA648       1101   2     39.00
WA648       1101   3     46.00
WA648       1101   4     47.00
WA648       1101   5     35.00
WA648       1101   6     33.00
WA648       1101   7     36.00
WA648       1101   8     45.00
WA648       1101   9     44.00
WA648       1101  10     51.00
WA648       1101  11     51.00
WA648       1101  12     45.00
WA648       1101  13     41.00
WA648       1101  14     45.00
WA648       1101  15     43.00
WA648       1101  16     36.00
WA648       1101  17     32.00
WA648       1101  18     36.00
WA648       1101  19     44.00
WA648       1101  20     38.00
WA648       1101  21     34.00
WA648       1101  22     36.00
WA648       1101  23     33.00
WA648       1101  24     31.00
WA648       1101  25     31.00
WA648       1101  26     29.00
WA648       1101  27     30.00
WA648       1101  28     33.00
WA648       1101  29     32.00
WA648       1101  30     33.00
WA648       1201   1     31.00
WA648       1201   2     29.00
WA648       1201   3     26.00
WA648       1201   4     29.00
WA648       1201   5     27.00
WA648       1201   6     34.00
WA648       1201   7     36.00
WA648       1201   8     36.00
WA648       1201   9     28.00
WA648       1201  10     32.00
WA648       1201  11     33.00
WA648       1201  12     37.00
WA648       1201  13     36.00
WA648       1201  14     31.00
WA648       1201  15     34.00
WA648       1201  16     37.00
WA648       1201  17     26.00
WA648       1201  18     28.00
WA648       1201  19     26.00
WA648       1201  20     35.00
WA648       1201  21     33.00
WA648       1201  22     31.00
WA648       1201  23     30.00
WA648       1201  24     32.00
WA648       1201  25     34.00
WA648       1201  26     33.00
WA648       1201  27     38.00
WA648       1201  28     39.00
WA648       1201  29     42.00
WA648       1201  30     37.00
WA648       1201  31     38.00
WA648       0102   1     39.00
WA648       0102   2     39.00
WA648       0102   3     35.00
WA648       0102   4     36.00
WA648       0102   5     36.00
WA648       0102   6     42.00
WA648       0102   7     42.00
WA648       0102   8     39.00
WA648       0102   9     36.00
WA648       0102  10     38.00
WA648       0102  11     42.00
WA648       0102  12     39.00
WA648       0102  13     30.00
WA648       0102  14     28.00
WA648       0102  15     31.00
WA648       0102  16     31.00
WA648       0102  17     27.00
WA648       0102  18     32.00
WA648       0102  19     31.00
WA648       0102  20     33.00
WA648       0102  21     30.00
WA648       0102  22     27.00
WA648       0102  23     36.00
WA648       0102  24     33.00
WA648       0102  25     31.00
WA648       0102  26     22.00
WA648       0102  27     26.00
WA648       0102  28     27.00
WA648       0102  29     26.00
WA648       0102  30     32.00
WA648       0102  31     32.00
WA648       0202   1     31.00
WA648       0202   2     34.00
WA648       0202   3     33.00
WA648       0202   4     35.00
WA648       0202   5     35.00
WA648       0202   6     32.00
WA648       0202   7     32.00
WA648       0202   8     34.00
WA648       0202   9     36.00
WA648       0202  10     40.00
WA648       0202  11     27.00
WA648       0202  12     39.00
WA648       0202  13     34.00
WA648       0202  14     37.00
WA648       0202  15     41.00
WA648       0202  16     38.00
WA648       0202  17     38.00
WA648       0202  18     37.00
WA648       0202  19     35.00
WA648       0202  20     34.00
WA648       0202  21     40.00
WA648       0202  22     41.00
WA648       0202  23     38.00
WA648       0202  24     27.00
WA648       0202  25     33.00
WA648       0202  26     39.00
WA648       0202  27     38.00
WA648       0202  28     35.00
WA648       0302   1     37.00
WA648       0302   2     44.00
WA648       0302   3   -999.00
WA648       0302   4     47.00
WA648       0302   5     30.00
WA648       0302   6     26.00
WA648       0302   7     25.00
WA648       0302   8     27.00
WA648       0302   9     34.00
WA648       0302  10     39.00
WA648       0302  11     40.00
WA648       0302  12     35.00
WA648       0302  13     34.00
WA648       0302  14     35.00
WA648       0302  15     33.00
WA648       0302  16     31.00
WA648       0302  17     24.00
WA648       0302  18     33.00
WA648       0302  19     31.00
WA648       0302  20     31.00
WA648       0302  21     43.00
WA648       0302  22     48.00
WA648       0302  23     47.00
WA648       0302  24     40.00
WA648       0302  25     40.00
WA648       0302  26     39.00
WA648       0302  27     33.00
WA648       0302  28     35.00
WA648       0302  29     38.00
WA648       0302  30     35.00
WA648       0302  31     42.00
WA648       0402   1     36.00
WA648       0402   2     44.00
WA648       0402   3     53.00
WA648       0402   4     62.00
WA648       0402   5     47.00
WA648       0402   6     42.00
WA648       0402   7     34.00
WA648       0402   8     51.00
WA648       0402   9     47.00
WA648       0402  10     46.00
WA648       0402  11     43.00
WA648       0402  12     47.00
WA648       0402  13     52.00
WA648       0402  14     38.00
WA648       0402  15     39.00
WA648       0402  16     35.00
WA648       0402  17     38.00
WA648       0402  18     49.00
WA648       0402  19     50.00
WA648       0402  20     47.00
WA648       0402  21     38.00
WA648       0402  22     38.00
WA648       0402  23     39.00
WA648       0402  24     51.00
WA648       0402  25     45.00
WA648       0402  26     37.00
WA648       0402  27     49.00
WA648       0402  28     49.00
WA648       0402  29     61.00
WA648       0402  30     61.00
WA648       0502   1     62.00
WA648       0502   2     40.00
WA648       0502   3     40.00
WA648       0502   4     36.00
WA648       0502   5     41.00
WA648       0502   6     33.00
WA648       0502   7     37.00
WA648       0502   8     41.00
WA648       0502   9     43.00
WA648       0502  10     46.00
WA648       0502  11     54.00
WA648       0502  12     64.00
WA648       0502  13     46.00
WA648       0502  14     38.00
WA648       0502  15     39.00
WA648       0502  16     55.00
WA648       0502  17     44.00
WA648       0502  18     53.00
WA648       0502  19     51.00
WA648       0502  20     43.00
WA648       0502  21     42.00
WA648       0502  22     43.00
WA648       0502  23     40.00
WA648       0502  24     58.00
