$ Get data for 420:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:48:45 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA420           Cougar Mountain
WA420       0800  21     66.00
WA420       0800  22     74.00
WA420       0800  23     79.00
WA420       0800  24     69.00
WA420       0800  25     58.00
WA420       0800  26     51.00
WA420       0800  27     53.00
WA420       0800  28     64.00
WA420       0800  29     61.00
WA420       0800  30     56.00
WA420       0800  31     48.00
WA420       0900   1     56.00
WA420       0900   2     52.00
WA420       0900   3     52.00
WA420       0900   4     56.00
WA420       0900   5     50.00
WA420       0900   6     56.00
WA420       0900   7     58.00
WA420       0900   8     48.00
WA420       0900   9     47.00
WA420       0900  10     49.00
WA420       0900  11     60.00
WA420       0900  12     67.00
WA420       0900  13     74.00
WA420       0900  14     81.00
WA420       0900  15     62.00
WA420       0900  16     58.00
WA420       0900  17     66.00
WA420       0900  18     56.00
WA420       0900  19     60.00
WA420       0900  20     55.00
WA420       0900  21     49.00
WA420       0900  22     48.00
WA420       0900  23     57.00
WA420       0900  24     61.00
WA420       0900  25     66.00
WA420       0900  26     70.00
WA420       0900  27     75.00
WA420       0900  28     57.00
WA420       0900  29     53.00
WA420       0900  30     53.00
WA420       1000   1     49.00
WA420       1000   2     45.00
WA420       1000   3     50.00
WA420       1000   4     51.00
WA420       1000   5     53.00
WA420       1000   6     56.00
WA420       1000   7     63.00
WA420       1000   8     62.00
WA420       1000   9     49.00
WA420       1000  10     45.00
WA420       1000  11     47.00
WA420       1000  12     44.00
WA420       1000  13     46.00
WA420       1000  14     42.00
WA420       1000  15     45.00
WA420       1000  16     47.00
WA420       1000  17     60.00
WA420       1000  18     47.00
WA420       1000  19     50.00
WA420       1000  20     48.00
WA420       1000  21     38.00
WA420       1000  22     47.00
WA420       1000  23     51.00
WA420       1000  24     55.00
WA420       1000  25     54.00
WA420       1000  26     49.00
WA420       1000  27     47.00
WA420       1000  28     45.00
WA420       1000  29     45.00
WA420       1000  30     46.00
WA420       1000  31     39.00
WA420       1100   1     43.00
WA420       1100   2     44.00
WA420       1100   3     51.00
WA420       1100   4     45.00
WA420       1100   5     36.00
WA420       1100   6     38.00
WA420       1100   7     39.00
WA420       1100   8     35.00
WA420       1100   9     33.00
WA420       1100  10     29.00
WA420       1100  11     30.00
WA420       1100  12     33.00
WA420       1100  13     29.00
WA420       1100  14     34.00
WA420       1100  15     37.00
WA420       1100  16     34.00
WA420       1100  17     35.00
WA420       1100  18     41.00
WA420       1100  19     38.00
WA420       1100  20     40.00
WA420       1100  21     41.00
WA420       1100  22     42.00
WA420       1100  23     36.00
WA420       1100  24     37.00
WA420       1100  25     36.00
WA420       1100  26     36.00
WA420       1100  27     31.00
WA420       1100  28     31.00
WA420       1100  29     35.00
WA420       1100  30     38.00
WA420       1200   1     38.00
WA420       1200   2     37.00
WA420       1200   3     40.00
WA420       1200   4     41.00
WA420       1200   5     48.00
WA420       1200   6     44.00
WA420       1200   7     43.00
WA420       1200   8     39.00
WA420       1200   9     31.00
WA420       1200  10     27.00
WA420       1200  11     20.00
WA420       1200  12     23.00
WA420       1200  13     23.00
WA420       1200  14     33.00
WA420       1200  15     28.00
WA420       1200  16     44.00
WA420       1200  17     31.00
WA420       1200  18     37.00
WA420       1200  19     32.00
WA420       1200  20     29.00
WA420       1200  21     31.00
WA420       1200  22     32.00
WA420       1200  23     33.00
WA420       1200  24     34.00
WA420       1200  25     35.00
WA420       1200  26     38.00
WA420       1200  27     38.00
WA420       1200  28     39.00
WA420       1200  29     39.00
WA420       1200  30     42.00
WA420       1200  31     36.00
WA420       0101   1     47.00
WA420       0101   2     53.00
WA420       0101   3     45.00
WA420       0101   4     46.00
WA420       0101   5     45.00
WA420       0101   6     43.00
WA420       0101   7     38.00
WA420       0101   8     37.00
WA420       0101   9     35.00
WA420       0101  10     39.00
WA420       0101  11     35.00
WA420       0101  12     33.00
WA420       0101  13     31.00
WA420       0101  14     31.00
WA420       0101  15     31.00
WA420       0101  16     33.00
WA420       0101  17     34.00
WA420       0101  18     39.00
WA420       0101  19     36.00
WA420       0101  20     36.00
WA420       0101  21     34.00
WA420       0101  22     37.00
WA420       0101  23     36.00
WA420       0101  24     36.00
WA420       0101  25     34.00
WA420       0101  26     36.00
WA420       0101  27     42.00
WA420       0101  28     32.00
WA420       0101  29     29.00
WA420       0101  30     32.00
WA420       0101  31     35.00
WA420       0201   1     39.00
WA420       0201   2     35.00
WA420       0201   3     34.00
WA420       0201   4     38.00
WA420       0201   5     33.00
WA420       0201   6     30.00
WA420       0201   7     27.00
WA420       0201   8     26.00
WA420       0201   9     30.00
WA420       0201  10     27.00
WA420       0201  11     35.00
WA420       0201  12     36.00
WA420       0201  13     42.00
WA420       0201  14     42.00
WA420       0201  15     32.00
WA420       0201  16     29.00
WA420       0201  17     33.00
WA420       0201  18     38.00
WA420       0201  19     41.00
WA420       0201  20     42.00
WA420       0201  21     42.00
WA420       0201  22     43.00
WA420       0201  23     34.00
WA420       0201  24     36.00
WA420       0201  25     34.00
WA420       0201  26     40.00
