$ Get data for 912:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:36:44 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA912           Skookum Creek
WA912       0800  21     67.00
WA912       0800  22     77.00
WA912       0800  23     80.00
WA912       0800  24     70.00
WA912       0800  25     60.00
WA912       0800  26     52.00
WA912       0800  27     58.00
WA912       0800  28     69.00
WA912       0800  29     63.00
WA912       0800  30     55.00
WA912       0800  31     51.00
WA912       0900   1     60.00
WA912       0900   2     54.00
WA912       0900   3     55.00
WA912       0900   4     56.00
WA912       0900   5     55.00
WA912       0900   6     54.00
WA912       0900   7     59.00
WA912       0900   8     47.00
WA912       0900   9     45.00
WA912       0900  10     49.00
WA912       0900  11     65.00
WA912       0900  12     68.00
WA912       0900  13     77.00
WA912       0900  14     83.00
WA912       0900  15     69.00
WA912       0900  16     56.00
WA912       0900  17     65.00
WA912       0900  18     55.00
WA912       0900  19     60.00
WA912       0900  20     54.00
WA912       0900  21     56.00
WA912       0900  22     53.00
WA912       0900  23     64.00
WA912       0900  24     68.00
WA912       0900  25     69.00
WA912       0900  26     75.00
WA912       0900  27     78.00
WA912       0900  28     56.00
WA912       0900  29     51.00
WA912       0900  30     52.00
WA912       1000   1     48.00
WA912       1000   2     47.00
WA912       1000   3     49.00
WA912       1000   4     58.00
WA912       1000   5     61.00
WA912       1000   6     65.00
WA912       1000   7     68.00
WA912       1000   8     59.00
WA912       1000   9     52.00
WA912       1000  10     44.00
WA912       1000  11     50.00
WA912       1000  12     44.00
WA912       1000  13     45.00
WA912       1000  14     43.00
WA912       1000  15     44.00
WA912       1000  16     47.00
WA912       1000  17     59.00
WA912       1000  18     46.00
WA912       1000  19     51.00
WA912       1000  20     49.00
WA912       1000  21     42.00
WA912       1000  22     51.00
WA912       1000  23     56.00
WA912       1000  24     56.00
WA912       1000  25     58.00
WA912       1000  26     52.00
WA912       1000  27     46.00
WA912       1000  28     44.00
WA912       1000  29     46.00
WA912       1000  30     45.00
WA912       1000  31     39.00
WA912       1100   1     45.00
WA912       1100   2     45.00
WA912       1100   3     51.00
WA912       1100   4     47.00
WA912       1100   5     38.00
WA912       1100   6     40.00
WA912       1100   7     41.00
WA912       1100   8     35.00
WA912       1100   9     37.00
WA912       1100  10     34.00
WA912       1100  11     35.00
WA912       1100  12     40.00
WA912       1100  13     34.00
WA912       1100  14     34.00
WA912       1100  15     37.00
WA912       1100  16     35.00
WA912       1100  17     40.00
WA912       1100  18     42.00
WA912       1100  19     46.00
WA912       1100  20     50.00
WA912       1100  21     44.00
WA912       1100  22     41.00
WA912       1100  23     44.00
WA912       1100  24     38.00
WA912       1100  25     39.00
WA912       1100  26   -999.00
WA912       1100  27     35.00
WA912       1100  28     38.00
WA912       1100  29     39.00
WA912       1100  30     38.00
WA912       1200   1     46.00
WA912       1200   2     41.00
WA912       1200   3     43.00
