$ Get data for 910:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:50:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA910           Elbow Lake
WA910       0800  21     69.00
WA910       0800  22     78.00
WA910       0800  23     82.00
WA910       0800  24     74.00
WA910       0800  25     63.00
WA910       0800  26     58.00
WA910       0800  27     55.00
WA910       0800  28     67.00
WA910       0800  29     53.00
WA910       0800  30     67.00
WA910       0800  31     51.00
WA910       0900   1     57.00
WA910       0900   2     55.00
WA910       0900   3     57.00
WA910       0900   4     56.00
WA910       0900   5     51.00
WA910       0900   6     59.00
WA910       0900   7     59.00
WA910       0900   8     49.00
WA910       0900   9     45.00
WA910       0900  10     58.00
WA910       0900  11     64.00
WA910       0900  12     63.00
WA910       0900  13     78.00
WA910       0900  14     89.00
WA910       0900  15     66.00
WA910       0900  16     64.00
WA910       0900  17     62.00
WA910       0900  18     55.00
WA910       0900  19     68.00
WA910       0900  20     53.00
WA910       0900  21     59.00
WA910       0900  22     60.00
WA910       0900  23     63.00
WA910       0900  24     69.00
WA910       0900  25     70.00
WA910       0900  26     74.00
WA910       0900  27     77.00
WA910       0900  28     61.00
WA910       0900  29     52.00
WA910       0900  30     58.00
WA910       1000   1     54.00
WA910       1000   2     47.00
WA910       1000   3     53.00
WA910       1000   4     59.00
WA910       1000   5     64.00
WA910       1000   6     70.00
WA910       1000   7     73.00
WA910       1000   8     64.00
WA910       1000   9     54.00
WA910       1000  10     51.00
WA910       1000  11     58.00
WA910       1000  12     48.00
WA910       1000  13     48.00
WA910       1000  14     49.00
WA910       1000  15     49.00
WA910       1000  16     44.00
WA910       1000  17     55.00
WA910       1000  18     46.00
WA910       1000  19     48.00
WA910       1000  20     49.00
WA910       1000  21     41.00
WA910       1000  22     51.00
WA910       1000  23     66.00
WA910       1000  24     60.00
WA910       1000  25     60.00
WA910       1000  26     53.00
WA910       1000  27     42.00
WA910       1000  28     43.00
WA910       1000  29     49.00
WA910       1000  30     49.00
WA910       1000  31     38.00
WA910       1100   1     49.00
WA910       1100   2     45.00
WA910       1100   3     48.00
WA910       1100   4     46.00
WA910       1100   5     38.00
WA910       1100   6     43.00
WA910       1100   7     42.00
WA910       1100   8     35.00
WA910       1100   9     42.00
WA910       1100  10     39.00
WA910       1100  11     35.00
WA910       1100  12     39.00
WA910       1100  13     41.00
WA910       1100  14     40.00
WA910       1100  15     40.00
WA910       1100  16     39.00
WA910       1100  17     43.00
WA910       1100  18     46.00
WA910       1100  19     51.00
WA910       1100  20     58.00
WA910       1100  21     50.00
WA910       1100  22     50.00
WA910       1100  23     44.00
WA910       1100  24     36.00
WA910       1100  25     35.00
WA910       1100  26     33.00
WA910       1100  27     34.00
WA910       1100  28     41.00
WA910       1100  29     37.00
WA910       1100  30     36.00
WA910       1200   1     43.00
WA910       1200   2     38.00
WA910       1200   3     47.00
WA910       1200   4     53.00
WA910       1200   5     56.00
WA910       1200   6     55.00
WA910       1200   7     52.00
WA910       1200   8     44.00
WA910       1200   9     30.00
WA910       1200  10     32.00
WA910       1200  11     35.00
WA910       1200  12     32.00
WA910       1200  13     33.00
WA910       1200  14     30.00
WA910       1200  15     29.00
WA910       1200  16     35.00
WA910       1200  17     36.00
WA910       1200  18     37.00
WA910       1200  19     37.00
WA910       1200  20     33.00
WA910       1200  21     45.00
WA910       1200  22     36.00
WA910       1200  23     38.00
WA910       1200  24     38.00
WA910       1200  25     41.00
WA910       1200  26     49.00
WA910       1200  27     45.00
WA910       1200  28     49.00
WA910       1200  29     52.00
WA910       1200  30     44.00
WA910       1200  31     41.00
WA910       0101   1     48.00
WA910       0101   2     52.00
WA910       0101   3     53.00
WA910       0101   4     43.00
WA910       0101   5     39.00
WA910       0101   6     48.00
WA910       0101   7     56.00
WA910       0101   8     46.00
WA910       0101   9     41.00
WA910       0101  10     43.00
WA910       0101  11     39.00
WA910       0101  12     43.00
WA910       0101  13     36.00
WA910       0101  14     34.00
WA910       0101  15     37.00
WA910       0101  16     43.00
WA910       0101  17     43.00
WA910       0101  18     41.00
WA910       0101  19     37.00
WA910       0101  20     38.00
WA910       0101  21     35.00
WA910       0101  22     54.00
WA910       0101  23     56.00
WA910       0101  24     41.00
WA910       0101  25     45.00
WA910       0101  26     46.00
WA910       0101  27     48.00
WA910       0101  28     44.00
WA910       0101  29     32.00
WA910       0101  30     31.00
WA910       0101  31     38.00
WA910       0201   1     40.00
WA910       0201   2     34.00
WA910       0201   3     40.00
WA910       0201   4     36.00
WA910       0201   5     35.00
WA910       0201   6     37.00
WA910       0201   7     35.00
WA910       0201   8     31.00
WA910       0201   9     39.00
WA910       0201  10     40.00
WA910       0201  11     46.00
WA910       0201  12     42.00
WA910       0201  13     48.00
WA910       0201  14     42.00
WA910       0201  15     36.00
WA910       0201  16     34.00
WA910       0201  17     53.00
WA910       0201  18     36.00
WA910       0201  19     51.00
WA910       0201  20     53.00
WA910       0201  21     54.00
WA910       0201  22     50.00
WA910       0201  23     34.00
WA910       0201  24     38.00
WA910       0201  25     44.00
WA910       0201  26     48.00
WA910       0201  27     53.00
WA910       0201  28     51.00
WA910       0301   1     44.00
WA910       0301   2     38.00
WA910       0301   3     42.00
WA910       0301   4     48.00
WA910       0301   5     53.00
WA910       0301   6     65.00
WA910       0301   7     65.00
WA910       0301   8     42.00
WA910       0301   9     51.00
WA910       0301  10     35.00
WA910       0301  11     37.00
WA910       0301  12     39.00
WA910       0301  13     38.00
WA910       0301  14     44.00
WA910       0301  15     35.00
WA910       0301  16     36.00
WA910       0301  17     47.00
WA910       0301  18     41.00
WA910       0301  19     37.00
WA910       0301  20     50.00
WA910       0301  21     49.00
WA910       0301  22     55.00
WA910       0301  23     66.00
WA910       0301  24     64.00
WA910       0301  25     42.00
WA910       0301  26     46.00
WA910       0301  27     35.00
WA910       0301  28     41.00
WA910       0301  29     33.00
WA910       0301  30     51.00
WA910       0301  31     41.00
WA910       0401   1     39.00
WA910       0401   2     41.00
WA910       0401   3     44.00
WA910       0401   4     52.00
WA910       0401   5     35.00
WA910       0401   6     40.00
WA910       0401   7     42.00
WA910       0401   8     44.00
WA910       0401   9     43.00
WA910       0401  10     38.00
WA910       0401  11     53.00
WA910       0401  12     39.00
WA910       0401  13     41.00
WA910       0401  14     49.00
WA910       0401  15     57.00
WA910       0401  16     63.00
WA910       0401  17     43.00
WA910       0401  18     50.00
WA910       0401  19     51.00
WA910       0401  20     58.00
WA910       0401  21     56.00
WA910       0401  22     41.00
WA910       0401  23     44.00
WA910       0401  24     58.00
WA910       0401  25     71.00
WA910       0401  26     66.00
WA910       0401  27     55.00
WA910       0401  28     48.00
WA910       0401  29     38.00
WA910       0401  30     40.00
WA910       0501   1     40.00
WA910       0501   2     54.00
WA910       0501   3     53.00
WA910       0501   4     52.00
WA910       0501   5     43.00
WA910       0501   6     56.00
