$ Get data for 776:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:37:51 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA776           Spencer Meadow
WA776       0800  21     72.00
WA776       0800  22     80.00
WA776       0800  23     83.00
WA776       0800  24     70.00
WA776       0800  25     66.00
WA776       0800  26     59.00
WA776       0800  27     58.00
WA776       0800  28     74.00
WA776       0800  29     66.00
WA776       0800  30     72.00
WA776       0800  31     54.00
WA776       0900   1     55.00
WA776       0900   2     48.00
WA776       0900   3     55.00
WA776       0900   4     58.00
WA776       0900   5     51.00
WA776       0900   6     58.00
WA776       0900   7     60.00
WA776       0900   8     47.00
WA776       0900   9     48.00
WA776       0900  10     50.00
WA776       0900  11     68.00
WA776       0900  12     71.00
WA776       0900  13     85.00
WA776       0900  14     84.00
WA776       0900  15     63.00
WA776       0900  16     65.00
WA776       0900  17     70.00
WA776       0900  18     66.00
WA776       0900  19     69.00
WA776       0900  20     62.00
WA776       0900  21     58.00
WA776       0900  22     54.00
WA776       0900  23     62.00
WA776       0900  24     68.00
WA776       0900  25     72.00
WA776       0900  26     74.00
WA776       0900  27     76.00
WA776       0900  28     59.00
WA776       0900  29     52.00
WA776       0900  30     54.00
WA776       1000   1     53.00
WA776       1000   2     47.00
WA776       1000   3     56.00
WA776       1000   4     62.00
WA776       1000   5     58.00
WA776       1000   6     63.00
WA776       1000   7     68.00
WA776       1000   8     65.00
WA776       1000   9     48.00
WA776       1000  10     43.00
WA776       1000  11     54.00
WA776       1000  12     43.00
WA776       1000  13     45.00
WA776       1000  14     47.00
WA776       1000  15     48.00
WA776       1000  16     50.00
WA776       1000  17     58.00
WA776       1000  18     48.00
WA776       1000  19     52.00
WA776       1000  20     47.00
WA776       1000  21     42.00
WA776       1000  22     52.00
WA776       1000  23     55.00
WA776       1000  24     58.00
WA776       1000  25     50.00
WA776       1000  26     46.00
WA776       1000  27     42.00
WA776       1000  28     41.00
WA776       1000  29     43.00
WA776       1000  30     50.00
WA776       1000  31     39.00
WA776       1100   1     42.00
WA776       1100   2     44.00
WA776       1100   3     56.00
WA776       1100   4     41.00
WA776       1100   5     36.00
WA776       1100   6     40.00
WA776       1100   7     39.00
WA776       1100   8     34.00
WA776       1100   9     37.00
WA776       1100  10     31.00
WA776       1100  11     31.00
WA776       1100  12     32.00
WA776       1100  13     32.00
WA776       1100  14     33.00
WA776       1100  15     38.00
WA776       1100  16     39.00
WA776       1100  17     32.00
WA776       1100  18     38.00
WA776       1100  19     38.00
WA776       1100  20     33.00
WA776       1100  21     38.00
WA776       1100  22     44.00
WA776       1100  23     34.00
WA776       1100  24     37.00
WA776       1100  25     37.00
WA776       1100  26     37.00
WA776       1100  27     33.00
WA776       1100  28     34.00
WA776       1100  29     33.00
WA776       1100  30     37.00
WA776       1200   1     38.00
WA776       1200   2     40.00
WA776       1200   3     38.00
WA776       1200   4     41.00
WA776       1200   5     37.00
WA776       1200   6     42.00
WA776       1200   7     38.00
WA776       1200   8     39.00
WA776       1200   9     31.00
WA776       1200  10     28.00
WA776       1200  11     23.00
WA776       1200  12     23.00
WA776       1200  13     26.00
WA776       1200  14     31.00
WA776       1200  15     30.00
WA776       1200  16     35.00
WA776       1200  17     31.00
WA776       1200  18     33.00
WA776       1200  19     32.00
WA776       1200  20     29.00
WA776       1200  21     30.00
WA776       1200  22     34.00
WA776       1200  23     33.00
WA776       1200  24     34.00
WA776       1200  25     35.00
WA776       1200  26     38.00
WA776       1200  27     37.00
WA776       1200  28     40.00
WA776       1200  29     41.00
WA776       1200  30     42.00
WA776       1200  31     36.00
WA776       0101   1     40.00
WA776       0101   2     51.00
WA776       0101   3     49.00
WA776       0101   4     42.00
WA776       0101   5     38.00
WA776       0101   6     39.00
WA776       0101   7     39.00
WA776       0101   8     36.00
WA776       0101   9     34.00
WA776       0101  10     36.00
WA776       0101  11     37.00
WA776       0101  12     34.00
WA776       0101  13     32.00
WA776       0101  14     31.00
WA776       0101  15     33.00
WA776       0101  16     34.00
WA776       0101  17     37.00
WA776       0101  18     39.00
WA776       0101  19     35.00
WA776       0101  20     36.00
WA776       0101  21     35.00
WA776       0101  22     39.00
WA776       0101  23     36.00
WA776       0101  24     31.00
WA776       0101  25     34.00
WA776       0101  26     41.00
WA776       0101  27     38.00
WA776       0101  28     35.00
WA776       0101  29     31.00
WA776       0101  30     30.00
WA776       0101  31     38.00
WA776       0201   1     41.00
WA776       0201   2     33.00
WA776       0201   3     36.00
WA776       0201   4     40.00
WA776       0201   5     33.00
WA776       0201   6     32.00
WA776       0201   7     31.00
WA776       0201   8     29.00
WA776       0201   9     32.00
WA776       0201  10     30.00
WA776       0201  11     40.00
WA776       0201  12     40.00
WA776       0201  13     45.00
WA776       0201  14     42.00
WA776       0201  15     33.00
WA776       0201  16     31.00
WA776       0201  17     33.00
WA776       0201  18     38.00
WA776       0201  19     38.00
WA776       0201  20     45.00
WA776       0201  21     36.00
WA776       0201  22     47.00
WA776       0201  23     33.00
WA776       0201  24     45.00
WA776       0201  25     45.00
WA776       0201  26     50.00
WA776       0201  27     47.00
WA776       0201  28     47.00
WA776       0301   1     44.00
WA776       0301   2     32.00
WA776       0301   3     38.00
WA776       0301   4     35.00
WA776       0301   5     56.00
WA776       0301   6     58.00
WA776       0301   7     59.00
WA776       0301   8     42.00
WA776       0301   9     41.00
WA776       0301  10     39.00
WA776       0301  11     43.00
WA776       0301  12     44.00
WA776       0301  13     37.00
WA776       0301  14     38.00
WA776       0301  15     34.00
WA776       0301  16     31.00
WA776       0301  17     38.00
WA776       0301  18     44.00
WA776       0301  19     39.00
WA776       0301  20     50.00
WA776       0301  21     54.00
WA776       0301  22     59.00
WA776       0301  23     63.00
WA776       0301  24     58.00
WA776       0301  25     40.00
WA776       0301  26     38.00
WA776       0301  27     37.00
WA776       0301  28     39.00
WA776       0301  29     41.00
WA776       0301  30     45.00
WA776       0301  31     40.00
WA776       0401   1     38.00
WA776       0401   2     37.00
WA776       0401   3     38.00
WA776       0401   4     46.00
WA776       0401   5     41.00
WA776       0401   6     33.00
WA776       0401   7     36.00
WA776       0401   8     37.00
WA776       0401   9     39.00
WA776       0401  10     32.00
WA776       0401  11     42.00
WA776       0401  12     32.00
WA776       0401  13     38.00
WA776       0401  14     43.00
WA776       0401  15     54.00
WA776       0401  16     57.00
WA776       0401  17     44.00
WA776       0401  18     45.00
WA776       0401  19     45.00
WA776       0401  20     46.00
WA776       0401  21     48.00
WA776       0401  22     40.00
WA776       0401  23     43.00
WA776       0401  24     64.00
WA776       0401  25     72.00
WA776       0401  26     63.00
WA776       0401  27     51.00
WA776       0401  28     38.00
WA776       0401  29     39.00
WA776       0401  30     41.00
WA776       0501   1     36.00
WA776       0501   2     49.00
WA776       0501   3     60.00
WA776       0501   4     57.00
WA776       0501   5     42.00
WA776       0501   6     58.00
WA776       0501   7     66.00
WA776       0501   8     57.00
WA776       0501   9     56.00
WA776       0501  10     60.00
WA776       0501  11     76.00
WA776       0501  12     68.00
WA776       0501  13     55.00
WA776       0501  14     44.00
WA776       0501  15     45.00
WA776       0501  16     46.00
WA776       0501  17     49.00
WA776       0501  18     55.00
WA776       0501  19     50.00
WA776       0501  20     59.00
WA776       0501  21     77.00
WA776       0501  22     86.00
WA776       0501  23     80.00
WA776       0501  24     72.00
WA776       0501  25     73.00
WA776       0501  26     76.00
WA776       0501  27     58.00
WA776       0501  28     44.00
WA776       0501  29     53.00
WA776       0501  30     65.00
WA776       0501  31     82.00
WA776       0601   1     53.00
WA776       0601   2     40.00
WA776       0601   3     46.00
WA776       0601   4     51.00
WA776       0601   5     45.00
WA776       0601   6     60.00
WA776       0601   7     67.00
WA776       0601   8     66.00
WA776       0601   9     52.00
WA776       0601  10     50.00
WA776       0601  11     43.00
WA776       0601  12     40.00
WA776       0601  13     60.00
WA776       0601  14     55.00
WA776       0601  15     59.00
WA776       0601  16     56.00
WA776       0601  17     54.00
WA776       0601  18     63.00
WA776       0601  19     75.00
WA776       0601  20     78.00
WA776       0601  21     74.00
WA776       0601  22     64.00
WA776       0601  23     58.00
WA776       0601  24     46.00
WA776       0601  25     64.00
WA776       0601  26     64.00
WA776       0601  27     60.00
WA776       0601  28     54.00
WA776       0601  29     65.00
WA776       0601  30     65.00
WA776       0701   1     67.00
WA776       0701   2     77.00
WA776       0701   3     89.00
WA776       0701   4     77.00
WA776       0701   5     66.00
WA776       0701   6     66.00
WA776       0701   7     71.00
WA776       0701   8     76.00
WA776       0701   9     79.00
WA776       0701  10     77.00
WA776       0701  11     75.00
WA776       0701  12     72.00
WA776       0701  13     69.00
WA776       0701  14     65.00
WA776       0701  15     48.00
WA776       0701  16     49.00
WA776       0701  17     50.00
WA776       0701  18     58.00
WA776       0701  19     64.00
WA776       0701  20     51.00
WA776       0701  21     56.00
WA776       0701  22     67.00
WA776       0701  23     72.00
WA776       0701  24     70.00
WA776       0701  25     71.00
WA776       0701  26     69.00
WA776       0701  27     64.00
WA776       0701  28     52.00
WA776       0701  29     54.00
WA776       0701  30     58.00
WA776       0701  31     60.00
WA776       0801   1     62.00
WA776       0801   2     66.00
WA776       0801   3     57.00
WA776       0801   4     60.00
WA776       0801   5     70.00
WA776       0801   6     73.00
WA776       0801   7     72.00
WA776       0801   8     84.00
WA776       0801   9     88.00
WA776       0801  10     82.00
WA776       0801  11     79.00
WA776       0801  12     88.00
WA776       0801  13     77.00
WA776       0801  14     85.00
WA776       0801  15     78.00
WA776       0801  16     65.00
WA776       0801  17     67.00
WA776       0801  18     59.00
WA776       0801  19     66.00
WA776       0801  20     63.00
WA776       0801  21     53.00
WA776       0801  22     54.00
WA776       0801  23     50.00
WA776       0801  24     62.00
WA776       0801  25     78.00
WA776       0801  26     77.00
WA776       0801  27     70.00
WA776       0801  28     71.00
