$ Get data for 832:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:42:59 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA832           Trough
WA832       0800  21     64.00
WA832       0800  22     69.00
WA832       0800  23     78.00
WA832       0800  24     75.00
WA832       0800  25     68.00
WA832       0800  26     58.00
WA832       0800  27     56.00
WA832       0800  28     62.00
WA832       0800  29     60.00
WA832       0800  30     64.00
WA832       0800  31     57.00
WA832       0900   1     51.00
WA832       0900   2     49.00
WA832       0900   3     49.00
WA832       0900   4     53.00
WA832       0900   5     57.00
WA832       0900   6     57.00
WA832       0900   7     61.00
WA832       0900   8     44.00
WA832       0900   9     47.00
WA832       0900  10     54.00
WA832       0900  11     61.00
WA832       0900  12     68.00
WA832       0900  13     69.00
WA832       0900  14     74.00
WA832       0900  15     69.00
WA832       0900  16     69.00
WA832       0900  17     72.00
WA832       0900  18     61.00
WA832       0900  19     63.00
WA832       0900  20     61.00
WA832       0900  21     43.00
WA832       0900  22     38.00
WA832       0900  23     52.00
WA832       0900  24     54.00
WA832       0900  25     58.00
WA832       0900  26     63.00
WA832       0900  27     66.00
WA832       0900  28     63.00
WA832       0900  29     53.00
WA832       0900  30     51.00
WA832       1000   1     50.00
WA832       1000   2     50.00
WA832       1000   3     46.00
WA832       1000   4     48.00
WA832       1000   5     45.00
WA832       1000   6     48.00
WA832       1000   7     56.00
WA832       1000   8     62.00
WA832       1000   9     53.00
WA832       1000  10     45.00
WA832       1000  11     53.00
WA832       1000  12     55.00
WA832       1000  13     53.00
WA832       1000  14     47.00
WA832       1000  15     49.00
WA832       1000  16     46.00
WA832       1000  17     52.00
WA832       1000  18     45.00
WA832       1000  19     48.00
WA832       1000  20     43.00
WA832       1000  21     37.00
WA832       1000  22     44.00
WA832       1000  23     49.00
WA832       1000  24     52.00
WA832       1000  25     49.00
WA832       1000  26     41.00
WA832       1000  27     42.00
WA832       1000  28     37.00
WA832       1000  29     36.00
WA832       1000  30     42.00
WA832       1000  31     40.00
WA832       1100   1     37.00
WA832       1100   2     40.00
WA832       1100   3     54.00
WA832       1100   4     42.00
WA832       1100   5     33.00
WA832       1100   6     32.00
WA832       1100   7     30.00
WA832       1100   8     27.00
WA832       1100   9     22.00
WA832       1100  10     18.00
WA832       1100  11     28.00
WA832       1100  12     39.00
WA832       1100  13     19.00
WA832       1100  14     24.00
WA832       1100  15     31.00
WA832       1100  16     31.00
WA832       1100  17     35.00
WA832       1100  18     38.00
WA832       1100  19     34.00
WA832       1100  20     38.00
WA832       1100  21     35.00
WA832       1100  22     47.00
WA832       1100  23     35.00
WA832       1100  24     36.00
WA832       1100  25     35.00
WA832       1100  26     30.00
WA832       1100  27     32.00
WA832       1100  28     29.00
WA832       1100  29     28.00
WA832       1100  30     33.00
WA832       1200   1     35.00
WA832       1200   2     35.00
WA832       1200   3     34.00
WA832       1200   4     43.00
WA832       1200   5     45.00
WA832       1200   6     53.00
WA832       1200   7     41.00
WA832       1200   8     42.00
WA832       1200   9     28.00
WA832       1200  10     21.00
WA832       1200  11     12.00
WA832       1200  12     18.00
WA832       1200  13     21.00
WA832       1200  14     25.00
WA832       1200  15     22.00
WA832       1200  16     27.00
WA832       1200  17     30.00
WA832       1200  18     33.00
WA832       1200  19     31.00
WA832       1200  20     21.00
WA832       1200  21     26.00
WA832       1200  22     31.00
WA832       1200  23     31.00
WA832       1200  24     35.00
WA832       1200  25     37.00
WA832       1200  26     43.00
WA832       1200  27     41.00
WA832       1200  28     34.00
WA832       1200  29     38.00
WA832       1200  30     39.00
WA832       1200  31     34.00
WA832       0101   1     45.00
WA832       0101   2     47.00
WA832       0101   3     42.00
WA832       0101   4     40.00
WA832       0101   5     37.00
WA832       0101   6     37.00
WA832       0101   7     30.00
WA832       0101   8     31.00
WA832       0101   9     29.00
WA832       0101  10     35.00
WA832       0101  11     25.00
WA832       0101  12     30.00
WA832       0101  13     28.00
WA832       0101  14     29.00
WA832       0101  15     24.00
WA832       0101  16     35.00
WA832       0101  17     36.00
WA832       0101  18     39.00
WA832       0101  19     33.00
WA832       0101  20     31.00
WA832       0101  21     33.00
WA832       0101  22     29.00
WA832       0101  23     24.00
WA832       0101  24     32.00
WA832       0101  25     35.00
WA832       0101  26     27.00
WA832       0101  27     38.00
WA832       0101  28     40.00
WA832       0101  29     25.00
WA832       0101  30     28.00
WA832       0101  31     41.00
WA832       0201   1     43.00
WA832       0201   2     28.00
WA832       0201   3     36.00
WA832       0201   4     32.00
WA832       0201   5     31.00
WA832       0201   6     21.00
WA832       0201   7     25.00
WA832       0201   8     24.00
WA832       0201   9     21.00
WA832       0201  10     17.00
WA832       0201  11     21.00
WA832       0201  12     32.00
WA832       0201  13     34.00
WA832       0201  14     46.00
WA832       0201  15     31.00
WA832       0201  16     27.00
WA832       0201  17     31.00
WA832       0201  18     36.00
WA832       0201  19     36.00
WA832       0201  20     34.00
WA832       0201  21     37.00
WA832       0201  22     35.00
WA832       0201  23     31.00
WA832       0201  24     36.00
WA832       0201  25     36.00
WA832       0201  26     32.00
WA832       0201  27     40.00
WA832       0201  28     44.00
WA832       0301   1     36.00
WA832       0301   2     30.00
WA832       0301   3     29.00
WA832       0301   4     30.00
WA832       0301   5     47.00
WA832       0301   6     49.00
WA832       0301   7     50.00
WA832       0301   8     43.00
WA832       0301   9     40.00
WA832       0301  10     40.00
WA832       0301  11     42.00
WA832       0301  12     46.00
WA832       0301  13     37.00
WA832       0301  14     41.00
WA832       0301  15     30.00
WA832       0301  16     34.00
WA832       0301  17     40.00
WA832       0301  18     37.00
WA832       0301  19     37.00
WA832       0301  20     41.00
WA832       0301  21     48.00
WA832       0301  22     52.00
WA832       0301  23     53.00
WA832       0301  24     48.00
WA832       0301  25     40.00
WA832       0301  26     33.00
WA832       0301  27     32.00
WA832       0301  28     40.00
WA832       0301  29     42.00
WA832       0301  30     40.00
WA832       0301  31     40.00
WA832       0401   1     38.00
WA832       0401   2     34.00
WA832       0401   3     32.00
WA832       0401   4     40.00
WA832       0401   5     37.00
WA832       0401   6     36.00
WA832       0401   7     31.00
WA832       0401   8     36.00
WA832       0401   9     42.00
