$ Get data for 911:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:33:05 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA911           Rex River
WA911       0800  21     65.00
WA911       0800  22     73.00
WA911       0800  23     77.00
WA911       0800  24     67.00
WA911       0800  25     57.00
WA911       0800  26     49.00
WA911       0800  27     52.00
WA911       0800  28     62.00
WA911       0800  29     60.00
WA911       0800  30     60.00
WA911       0800  31     47.00
WA911       0900   1     55.00
WA911       0900   2     49.00
WA911       0900   3     52.00
WA911       0900   4     54.00
WA911       0900   5     51.00
WA911       0900   6     52.00
WA911       0900   7     58.00
WA911       0900   8     46.00
WA911       0900   9     45.00
WA911       0900  10     49.00
WA911       0900  11     64.00
WA911       0900  12     68.00
WA911       0900  13     76.00
WA911       0900  14     83.00
WA911       0900  15     63.00
WA911       0900  16     60.00
WA911       0900  17     67.00
WA911       0900  18     54.00
WA911       0900  19     61.00
WA911       0900  20     55.00
WA911       0900  21     51.00
WA911       0900  22     51.00
WA911       0900  23     59.00
WA911       0900  24     61.00
WA911       0900  25     71.00
WA911       0900  26     72.00
WA911       0900  27     76.00
WA911       0900  28     60.00
WA911       0900  29     52.00
WA911       0900  30     52.00
WA911       1000   1     48.00
WA911       1000   2     46.00
WA911       1000   3     48.00
WA911       1000   4     56.00
WA911       1000   5     53.00
WA911       1000   6     56.00
WA911       1000   7     61.00
WA911       1000   8     64.00
WA911       1000   9     50.00
WA911       1000  10     43.00
WA911       1000  11     53.00
WA911       1000  12     44.00
WA911       1000  13     45.00
WA911       1000  14     42.00
WA911       1000  15     45.00
WA911       1000  16     47.00
WA911       1000  17     64.00
WA911       1000  18     46.00
WA911       1000  19     49.00
WA911       1000  20     49.00
WA911       1000  21     39.00
WA911       1000  22     46.00
WA911       1000  23     51.00
WA911       1000  24     60.00
WA911       1000  25     54.00
WA911       1000  26     53.00
WA911       1000  27     49.00
WA911       1000  28     48.00
WA911       1000  29     43.00
WA911       1000  30     51.00
WA911       1000  31     37.00
WA911       1100   1     50.00
WA911       1100   2     44.00
WA911       1100   3     56.00
WA911       1100   4     45.00
WA911       1100   5     34.00
WA911       1100   6     37.00
WA911       1100   7     38.00
WA911       1100   8     35.00
WA911       1100   9     36.00
WA911       1100  10     29.00
WA911       1100  11     33.00
WA911       1100  12     39.00
WA911       1100  13     27.00
WA911       1100  14     37.00
WA911       1100  15     43.00
WA911       1100  16     41.00
WA911       1100  17     33.00
WA911       1100  18     45.00
WA911       1100  19     36.00
WA911       1100  20     37.00
WA911       1100  21     40.00
WA911       1100  22     47.00
WA911       1100  23     40.00
WA911       1100  24     35.00
WA911       1100  25     40.00
WA911       1100  26     35.00
WA911       1100  27     31.00
WA911       1100  28     30.00
WA911       1100  29     37.00
WA911       1100  30     40.00
WA911       1200   1     37.00
WA911       1200   2     37.00
WA911       1200   3     38.00
WA911       1200   4     44.00
WA911       1200   5     48.00
WA911       1200   6     57.00
WA911       1200   7     42.00
WA911       1200   8     40.00
WA911       1200   9     29.00
WA911       1200  10     25.00
WA911       1200  11     18.00
WA911       1200  12     24.00
WA911       1200  13     26.00
WA911       1200  14     31.00
WA911       1200  15     26.00
WA911       1200  16     45.00
WA911       1200  17     28.00
WA911       1200  18     36.00
WA911       1200  19     33.00
WA911       1200  20     26.00
WA911       1200  21     28.00
WA911       1200  22     34.00
WA911       1200  23     34.00
WA911       1200  24     34.00
WA911       1200  25     42.00
WA911       1200  26     46.00
WA911       1200  27     39.00
WA911       1200  28     37.00
WA911       1200  29     42.00
WA911       1200  30     44.00
WA911       1200  31     34.00
WA911       0101   1     46.00
WA911       0101   2     53.00
WA911       0101   3     49.00
WA911       0101   4     48.00
WA911       0101   5     45.00
WA911       0101   6     41.00
WA911       0101   7     37.00
WA911       0101   8     36.00
WA911       0101   9     33.00
WA911       0101  10     38.00
WA911       0101  11     34.00
WA911       0101  12     32.00
WA911       0101  13     31.00
WA911       0101  14     30.00
WA911       0101  15     33.00
WA911       0101  16     36.00
WA911       0101  17     42.00
WA911       0101  18     41.00
WA911       0101  19     36.00
WA911       0101  20     33.00
WA911       0101  21     36.00
WA911       0101  22     35.00
WA911       0101  23     37.00
WA911       0101  24     36.00
WA911       0101  25     36.00
WA911       0101  26     37.00
WA911       0101  27     45.00
WA911       0101  28     43.00
WA911       0101  29     28.00
WA911       0101  30     31.00
WA911       0101  31     37.00
WA911       0201   1     45.00
WA911       0201   2     36.00
WA911       0201   3     37.00
WA911       0201   4     38.00
WA911       0201   5     31.00
WA911       0201   6     31.00
WA911       0201   7     30.00
WA911       0201   8     26.00
WA911       0201   9     29.00
WA911       0201  10     25.00
WA911       0201  11     34.00
WA911       0201  12     39.00
WA911       0201  13     46.00
WA911       0201  14     45.00
WA911       0201  15     35.00
WA911       0201  16     27.00
WA911       0201  17     35.00
WA911       0201  18     40.00
WA911       0201  19     41.00
WA911       0201  20     42.00
WA911       0201  21     41.00
WA911       0201  22     49.00
WA911       0201  23     33.00
WA911       0201  24     43.00
WA911       0201  25     39.00
WA911       0201  26     48.00
WA911       0201  27     43.00
WA911       0201  28     50.00
WA911       0301   1     40.00
WA911       0301   2     32.00
WA911       0301   3     33.00
WA911       0301   4     35.00
WA911       0301   5     58.00
WA911       0301   6     54.00
WA911       0301   7     59.00
WA911       0301   8     41.00
WA911       0301   9     40.00
WA911       0301  10     31.00
WA911       0301  11     35.00
WA911       0301  12     37.00
WA911       0301  13     37.00
WA911       0301  14     38.00
WA911       0301  15     34.00
WA911       0301  16     34.00
WA911       0301  17     51.00
WA911       0301  18     42.00
WA911       0301  19     40.00
WA911       0301  20     47.00
WA911       0301  21     53.00
WA911       0301  22     55.00
WA911       0301  23     64.00
WA911       0301  24     57.00
WA911       0301  25     42.00
WA911       0301  26     34.00
WA911       0301  27     36.00
WA911       0301  28     36.00
WA911       0301  29     32.00
WA911       0301  30     47.00
WA911       0301  31     39.00
WA911       0401   1     39.00
WA911       0401   2     32.00
WA911       0401   3     38.00
WA911       0401   4     49.00
WA911       0401   5     41.00
WA911       0401   6     38.00
WA911       0401   7     38.00
WA911       0401   8     36.00
WA911       0401   9     37.00
WA911       0401  10     33.00
WA911       0401  11     45.00
WA911       0401  12     41.00
WA911       0401  13     36.00
WA911       0401  14     46.00
WA911       0401  15     50.00
WA911       0401  16     58.00
WA911       0401  17     49.00
WA911       0401  18     47.00
WA911       0401  19     47.00
WA911       0401  20     48.00
WA911       0401  21     50.00
WA911       0401  22     42.00
WA911       0401  23     46.00
WA911       0401  24     62.00
WA911       0401  25     73.00
WA911       0401  26     61.00
WA911       0401  27     53.00
WA911       0401  28     43.00
WA911       0401  29     41.00
WA911       0401  30     35.00
WA911       0501   1     36.00
WA911       0501   2     49.00
WA911       0501   3     57.00
WA911       0501   4     57.00
WA911       0501   5     41.00
WA911       0501   6     58.00
WA911       0501   7     64.00
WA911       0501   8     49.00
WA911       0501   9     49.00
WA911       0501  10     56.00
WA911       0501  11     68.00
WA911       0501  12     65.00
WA911       0501  13     53.00
WA911       0501  14     42.00
WA911       0501  15     51.00
WA911       0501  16     41.00
WA911       0501  17     44.00
WA911       0501  18     48.00
WA911       0501  19     43.00
WA911       0501  20     53.00
WA911       0501  21     70.00
WA911       0501  22     84.00
WA911       0501  23     77.00
WA911       0501  24     65.00
WA911       0501  25     67.00
WA911       0501  26     70.00
WA911       0501  27     55.00
WA911       0501  28     46.00
WA911       0501  29     47.00
WA911       0501  30     57.00
WA911       0501  31     78.00
WA911       0601   1     63.00
WA911       0601   2     40.00
WA911       0601   3     40.00
WA911       0601   4     44.00
WA911       0601   5     45.00
WA911       0601   6     53.00
WA911       0601   7     62.00
WA911       0601   8     63.00
WA911       0601   9     46.00
WA911       0601  10     47.00
WA911       0601  11     40.00
WA911       0601  12     38.00
WA911       0601  13     53.00
WA911       0601  14     48.00
WA911       0601  15     52.00
WA911       0601  16     48.00
WA911       0601  17     51.00
WA911       0601  18     58.00
WA911       0601  19     70.00
WA911       0601  20     71.00
WA911       0601  21     69.00
WA911       0601  22     57.00
WA911       0601  23     56.00
WA911       0601  24     46.00
WA911       0601  25     58.00
WA911       0601  26     60.00
WA911       0601  27     58.00
WA911       0601  28     50.00
WA911       0601  29     60.00
WA911       0601  30     61.00
WA911       0701   1     61.00
WA911       0701   2     69.00
WA911       0701   3     78.00
WA911       0701   4     72.00
WA911       0701   5     58.00
WA911       0701   6     61.00
WA911       0701   7     66.00
WA911       0701   8     70.00
WA911       0701   9     74.00
WA911       0701  10     73.00
WA911       0701  11     70.00
WA911       0701  12     69.00
