$ Get data for 507:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:53:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA507           Grouse Camp
WA507       0800  21     36.00
WA507       0800  22     42.00
WA507       0800  23     48.00
WA507       0800  24     55.00
WA507       0800  25     46.00
WA507       0800  26     39.00
WA507       0800  27     32.00
WA507       0800  28     36.00
WA507       0800  29     44.00
WA507       0800  30     43.00
WA507       0800  31     35.00
WA507       0900   1     29.00
WA507       0900   2     31.00
WA507       0900   3     30.00
WA507       0900   4     35.00
WA507       0900   5     34.00
WA507       0900   6     35.00
WA507       0900   7     37.00
WA507       0900   8     32.00
WA507       0900   9     33.00
WA507       0900  10     36.00
WA507       0900  11     32.00
WA507       0900  12     42.00
WA507       0900  13     46.00
WA507       0900  14     53.00
WA507       0900  15     43.00
WA507       0900  16     41.00
WA507       0900  17     48.00
WA507       0900  18     48.00
WA507       0900  19     43.00
WA507       0900  20     38.00
WA507       0900  21     27.00
WA507       0900  22   -999.00
WA507       0900  23     26.00
WA507       0900  24     32.00
WA507       0900  25     34.00
WA507       0900  26     37.00
WA507       0900  27     40.00
WA507       0900  28     43.00
WA507       0900  29     43.00
WA507       0900  30     45.00
WA507       1000   1     30.00
WA507       1000   2     26.00
WA507       1000   3     26.00
WA507       1000   4     28.00
WA507       1000   5     26.00
WA507       1000   6     32.00
WA507       1000   7     33.00
WA507       1000   8     37.00
WA507       1000   9     38.00
WA507       1000  10     37.00
WA507       1000  11     38.00
WA507       1000  12     36.00
WA507       1000  13     35.00
WA507       1000  14     27.00
WA507       1000  15     25.00
WA507       1000  16     35.00
WA507       1000  17     32.00
WA507       1000  18     31.00
WA507       1000  19     29.00
WA507       1000  20     28.00
WA507       1000  21     24.00
WA507       1000  22     22.00
WA507       1000  23     25.00
WA507       1000  24     30.00
WA507       1000  25     33.00
WA507       1000  26     33.00
WA507       1000  27     32.00
WA507       1000  28     28.00
WA507       1000  29     27.00
WA507       1000  30     25.00
WA507       1000  31     24.00
WA507       1100   1     20.00
WA507       1100   2     25.00
WA507       1100   3     29.00
WA507       1100   4     26.00
WA507       1100   5     23.00
WA507       1100   6     22.00
WA507       1100   7     24.00
WA507       1100   8     20.00
WA507       1100   9     14.00
WA507       1100  10     10.00
WA507       1100  11      5.00
WA507       1100  12     12.00
WA507       1100  13     11.00
WA507       1100  14     14.00
WA507       1100  15     11.00
WA507       1100  16     14.00
WA507       1100  17      9.00
WA507       1100  18     21.00
WA507       1100  19     19.00
WA507       1100  20     17.00
WA507       1100  21     18.00
WA507       1100  22     22.00
WA507       1100  23     24.00
WA507       1100  24     23.00
WA507       1100  25     24.00
WA507       1100  26     23.00
WA507       1100  27     13.00
WA507       1100  28     12.00
WA507       1100  29     19.00
WA507       1100  30     22.00
WA507       1200   1     22.00
WA507       1200   2     17.00
WA507       1200   3     17.00
WA507       1200   4     20.00
WA507       1200   5     26.00
WA507       1200   6     27.00
WA507       1200   7     19.00
WA507       1200   8     19.00
WA507       1200   9     15.00
WA507       1200  10      1.00
WA507       1200  11      0.00
WA507       1200  12      1.00
WA507       1200  13      4.00
WA507       1200  14     13.00
WA507       1200  15      6.00
WA507       1200  16      9.00
WA507       1200  17     12.00
WA507       1200  18     13.00
WA507       1200  19     14.00
WA507       1200  20     15.00
WA507       1200  21     16.00
WA507       1200  22     22.00
WA507       1200  23     24.00
WA507       1200  24     20.00
WA507       1200  25     19.00
WA507       1200  26     25.00
WA507       1200  27     22.00
WA507       1200  28     17.00
WA507       1200  29     23.00
WA507       1200  30     29.00
WA507       1200  31     25.00
WA507       0101   1     19.00
WA507       0101   2     26.00
WA507       0101   3     28.00
WA507       0101   4     32.00
WA507       0101   5     18.00
WA507       0101   6     17.00
WA507       0101   7     19.00
WA507       0101   8     23.00
WA507       0101   9     17.00
WA507       0101  10     20.00
WA507       0101  11     22.00
WA507       0101  12     21.00
WA507       0101  13     18.00
WA507       0101  14     18.00
WA507       0101  15     11.00
WA507       0101  16     10.00
WA507       0101  17     16.00
WA507       0101  18     28.00
WA507       0101  19     14.00
WA507       0101  20     14.00
WA507       0101  21     20.00
WA507       0101  22     16.00
WA507       0101  23     15.00
WA507       0101  24     24.00
WA507       0101  25     15.00
WA507       0101  26     16.00
WA507       0101  27     15.00
WA507       0101  28     13.00
WA507       0101  29     16.00
WA507       0101  30     18.00
WA507       0101  31     24.00
WA507       0201   1     24.00
WA507       0201   2     21.00
WA507       0201   3     15.00
WA507       0201   4     24.00
WA507       0201   5     17.00
WA507       0201   6     10.00
