$ Get data for 376:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:46:09 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA376           Bunchgrass Mdw
WA376       0800  20     27.00
WA376       0800  21     29.00
WA376       0800  22     30.00
WA376       0800  23     33.00
WA376       0800  24     40.00
WA376       0800  25     36.00
WA376       0800  26     38.00
WA376       0800  27     32.00
WA376       0800  28     25.00
WA376       0800  29     29.00
WA376       0800  30     30.00
WA376       0800  31     29.00
WA376       0900   1     40.00
WA376       0900   2     38.00
WA376       0900   3     28.00
WA376       0900   4     28.00
WA376       0900   5     29.00
WA376       0900   6     40.00
WA376       0900   7     29.00
WA376       0900   8     32.00
WA376       0900   9     31.00
WA376       0900  10     30.00
WA376       0900  11     28.00
WA376       0900  12     31.00
WA376       0900  13     34.00
WA376       0900  14     35.00
WA376       0900  15     39.00
WA376       0900  16     36.00
WA376       0900  17     37.00
WA376       0900  18     48.00
WA376       0900  19     34.00
WA376       0900  20     32.00
WA376       0900  21     22.00
WA376       0900  22     19.00
WA376       0900  23     14.00
WA376       0900  24     20.00
WA376       0900  25     24.00
WA376       0900  26     26.00
WA376       0900  27     26.00
WA376       0900  28     28.00
WA376       0900  29     33.00
WA376       0900  30     45.00
WA376       1000   1     32.00
WA376       1000   2     24.00
WA376       1000   3     24.00
WA376       1000   4     23.00
WA376       1000   5     17.00
WA376       1000   6     16.00
WA376       1000   7     20.00
WA376       1000   8     24.00
WA376       1000   9     27.00
WA376       1000  10     31.00
WA376       1000  11     34.00
WA376       1000  12     26.00
WA376       1000  13     31.00
WA376       1000  14     29.00
WA376       1000  15     26.00
WA376       1000  16     28.00
WA376       1000  17     33.00
WA376       1000  18     35.00
WA376       1000  19     27.00
WA376       1000  20     33.00
WA376       1000  21     20.00
WA376       1000  22     17.00
WA376       1000  23     21.00
WA376       1000  24     23.00
WA376       1000  25     22.00
WA376       1000  26     26.00
WA376       1000  27     32.00
WA376       1000  28     31.00
WA376       1000  29     22.00
WA376       1000  30     19.00
WA376       1000  31     19.00
WA376       1100   1     18.00
WA376       1100   2     16.00
WA376       1100   3     20.00
WA376       1100   4     29.00
WA376       1100   5     11.00
WA376       1100   6      4.00
WA376       1100   7      5.00
WA376       1100   8     22.00
WA376       1100   9     11.00
WA376       1100  10     -3.00
WA376       1100  11    -11.00
WA376       1100  12     13.00
WA376       1100  13      6.00
WA376       1100  14      0.00
WA376       1100  15      2.00
WA376       1100  16     12.00
WA376       1100  17     -4.00
WA376       1100  18     14.00
WA376       1100  19     10.00
WA376       1100  20      3.00
WA376       1100  21      8.00
WA376       1100  22      4.00
WA376       1100  23      2.00
WA376       1100  24     14.00
WA376       1100  25     21.00
WA376       1100  26     23.00
WA376       1100  27     16.00
WA376       1100  28     -1.00
WA376       1100  29     13.00
WA376       1100  30     21.00
WA376       1200   1     10.00
WA376       1200   2     10.00
WA376       1200   3      2.00
WA376       1200   4     -2.00
WA376       1200   5      9.00
WA376       1200   6      8.00
WA376       1200   7      2.00
WA376       1200   8      2.00
WA376       1200   9     13.00
WA376       1200  10      4.00
WA376       1200  11    -13.00
WA376       1200  12    -16.00
WA376       1200  13    -10.00
WA376       1200  14      5.00
WA376       1200  15     -8.00
WA376       1200  16     -2.00
WA376       1200  17     19.00
WA376       1200  18      5.00
WA376       1200  19      8.00
WA376       1200  20     -9.00
WA376       1200  21     -2.00
WA376       1200  22     16.00
WA376       1200  23     23.00
WA376       1200  24     23.00
WA376       1200  25     23.00
WA376       1200  26     24.00
WA376       1200  27      9.00
WA376       1200  28      5.00
WA376       1200  29      8.00
WA376       1200  30     14.00
WA376       1200  31     22.00
WA376       0101   1     21.00
WA376       0101   2     17.00
WA376       0101   3     16.00
WA376       0101   4     20.00
WA376       0101   5     26.00
WA376       0101   6      2.00
WA376       0101   7     -3.00
WA376       0101   8      8.00
WA376       0101   9     22.00
WA376       0101  10     19.00
WA376       0101  11     13.00
WA376       0101  12     10.00
WA376       0101  13     17.00
WA376       0101  14      8.00
WA376       0101  15     -3.00
WA376       0101  16     -6.00
WA376       0101  17     12.00
WA376       0101  18     15.00
WA376       0101  19     19.00
WA376       0101  20     16.00
WA376       0101  21     15.00
WA376       0101  22      7.00
WA376       0101  23     -1.00
WA376       0101  24      6.00
WA376       0101  25     15.00
WA376       0101  26      2.00
WA376       0101  27     -3.00
WA376       0101  28      0.00
WA376       0101  29     11.00
WA376       0101  30     16.00
WA376       0101  31     22.00
WA376       0201   1     21.00
WA376       0201   2     24.00
WA376       0201   3     21.00
WA376       0201   4     21.00
WA376       0201   5      8.00
WA376       0201   6     -5.00
WA376       0201   7    -11.00
WA376       0201   8     -8.00
WA376       0201   9     -4.00
WA376       0201  10      9.00
WA376       0201  11     -1.00
WA376       0201  12     -7.00
WA376       0201  13     -7.00
WA376       0201  14      7.00
WA376       0201  15      5.00
WA376       0201  16      6.00
WA376       0201  17      8.00
WA376       0201  18     20.00
WA376       0201  19      5.00
WA376       0201  20     -3.00
WA376       0201  21     24.00
WA376       0201  22     17.00
WA376       0201  23     18.00
WA376       0201  24     22.00
WA376       0201  25      4.00
WA376       0201  26     -3.00
WA376       0201  27     -8.00
WA376       0201  28     -3.00
WA376       0301   1     -2.00
WA376       0301   2      7.00
WA376       0301   3      2.00
WA376       0301   4     -4.00
WA376       0301   5     26.00
WA376       0301   6     17.00
WA376       0301   7     14.00
WA376       0301   8     15.00
WA376       0301   9     22.00
WA376       0301  10     15.00
WA376       0301  11     17.00
WA376       0301  12     27.00
WA376       0301  13     24.00
WA376       0301  14     15.00
WA376       0301  15      5.00
WA376       0301  16     24.00
WA376       0301  17     23.00
WA376       0301  18     26.00
WA376       0301  19     18.00
WA376       0301  20      9.00
WA376       0301  21      8.00
WA376       0301  22     18.00
WA376       0301  23     11.00
WA376       0301  24     16.00
WA376       0301  25     31.00
WA376       0301  26     18.00
WA376       0301  27      9.00
WA376       0301  28     19.00
WA376       0301  29     12.00
WA376       0301  30     12.00
WA376       0301  31     12.00
WA376       0401   1     11.00
WA376       0401   2      3.00
WA376       0401   3     18.00
WA376       0401   4      5.00
WA376       0401   5     22.00
WA376       0401   6     24.00
WA376       0401   7     19.00
WA376       0401   8     26.00
WA376       0401   9     24.00
WA376       0401  10     20.00
WA376       0401  11     14.00
WA376       0401  12      4.00
WA376       0401  13     24.00
WA376       0401  14     21.00
WA376       0401  15     14.00
WA376       0401  16     16.00
WA376       0401  17     25.00
WA376       0401  18     23.00
WA376       0401  19     17.00
WA376       0401  20     19.00
WA376       0401  21     23.00
WA376       0401  22     23.00
WA376       0401  23     30.00
WA376       0401  24     32.00
WA376       0401  25     27.00
WA376       0401  26     27.00
WA376       0401  27     29.00
WA376       0401  28     30.00
WA376       0401  29     27.00
WA376       0401  30     28.00
WA376       0501   1     22.00
WA376       0501   2     20.00
WA376       0501   3     19.00
WA376       0501   4     29.00
WA376       0501   5     21.00
WA376       0501   6     19.00
WA376       0501   7     24.00
WA376       0501   8     28.00
WA376       0501   9     29.00
WA376       0501  10     23.00
WA376       0501  11     25.00
WA376       0501  12     30.00
WA376       0501  13     38.00
WA376       0501  14     33.00
WA376       0501  15     33.00
WA376       0501  16     29.00
WA376       0501  17     24.00
WA376       0501  18     30.00
WA376       0501  19     32.00
WA376       0501  20     27.00
