$ Get data for 984:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:38:49 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA984           Spruce Springs
WA984       0400  16   -999.00
WA984       0400  17   -999.00
WA984       0400  18   -999.00
WA984       0400  19   -999.00
WA984       0400  20   -999.00
WA984       0400  21   -999.00
WA984       0400  22   -999.00
WA984       0400  23   -999.00
WA984       0400  24   -999.00
WA984       0400  25   -999.00
WA984       0400  26   -999.00
WA984       0400  27   -999.00
WA984       0400  28   -999.00
WA984       0400  29   -999.00
WA984       0400  30   -999.00
WA984       0500   1   -999.00
WA984       0500   2   -999.00
WA984       0500   3   -999.00
WA984       0500   4   -999.00
WA984       0500   5   -999.00
WA984       0500   6   -999.00
WA984       0500   7   -999.00
WA984       0500   8   -999.00
WA984       0500   9   -999.00
WA984       0500  10   -999.00
WA984       0500  11   -999.00
WA984       0500  12   -999.00
WA984       0500  13   -999.00
WA984       0500  14   -999.00
WA984       0500  15   -999.00
WA984       0500  16   -999.00
WA984       0500  17   -999.00
WA984       0500  18   -999.00
WA984       0500  19   -999.00
WA984       0500  20   -999.00
WA984       0500  21   -999.00
WA984       0500  22   -999.00
WA984       0500  23   -999.00
WA984       0500  24   -999.00
WA984       0500  25   -999.00
WA984       0500  26   -999.00
WA984       0500  27   -999.00
WA984       0500  28   -999.00
WA984       0500  29   -999.00
WA984       0500  30   -999.00
WA984       0500  31   -999.00
WA984       0600   1   -999.00
WA984       0600   2   -999.00
WA984       0600   3   -999.00
WA984       0600   4   -999.00
WA984       0600   5   -999.00
WA984       0600   6   -999.00
WA984       0600   7   -999.00
WA984       0600   8   -999.00
WA984       0600   9   -999.00
WA984       0600  10   -999.00
WA984       0600  11   -999.00
WA984       0600  12   -999.00
WA984       0600  13   -999.00
WA984       0600  14   -999.00
WA984       0600  15   -999.00
WA984       0600  16   -999.00
WA984       0600  17   -999.00
WA984       0600  18   -999.00
WA984       0600  19   -999.00
WA984       0600  20   -999.00
WA984       0600  21   -999.00
WA984       0600  22   -999.00
WA984       0600  23   -999.00
WA984       0600  24   -999.00
WA984       0600  25   -999.00
WA984       0600  26   -999.00
WA984       0600  27   -999.00
WA984       0600  28   -999.00
WA984       0600  29   -999.00
WA984       0600  30   -999.00
WA984       0700   1   -999.00
WA984       0700   2   -999.00
WA984       0700   3   -999.00
WA984       0700   4   -999.00
WA984       0700   5   -999.00
WA984       0700   6   -999.00
WA984       0700   7   -999.00
WA984       0700   8   -999.00
WA984       0700   9   -999.00
WA984       0700  10   -999.00
WA984       0700  11   -999.00
WA984       0700  12   -999.00
WA984       0700  13     51.00
WA984       0700  14     45.00
WA984       0700  15     39.00
WA984       0700  16     48.00
WA984       0700  17     56.00
WA984       0700  18     56.00
WA984       0700  19     54.00
WA984       0700  20     57.00
WA984       0700  21   -999.00
WA984       0700  22     52.00
WA984       0700  23     46.00
WA984       0700  24     49.00
WA984       0700  25     52.00
WA984       0700  26     50.00
WA984       0700  27     53.00
WA984       0700  28     56.00
WA984       0700  29     58.00
WA984       0700  30     62.00
WA984       0700  31     60.00
WA984       0800   1     55.00
WA984       0800   2     56.00
WA984       0800   3     59.00
WA984       0800   4     57.00
WA984       0800   5     56.00
WA984       0800   6     56.00
WA984       0800   7     57.00
WA984       0800   8     58.00
WA984       0800   9     61.00
WA984       0800  10     53.00
WA984       0800  11     49.00
WA984       0800  12     52.00
WA984       0800  13     47.00
WA984       0800  14     47.00
WA984       0800  15     49.00
WA984       0800  16     48.00
WA984       0800  17   -999.00
WA984       0800  18     46.00
WA984       0800  19     41.00
WA984       0800  20     39.00
WA984       0800  21     43.00
WA984       0800  22     51.00
WA984       0800  23     61.00
WA984       0800  24     57.00
WA984       0800  25     54.00
WA984       0800  26     45.00
WA984       0800  27     40.00
WA984       0800  28     40.00
WA984       0800  29     46.00
WA984       0800  30     46.00
WA984       0800  31     43.00
WA984       0900   1     40.00
WA984       0900   2     35.00
WA984       0900   3     34.00
WA984       0900   4     37.00
WA984       0900   5     39.00
WA984       0900   6     38.00
WA984       0900   7     45.00
WA984       0900   8     36.00
WA984       0900   9     35.00
WA984       0900  10     42.00
WA984       0900  11     46.00
WA984       0900  12     52.00
WA984       0900  13     53.00
WA984       0900  14     60.00
WA984       0900  15     52.00
WA984       0900  16     51.00
WA984       0900  17     48.00
WA984       0900  18     51.00
WA984       0900  19     44.00
WA984       0900  20     38.00
WA984       0900  21     29.00
WA984       0900  22     24.00
WA984       0900  23     24.00
WA984       0900  24     38.00
WA984       0900  25     46.00
WA984       0900  26     47.00
WA984       0900  27     52.00
WA984       0900  28     49.00
WA984       0900  29     47.00
WA984       0900  30     48.00
WA984       1000   1     36.00
WA984       1000   2     31.00
WA984       1000   3     31.00
WA984       1000   4     31.00
WA984       1000   5     32.00
WA984       1000   6     40.00
WA984       1000   7     47.00
WA984       1000   8     52.00
WA984       1000   9     41.00
WA984       1000  10     38.00
WA984       1000  11     39.00
WA984       1000  12     37.00
WA984       1000  13     36.00
WA984       1000  14     38.00
WA984       1000  15     39.00
WA984       1000  16     42.00
WA984       1000  17     46.00
WA984       1000  18     36.00
WA984       1000  19     34.00
WA984       1000  20     34.00
WA984       1000  21     27.00
WA984       1000  22     26.00
WA984       1000  23     38.00
WA984       1000  24     40.00
WA984       1000  25     39.00
WA984       1000  26     37.00
WA984       1000  27     35.00
WA984       1000  28     33.00
WA984       1000  29     31.00
WA984       1000  30     28.00
WA984       1000  31     27.00
WA984       1100   1     26.00
WA984       1100   2     29.00
WA984       1100   3     29.00
WA984       1100   4     29.00
WA984       1100   5     27.00
WA984       1100   6     23.00
WA984       1100   7     22.00
WA984       1100   8     24.00
WA984       1100   9     19.00
WA984       1100  10     15.00
WA984       1100  11     13.00
WA984       1100  12     15.00
WA984       1100  13     17.00
WA984       1100  14     17.00
WA984       1100  15     15.00
WA984       1100  16     16.00
WA984       1100  17     15.00
WA984       1100  18     23.00
WA984       1100  19     25.00
WA984       1100  20     32.00
WA984       1100  21     33.00
WA984       1100  22     31.00
WA984       1100  23     29.00
WA984       1100  24     27.00
WA984       1100  25     28.00
WA984       1100  26     29.00
WA984       1100  27     21.00
WA984       1100  28     20.00
WA984       1100  29     29.00
WA984       1100  30     28.00
WA984       1200   1     31.00
WA984       1200   2     31.00
WA984       1200   3     30.00
WA984       1200   4     29.00
WA984       1200   5     31.00
WA984       1200   6     36.00
WA984       1200   7     30.00
WA984       1200   8     29.00
WA984       1200   9     20.00
WA984       1200  10      9.00
WA984       1200  11      8.00
WA984       1200  12     12.00
WA984       1200  13     17.00
WA984       1200  14     24.00
WA984       1200  15     11.00
WA984       1200  16     18.00
WA984       1200  17     20.00
WA984       1200  18     19.00
WA984       1200  19     15.00
WA984       1200  20     15.00
WA984       1200  21     27.00
WA984       1200  22     29.00
WA984       1200  23     29.00
WA984       1200  24     23.00
WA984       1200  25     24.00
WA984       1200  26     31.00
WA984       1200  27     27.00
WA984       1200  28     27.00
WA984       1200  29     33.00
WA984       1200  30     32.00
WA984       1200  31     27.00
WA984       0101   1     26.00
WA984       0101   2     34.00
WA984       0101   3     31.00
WA984       0101   4     34.00
WA984       0101   5     30.00
WA984       0101   6     24.00
WA984       0101   7     34.00
WA984       0101   8     30.00
WA984       0101   9     27.00
WA984       0101  10     29.00
WA984       0101  11     26.00
WA984       0101  12     24.00
WA984       0101  13     25.00
WA984       0101  14     19.00
WA984       0101  15     15.00
WA984       0101  16     14.00
WA984       0101  17     20.00
WA984       0101  18     24.00
WA984       0101  19     22.00
WA984       0101  20     23.00
WA984       0101  21     26.00
WA984       0101  22     26.00
WA984       0101  23     31.00
WA984       0101  24     27.00
WA984       0101  25     23.00
WA984       0101  26     21.00
WA984       0101  27     21.00
WA984       0101  28     24.00
WA984       0101  29     22.00
WA984       0101  30     20.00
WA984       0101  31     26.00
WA984       0201   1     30.00
WA984       0201   2     26.00
WA984       0201   3     25.00
WA984       0201   4     31.00
WA984       0201   5     18.00
WA984       0201   6     12.00
WA984       0201   7      6.00
WA984       0201   8      8.00
WA984       0201   9     16.00
WA984       0201  10     19.00
WA984       0201  11     20.00
WA984       0201  12     20.00
WA984       0201  13     15.00
WA984       0201  14     15.00
WA984       0201  15     24.00
WA984       0201  16     26.00
WA984       0201  17     29.00
WA984       0201  18     28.00
WA984       0201  19     26.00
WA984       0201  20     29.00
WA984       0201  21     30.00
WA984       0201  22     27.00
WA984       0201  23     24.00
WA984       0201  24     24.00
WA984       0201  25     20.00
WA984       0201  26     17.00
WA984       0201  27     15.00
WA984       0201  28     26.00
WA984       0301   1     27.00
WA984       0301   2     18.00
WA984       0301   3     17.00
WA984       0301   4     22.00
WA984       0301   5     35.00
WA984       0301   6     35.00
WA984       0301   7     38.00
WA984       0301   8     28.00
WA984       0301   9     25.00
WA984       0301  10     24.00
WA984       0301  11     22.00
WA984       0301  12     29.00
WA984       0301  13     26.00
