$ Get data for 515:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:54:28 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA515           Harts Pass
WA515       0800  18     36.00
WA515       0800  19     36.00
WA515       0800  20     35.00
WA515       0800  21     36.00
WA515       0800  22     45.00
WA515       0800  23     48.00
WA515       0800  24     46.00
WA515       0800  25     41.00
WA515       0800  26     35.00
WA515       0800  27     33.00
WA515       0800  28     32.00
WA515       0800  29     40.00
WA515       0800  30     38.00
WA515       0800  31     32.00
WA515       0900   1     30.00
WA515       0900   2     34.00
WA515       0900   3     33.00
WA515       0900   4     33.00
WA515       0900   5     34.00
WA515       0900   6     36.00
WA515       0900   7     39.00
WA515       0900   8     32.00
WA515       0900   9     31.00
WA515       0900  10     35.00
WA515       0900  11     32.00
WA515       0900  12     41.00
WA515       0900  13     40.00
WA515       0900  14     50.00
WA515       0900  15     46.00
WA515       0900  16     44.00
WA515       0900  17     42.00
WA515       0900  18     43.00
WA515       0900  19     40.00
WA515       0900  20     36.00
WA515       0900  21     28.00
WA515       0900  22     24.00
WA515       0900  23     29.00
WA515       0900  24     39.00
WA515       0900  25     42.00
WA515       0900  26     43.00
WA515       0900  27     42.00
WA515       0900  28     40.00
WA515       0900  29     39.00
WA515       0900  30     36.00
WA515       1000   1     30.00
WA515       1000   2     29.00
WA515       1000   3     26.00
WA515       1000   4     28.00
WA515       1000   5     28.00
WA515       1000   6     33.00
WA515       1000   7     35.00
WA515       1000   8     38.00
WA515       1000   9     37.00
WA515       1000  10     33.00
WA515       1000  11     32.00
WA515       1000  12     33.00
WA515       1000  13     32.00
WA515       1000  14     28.00
WA515       1000  15     29.00
WA515       1000  16     30.00
WA515       1000  17     33.00
WA515       1000  18     30.00
WA515       1000  19     27.00
WA515       1000  20     27.00
WA515       1000  21     21.00
WA515       1000  22     22.00
WA515       1000  23     29.00
WA515       1000  24     34.00
WA515       1000  25     35.00
WA515       1000  26     34.00
WA515       1000  27     31.00
WA515       1000  28     28.00
WA515       1000  29     28.00
WA515       1000  30     24.00
WA515       1000  31     23.00
WA515       1100   1     20.00
WA515       1100   2     25.00
WA515       1100   3     28.00
WA515       1100   4     24.00
WA515       1100   5     23.00
WA515       1100   6     21.00
WA515       1100   7     22.00
WA515       1100   8     20.00
WA515       1100   9     17.00
WA515       1100  10      8.00
WA515       1100  11      7.00
WA515       1100  12     15.00
WA515       1100  13     13.00
WA515       1100  14     12.00
WA515       1100  15     16.00
WA515       1100  16     16.00
WA515       1100  17     16.00
WA515       1100  18     24.00
WA515       1100  19     24.00
WA515       1100  20     22.00
WA515       1100  21     24.00
WA515       1100  22     31.00
WA515       1100  23     21.00
WA515       1100  24     23.00
WA515       1100  25     17.00
