$ Get data for 699:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:31:25 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA699           Pope Ridge
WA699       0800  20     36.00
WA699       0800  21     38.00
WA699       0800  22     45.00
WA699       0800  23     50.00
WA699       0800  24     53.00
WA699       0800  25     49.00
WA699       0800  26     46.00
WA699       0800  27     36.00
WA699       0800  28     35.00
WA699       0800  29     46.00
WA699       0800  30     42.00
WA699       0800  31     40.00
WA699       0900   1     32.00
WA699       0900   2     37.00
WA699       0900   3     34.00
WA699       0900   4     35.00
WA699       0900   5     36.00
WA699       0900   6     38.00
WA699       0900   7     40.00
WA699       0900   8     35.00
WA699       0900   9     35.00
WA699       0900  10     37.00
WA699       0900  11     34.00
WA699       0900  12     44.00
WA699       0900  13     45.00
WA699       0900  14     50.00
WA699       0900  15     50.00
WA699       0900  16     47.00
WA699       0900  17     49.00
WA699       0900  18     54.00
WA699       0900  19     44.00
WA699       0900  20     42.00
WA699       0900  21     36.00
WA699       0900  22     29.00
WA699       0900  23     26.00
WA699       0900  24     33.00
WA699       0900  25     36.00
WA699       0900  26     40.00
WA699       0900  27     42.00
WA699       0900  28     47.00
WA699       0900  29     49.00
WA699       0900  30     40.00
WA699       1000   1     33.00
WA699       1000   2     30.00
WA699       1000   3     29.00
WA699       1000   4     31.00
WA699       1000   5     28.00
WA699       1000   6     29.00
WA699       1000   7     33.00
WA699       1000   8     37.00
WA699       1000   9     38.00
WA699       1000  10     38.00
WA699       1000  11     40.00
WA699       1000  12     38.00
WA699       1000  13     36.00
WA699       1000  14     31.00
WA699       1000  15     29.00
WA699       1000  16     36.00
WA699       1000  17     34.00
WA699       1000  18     34.00
WA699       1000  19     29.00
WA699       1000  20     31.00
WA699       1000  21     25.00
WA699       1000  22     25.00
WA699       1000  23     28.00
WA699       1000  24     29.00
WA699       1000  25     31.00
WA699       1000  26     33.00
WA699       1000  27     38.00
WA699       1000  28     31.00
WA699       1000  29     30.00
WA699       1000  30     28.00
WA699       1000  31     27.00
WA699       1100   1     25.00
WA699       1100   2     27.00
WA699       1100   3     29.00
WA699       1100   4     29.00
WA699       1100   5     27.00
WA699       1100   6     30.00
WA699       1100   7     28.00
WA699       1100   8     26.00
WA699       1100   9     23.00
WA699       1100  10     13.00
WA699       1100  11     11.00
WA699       1100  12     16.00
WA699       1100  13     16.00
WA699       1100  14     14.00
WA699       1100  15     16.00
WA699       1100  16     16.00
WA699       1100  17     17.00
