$ Get data for 974:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:44:03 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA974           Waterhole
WA974       0800  21     39.00
WA974       0800  22     44.00
WA974       0800  23     46.00
WA974       0800  24     45.00
WA974       0800  25     41.00
WA974       0800  26     36.00
WA974       0800  27     33.00
WA974       0800  28     33.00
WA974       0800  29     45.00
WA974       0800  30     40.00
WA974       0800  31     35.00
WA974       0900   1     32.00
WA974       0900   2     35.00
WA974       0900   3     35.00
WA974       0900   4     35.00
WA974       0900   5     34.00
WA974       0900   6     39.00
WA974       0900   7     38.00
WA974       0900   8     34.00
WA974       0900   9     35.00
WA974       0900  10     36.00
WA974       0900  11    -87.00
WA974       0900  12   -999.00
WA974       0900  13   -999.00
WA974       0900  14   -999.00
WA974       0900  15   -999.00
WA974       0900  16   -999.00
WA974       0900  17   -999.00
WA974       0900  18   -999.00
WA974       0900  19   -999.00
WA974       0900  20   -999.00
WA974       0900  21   -999.00
WA974       0900  22   -999.00
WA974       0900  23   -999.00
WA974       0900  24   -999.00
WA974       0900  25     46.00
WA974       0900  26     45.00
WA974       0900  27     45.00
WA974       0900  28     46.00
WA974       0900  29   -999.00
WA974       0900  30     45.00
WA974       1000   1     45.00
WA974       1000   2     46.00
WA974       1000   3     46.00
WA974       1000   4     45.00
WA974       1000   5     45.00
WA974       1000   6     44.00
WA974       1000   7     44.00
WA974       1000   8     46.00
WA974       1000   9     46.00
WA974       1000  10     44.00
WA974       1000  11     44.00
WA974       1000  12     44.00
WA974       1000  13     45.00
WA974       1000  14     44.00
WA974       1000  15     44.00
WA974       1000  16     42.00
WA974       1000  17     25.00
WA974       1000  18     36.00
WA974       1000  19     35.00
WA974       1000  20     26.00
WA974       1000  21     41.00
WA974       1000  22     42.00
WA974       1000  23     42.00
WA974       1000  24     42.00
WA974       1000  25   -999.00
WA974       1000  26     42.00
WA974       1000  27     43.00
WA974       1000  28     43.00
WA974       1000  29     43.00
WA974       1000  30     43.00
WA974       1000  31     43.00
WA974       1100   1     43.00
WA974       1100   2     43.00
WA974       1100   3     43.00
WA974       1100   4     42.00
WA974       1100   5     43.00
WA974       1100   6     43.00
WA974       1100   7     43.00
WA974       1100   8     43.00
WA974       1100   9     44.00
WA974       1100  10     44.00
WA974       1100  11     44.00
WA974       1100  12     44.00
WA974       1100  13     44.00
WA974       1100  14     44.00
WA974       1100  15     44.00
WA974       1100  16     44.00
WA974       1100  17     44.00
WA974       1100  18     44.00
WA974       1100  19   4915.00
WA974       1100  20     44.00
WA974       1100  21   -999.00
WA974       1100  22     44.00
WA974       1100  23   -999.00
WA974       1100  24     44.00
WA974       1100  25     44.00
WA974       1100  26     44.00
WA974       1100  27     44.00
WA974       1100  28     44.00
WA974       1100  29     44.00
WA974       1100  30     44.00
WA974       1200   1     44.00
WA974       1200   2     44.00
WA974       1200   3     44.00
WA974       1200   4     44.00
WA974       1200   5     44.00
WA974       1200   6   -999.00
WA974       1200   7     43.00
WA974       1200   8     44.00
WA974       1200   9     44.00
WA974       1200  10     44.00
WA974       1200  11     44.00
WA974       1200  12     45.00
WA974       1200  13     44.00
WA974       1200  14     44.00
WA974       1200  15     44.00
WA974       1200  16     44.00
WA974       1200  17     44.00
WA974       1200  18     44.00
WA974       1200  19     44.00
WA974       1200  20     44.00
WA974       1200  21     44.00
WA974       1200  22     44.00
WA974       1200  23     44.00
WA974       1200  24     44.00
WA974       1200  25     44.00
WA974       1200  26     44.00
WA974       1200  27     44.00
WA974       1200  28     44.00
WA974       1200  29     44.00
WA974       1200  30   -999.00
WA974       1200  31     44.00
WA974       0101   1     44.00
WA974       0101   2     44.00
WA974       0101   3     44.00
WA974       0101   4     25.00
WA974       0101   5     27.00
WA974       0101   6     42.00
WA974       0101   7     42.00
WA974       0101   8     43.00
WA974       0101   9     43.00
WA974       0101  10     43.00
WA974       0101  11     43.00
WA974       0101  12     43.00
WA974       0101  13     44.00
WA974       0101  14     43.00
WA974       0101  15     44.00
WA974       0101  16   -999.00
WA974       0101  17     44.00
WA974       0101  18     43.00
WA974       0101  19   -999.00
WA974       0101  20     43.00
WA974       0101  21     43.00
WA974       0101  22     44.00
WA974       0101  23     43.00
WA974       0101  24     44.00
WA974       0101  25     44.00
WA974       0101  26     44.00
WA974       0101  27     44.00
WA974       0101  28     43.00
WA974       0101  29     43.00
WA974       0101  30     44.00
WA974       0101  31     44.00
WA974       0201   1     44.00
WA974       0201   2     44.00
WA974       0201   3     44.00
WA974       0201   4     44.00
WA974       0201   5     44.00
WA974       0201   6     68.00
WA974       0201   7     64.00
WA974       0201   8     73.00
WA974       0201   9     73.00
WA974       0201  10     73.00
WA974       0201  11     71.00
WA974       0201  12     71.00
WA974       0201  13     73.00
WA974       0201  14    -87.00
WA974       0201  15     69.00
