$ Get data for 804:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:39:56 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA804           Surprise Lakes
WA804       0800  20     35.00
WA804       0800  21     39.00
WA804       0800  22     50.00
WA804       0800  23     54.00
WA804       0800  24     48.00
WA804       0800  25     46.00
WA804       0800  26     39.00
WA804       0800  27     36.00
WA804       0800  28     37.00
WA804       0800  29     44.00
WA804       0800  30     45.00
WA804       0800  31     38.00
WA804       0900   1     34.00
WA804       0900   2     36.00
WA804       0900   3     34.00
WA804       0900   4     34.00
WA804       0900   5     37.00
WA804       0900   6     41.00
WA804       0900   7     40.00
WA804       0900   8     38.00
WA804       0900   9     37.00
WA804       0900  10     43.00
WA804       0900  11     40.00
WA804       0900  12     45.00
WA804       0900  13     47.00
WA804       0900  14     49.00
WA804       0900  15     45.00
WA804       0900  16     45.00
WA804       0900  17     43.00
WA804       0900  18     48.00
WA804       0900  19     50.00
WA804       0900  20     41.00
WA804       0900  21     31.00
WA804       0900  22     28.00
WA804       0900  23     33.00
WA804       0900  24     38.00
WA804       0900  25     42.00
WA804       0900  26     42.00
WA804       0900  27     47.00
WA804       0900  28     41.00
WA804       0900  29     43.00
WA804       0900  30     49.00
WA804       1000   1     33.00
WA804       1000   2     32.00
WA804       1000   3     29.00
WA804       1000   4     31.00
WA804       1000   5     38.00
WA804       1000   6     40.00
WA804       1000   7     41.00
WA804       1000   8     39.00
WA804       1000   9     41.00
WA804       1000  10     38.00
WA804       1000  11     37.00
WA804       1000  12     39.00
WA804       1000  13     39.00
WA804       1000  14     30.00
WA804       1000  15     29.00
WA804       1000  16     35.00
WA804       1000  17     38.00
WA804       1000  18     34.00
WA804       1000  19     34.00
WA804       1000  20     32.00
WA804       1000  21     27.00
WA804       1000  22     27.00
WA804       1000  23     33.00
WA804       1000  24     35.00
WA804       1000  25     35.00
WA804       1000  26     34.00
WA804       1000  27     35.00
WA804       1000  28     31.00
WA804       1000  29     31.00
WA804       1000  30     31.00
WA804       1000  31     29.00
WA804       1100   1     28.00
WA804       1100   2     34.00
WA804       1100   3     34.00
WA804       1100   4     30.00
WA804       1100   5     30.00
WA804       1100   6     30.00
WA804       1100   7     30.00
WA804       1100   8     28.00
WA804       1100   9     20.00
WA804       1100  10     17.00
WA804       1100  11     14.00
WA804       1100  12     16.00
WA804       1100  13     21.00
WA804       1100  14     16.00
WA804       1100  15     15.00
WA804       1100  16     19.00
WA804       1100  17     17.00
WA804       1100  18     12.00
