$ Get data for 863:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:44:55 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA863           White Pass E.s.
WA863       0800  20     36.00
WA863       0800  21     37.00
WA863       0800  22     43.00
WA863       0800  23     48.00
WA863       0800  24     49.00
WA863       0800  25     46.00
WA863       0800  26     44.00
WA863       0800  27     35.00
WA863       0800  28     35.00
WA863       0800  29     43.00
WA863       0800  30     42.00
WA863       0800  31     38.00
WA863       0900   1     35.00
WA863       0900   2     35.00
WA863       0900   3     31.00
WA863       0900   4     33.00
WA863       0900   5     34.00
WA863       0900   6     40.00
WA863       0900   7     37.00
WA863       0900   8     37.00
WA863       0900   9     37.00
WA863       0900  10     42.00
WA863       0900  11     38.00
WA863       0900  12     42.00
WA863       0900  13     44.00
WA863       0900  14     51.00
WA863       0900  15     48.00
WA863       0900  16     45.00
WA863       0900  17     45.00
WA863       0900  18     49.00
WA863       0900  19     46.00
WA863       0900  20     40.00
WA863       0900  21     32.00
WA863       0900  22     27.00
WA863       0900  23     27.00
WA863       0900  24     31.00
WA863       0900  25     32.00
WA863       0900  26     36.00
WA863       0900  27     40.00
WA863       0900  28     43.00
WA863       0900  29     43.00
WA863       0900  30     48.00
WA863       1000   1     35.00
WA863       1000   2     31.00
WA863       1000   3     29.00
WA863       1000   4     29.00
WA863       1000   5     29.00
WA863       1000   6     29.00
WA863       1000   7     32.00
WA863       1000   8     37.00
WA863       1000   9     41.00
WA863       1000  10     38.00
WA863       1000  11     38.00
WA863       1000  12     39.00
WA863       1000  13     38.00
WA863       1000  14     28.00
WA863       1000  15     27.00
WA863       1000  16     36.00
WA863       1000  17     35.00
WA863       1000  18     32.00
WA863       1000  19     30.00
WA863       1000  20     32.00
WA863       1000  21     27.00
WA863       1000  22     25.00
WA863       1000  23     27.00
WA863       1000  24     28.00
WA863       1000  25     34.00
WA863       1000  26     34.00
WA863       1000  27     35.00
WA863       1000  28     31.00
WA863       1000  29     30.00
WA863       1000  30     29.00
WA863       1000  31     29.00
WA863       1100   1     28.00
WA863       1100   2     28.00
WA863       1100   3     32.00
WA863       1100   4     29.00
WA863       1100   5     29.00
WA863       1100   6     30.00
WA863       1100   7     28.00
WA863       1100   8     26.00
WA863       1100   9     20.00
WA863       1100  10     14.00
WA863       1100  11     10.00
WA863       1100  12     18.00
WA863       1100  13     18.00
WA863       1100  14     16.00
WA863       1100  15     14.00
WA863       1100  16     15.00
WA863       1100  17     15.00
WA863       1100  18     15.00
WA863       1100  19     18.00
WA863       1100  20     18.00
WA863       1100  21     18.00
WA863       1100  22     18.00
WA863       1100  23     21.00
WA863       1100  24     27.00
WA863       1100  25     26.00
WA863       1100  26     28.00
WA863       1100  27     17.00
WA863       1100  28     15.00
WA863       1100  29     22.00
WA863       1100  30     28.00
WA863       1200   1     25.00
WA863       1200   2     22.00
WA863       1200   3     21.00
WA863       1200   4     24.00
WA863       1200   5     23.00
WA863       1200   6     18.00
WA863       1200   7     20.00
WA863       1200   8     16.00
WA863       1200   9     22.00
WA863       1200  10     11.00
WA863       1200  11      9.00
WA863       1200  12      9.00
WA863       1200  13      7.00
WA863       1200  14     13.00
WA863       1200  15     16.00
WA863       1200  16     16.00
WA863       1200  17     15.00
WA863       1200  18     13.00
WA863       1200  19     21.00
WA863       1200  20     19.00
WA863       1200  21     17.00
WA863       1200  22     17.00
WA863       1200  23     23.00
WA863       1200  24     24.00
WA863       1200  25     23.00
WA863       1200  26     29.00
WA863       1200  27     26.00
WA863       1200  28     23.00
WA863       1200  29     22.00
WA863       1200  30     25.00
WA863       1200  31     24.00
WA863       0101   1     22.00
WA863       0101   2     21.00
WA863       0101   3     28.00
WA863       0101   4     31.00
WA863       0101   5     28.00
WA863       0101   6     21.00
WA863       0101   7     22.00
WA863       0101   8     24.00
WA863       0101   9     20.00
WA863       0101  10     24.00
WA863       0101  11     26.00
WA863       0101  12     28.00
WA863       0101  13     25.00
WA863       0101  14     20.00
WA863       0101  15     11.00
WA863       0101  16      9.00
WA863       0101  17     13.00
WA863       0101  18     23.00
WA863       0101  19     21.00
WA863       0101  20     18.00
WA863       0101  21     20.00
WA863       0101  22     23.00
WA863       0101  23     23.00
WA863       0101  24     24.00
WA863       0101  25     15.00
WA863       0101  26     18.00
WA863       0101  27     15.00
WA863       0101  28     13.00
WA863       0101  29     17.00
WA863       0101  30     24.00
WA863       0101  31     25.00
WA863       0201   1     25.00
WA863       0201   2     26.00
WA863       0201   3     24.00
WA863       0201   4     29.00
WA863       0201   5     22.00
WA863       0201   6     11.00
WA863       0201   7      7.00
WA863       0201   8     13.00
WA863       0201   9     15.00
WA863       0201  10     16.00
WA863       0201  11     17.00
WA863       0201  12     12.00
WA863       0201  13     17.00
WA863       0201  14     19.00
WA863       0201  15     17.00
WA863       0201  16     15.00
WA863       0201  17     15.00
WA863       0201  18     20.00
WA863       0201  19     23.00
WA863       0201  20     22.00
WA863       0201  21     20.00
WA863       0201  22     22.00
WA863       0201  23     24.00
WA863       0201  24     20.00
WA863       0201  25     16.00
WA863       0201  26     14.00
WA863       0201  27     16.00
WA863       0201  28     16.00
WA863       0301   1     23.00
WA863       0301   2     16.00
WA863       0301   3     14.00
WA863       0301   4     21.00
WA863       0301   5     25.00
WA863       0301   6     26.00
WA863       0301   7     29.00
WA863       0301   8     28.00
WA863       0301   9     27.00
WA863       0301  10     27.00
WA863       0301  11     25.00
WA863       0301  12     29.00
WA863       0301  13     26.00
WA863       0301  14     25.00
WA863       0301  15     24.00
WA863       0301  16     24.00
WA863       0301  17     25.00
WA863       0301  18     31.00
WA863       0301  19     23.00
WA863       0301  20     20.00
WA863       0301  21     20.00
WA863       0301  22     26.00
WA863       0301  23     30.00
WA863       0301  24     31.00
WA863       0301  25     28.00
WA863       0301  26     24.00
WA863       0301  27     20.00
WA863       0301  28     28.00
WA863       0301  29     24.00
WA863       0301  30     28.00
WA863       0301  31     28.00
WA863       0401   1     24.00
WA863       0401   2     22.00
WA863       0401   3     22.00
WA863       0401   4     21.00
WA863       0401   5     25.00
WA863       0401   6     23.00
WA863       0401   7     21.00
WA863       0401   8     23.00
WA863       0401   9     22.00
WA863       0401  10     27.00
WA863       0401  11     22.00
WA863       0401  12     20.00
WA863       0401  13     20.00
WA863       0401  14     17.00
WA863       0401  15     21.00
WA863       0401  16     33.00
WA863       0401  17     30.00
WA863       0401  18     28.00
WA863       0401  19     28.00
WA863       0401  20     28.00
WA863       0401  21     27.00
WA863       0401  22     28.00
WA863       0401  23     31.00
WA863       0401  24     32.00
WA863       0401  25     32.00
WA863       0401  26     35.00
WA863       0401  27     33.00
WA863       0401  28     27.00
WA863       0401  29     26.00
WA863       0401  30     27.00
WA863       0501   1     26.00
WA863       0501   2     26.00
WA863       0501   3     28.00
WA863       0501   4     31.00
WA863       0501   5     26.00
WA863       0501   6     23.00
WA863       0501   7     32.00
WA863       0501   8     32.00
WA863       0501   9     29.00
WA863       0501  10     30.00
WA863       0501  11     34.00
WA863       0501  12     37.00
WA863       0501  13     36.00
WA863       0501  14     32.00
WA863       0501  15     30.00
WA863       0501  16     29.00
WA863       0501  17     29.00
WA863       0501  18     32.00
WA863       0501  19     31.00
WA863       0501  20     29.00
WA863       0501  21     35.00
WA863       0501  22     39.00
WA863       0501  23     42.00
WA863       0501  24     42.00
WA863       0501  25     37.00
WA863       0501  26     40.00
WA863       0501  27     41.00
WA863       0501  28     29.00
WA863       0501  29     27.00
WA863       0501  30     32.00
