$ Get data for 898:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:26:44 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA898           Mount Gardner
WA898       0800  21     43.00
WA898       0800  22     50.00
WA898       0800  23     54.00
WA898       0800  24     52.00
WA898       0800  25     48.00
WA898       0800  26     46.00
WA898       0800  27     40.00
WA898       0800  28     39.00
WA898       0800  29     46.00
WA898       0800  30     50.00
WA898       0800  31     42.00
WA898       0900   1     40.00
WA898       0900   2     40.00
WA898       0900   3     38.00
WA898       0900   4     40.00
WA898       0900   5     42.00
WA898       0900   6     44.00
WA898       0900   7     42.00
WA898       0900   8     39.00
WA898       0900   9     42.00
WA898       0900  10     44.00
WA898       0900  11     42.00
WA898       0900  12     44.00
WA898       0900  13     49.00
WA898       0900  14     56.00
WA898       0900  15     52.00
WA898       0900  16     50.00
WA898       0900  17     51.00
WA898       0900  18     53.00
WA898       0900  19     48.00
WA898       0900  20     48.00
WA898       0900  21     40.00
WA898       0900  22     34.00
WA898       0900  23     35.00
WA898       0900  24     43.00
WA898       0900  25     44.00
WA898       0900  26     48.00
WA898       0900  27     49.00
WA898       0900  28     44.00
WA898       0900  29     48.00
WA898       0900  30     49.00
WA898       1000   1     40.00
WA898       1000   2     35.00
WA898       1000   3     34.00
WA898       1000   4     33.00
WA898       1000   5     38.00
WA898       1000   6     43.00
WA898       1000   7     45.00
WA898       1000   8     46.00
WA898       1000   9   -999.00
WA898       1000  10     42.00
WA898       1000  11     42.00
WA898       1000  12     43.00
WA898       1000  13     43.00
WA898       1000  14     34.00
WA898       1000  15     32.00
WA898       1000  16     40.00
WA898       1000  17     41.00
WA898       1000  18     37.00
WA898       1000  19     36.00
WA898       1000  20     34.00
WA898       1000  21     32.00
WA898       1000  22     32.00
WA898       1000  23     38.00
WA898       1000  24     39.00
WA898       1000  25     43.00
WA898       1000  26     40.00
WA898       1000  27     40.00
WA898       1000  28     36.00
WA898       1000  29     35.00
WA898       1000  30     34.00
WA898       1000  31     34.00
WA898       1100   1     31.00
WA898       1100   2     34.00
WA898       1100   3     38.00
