$ Get data for 832:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:43:05 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA832           Trough
WA832       0800  21     42.00
WA832       0800  22     47.00
WA832       0800  23     56.00
WA832       0800  24     55.00
WA832       0800  25     48.00
WA832       0800  26     40.00
WA832       0800  27     37.00
WA832       0800  28     37.00
WA832       0800  29     46.00
WA832       0800  30     44.00
WA832       0800  31     36.00
WA832       0900   1     31.00
WA832       0900   2     37.00
WA832       0900   3     35.00
WA832       0900   4     37.00
WA832       0900   5     38.00
WA832       0900   6     41.00
WA832       0900   7     41.00
WA832       0900   8     34.00
WA832       0900   9     34.00
WA832       0900  10     40.00
WA832       0900  11     39.00
WA832       0900  12     52.00
WA832       0900  13     53.00
WA832       0900  14     53.00
WA832       0900  15     52.00
WA832       0900  16     47.00
WA832       0900  17     53.00
WA832       0900  18     48.00
WA832       0900  19     46.00
WA832       0900  20     41.00
WA832       0900  21     26.00
WA832       0900  22     22.00
WA832       0900  23     28.00
WA832       0900  24     37.00
WA832       0900  25     41.00
WA832       0900  26     46.00
WA832       0900  27     51.00
WA832       0900  28     50.00
WA832       0900  29     44.00
WA832       0900  30     45.00
WA832       1000   1     34.00
WA832       1000   2     31.00
WA832       1000   3     30.00
WA832       1000   4     31.00
WA832       1000   5     28.00
WA832       1000   6     33.00
WA832       1000   7     34.00
WA832       1000   8     46.00
WA832       1000   9     37.00
WA832       1000  10     37.00
WA832       1000  11     38.00
WA832       1000  12     40.00
WA832       1000  13     38.00
WA832       1000  14     33.00
WA832       1000  15     32.00
WA832       1000  16     37.00
WA832       1000  17     40.00
WA832       1000  18     34.00
WA832       1000  19     35.00
WA832       1000  20     29.00
WA832       1000  21     26.00
WA832       1000  22     28.00
WA832       1000  23     31.00
WA832       1000  24     36.00
WA832       1000  25     36.00
WA832       1000  26     34.00
WA832       1000  27     35.00
WA832       1000  28     29.00
WA832       1000  29     29.00
WA832       1000  30     29.00
WA832       1000  31     26.00
WA832       1100   1     26.00
WA832       1100   2     29.00
WA832       1100   3     32.00
WA832       1100   4     27.00
WA832       1100   5     26.00
WA832       1100   6     25.00
WA832       1100   7     26.00
WA832       1100   8     20.00
WA832       1100   9     14.00
WA832       1100  10      9.00
WA832       1100  11     10.00
WA832       1100  12     11.00
WA832       1100  13     12.00
WA832       1100  14     16.00
WA832       1100  15     15.00
WA832       1100  16     12.00
WA832       1100  17     11.00
WA832       1100  18     15.00
WA832       1100  19     22.00
WA832       1100  20     20.00
WA832       1100  21     20.00
WA832       1100  22     28.00
WA832       1100  23     27.00
WA832       1100  24     26.00
WA832       1100  25     26.00
WA832       1100  26     25.00
WA832       1100  27     19.00
WA832       1100  28     16.00
WA832       1100  29     17.00
WA832       1100  30     25.00
WA832       1200   1     25.00
WA832       1200   2     23.00
WA832       1200   3     20.00
WA832       1200   4     23.00
WA832       1200   5     30.00
WA832       1200   6     34.00
WA832       1200   7     23.00
WA832       1200   8     24.00
WA832       1200   9     15.00
WA832       1200  10      6.00
WA832       1200  11      4.00
WA832       1200  12      4.00
WA832       1200  13      7.00
WA832       1200  14     14.00
WA832       1200  15     10.00
WA832       1200  16      9.00
WA832       1200  17     20.00
WA832       1200  18     20.00
WA832       1200  19     16.00
WA832       1200  20     15.00
WA832       1200  21     13.00
WA832       1200  22     20.00
WA832       1200  23     25.00
WA832       1200  24     24.00
WA832       1200  25     25.00
WA832       1200  26     31.00
WA832       1200  27     23.00
WA832       1200  28     21.00
WA832       1200  29     24.00
WA832       1200  30     29.00
WA832       1200  31     25.00
WA832       0101   1     27.00
WA832       0101   2     33.00
WA832       0101   3     31.00
WA832       0101   4     30.00
WA832       0101   5     23.00
WA832       0101   6     19.00
WA832       0101   7     17.00
WA832       0101   8     26.00
WA832       0101   9     21.00
WA832       0101  10     18.00
WA832       0101  11     22.00
WA832       0101  12     22.00
WA832       0101  13     18.00
WA832       0101  14     19.00
WA832       0101  15     15.00
WA832       0101  16     19.00
WA832       0101  17     26.00
WA832       0101  18     31.00
WA832       0101  19     20.00
WA832       0101  20     20.00
WA832       0101  21     22.00
WA832       0101  22     19.00
WA832       0101  23     19.00
WA832       0101  24     21.00
WA832       0101  25     18.00
WA832       0101  26     19.00
WA832       0101  27     20.00
WA832       0101  28     21.00
WA832       0101  29     17.00
WA832       0101  30     20.00
WA832       0101  31     28.00
WA832       0201   1     26.00
WA832       0201   2     23.00
WA832       0201   3     19.00
WA832       0201   4     27.00
WA832       0201   5     17.00
WA832       0201   6     11.00
WA832       0201   7     10.00
WA832       0201   8     12.00
WA832       0201   9      9.00
WA832       0201  10     11.00
WA832       0201  11     16.00
WA832       0201  12     16.00
WA832       0201  13     22.00
WA832       0201  14     22.00
WA832       0201  15      9.00
WA832       0201  16      9.00
WA832       0201  17     17.00
WA832       0201  18     22.00
WA832       0201  19     23.00
WA832       0201  20     23.00
WA832       0201  21     25.00
WA832       0201  22     23.00
WA832       0201  23     22.00
WA832       0201  24     21.00
WA832       0201  25     17.00
WA832       0201  26     15.00
WA832       0201  27     17.00
WA832       0201  28     27.00
WA832       0301   1     20.00
WA832       0301   2     17.00
WA832       0301   3     14.00
WA832       0301   4     18.00
WA832       0301   5     30.00
WA832       0301   6     32.00
WA832       0301   7     32.00
WA832       0301   8     27.00
WA832       0301   9     25.00
WA832       0301  10     24.00
WA832       0301  11     24.00
WA832       0301  12     31.00
WA832       0301  13     21.00
WA832       0301  14     21.00
WA832       0301  15     22.00
WA832       0301  16     21.00
WA832       0301  17     23.00
WA832       0301  18     30.00
WA832       0301  19     22.00
WA832       0301  20     23.00
WA832       0301  21     28.00
WA832       0301  22     33.00
WA832       0301  23     37.00
WA832       0301  24     34.00
WA832       0301  25     28.00
WA832       0301  26     23.00
WA832       0301  27     20.00
WA832       0301  28     25.00
WA832       0301  29     25.00
WA832       0301  30     23.00
WA832       0301  31     24.00
WA832       0401   1     20.00
WA832       0401   2     20.00
WA832       0401   3     20.00
WA832       0401   4     21.00
WA832       0401   5     25.00
WA832       0401   6     21.00
WA832       0401   7     18.00
WA832       0401   8     19.00
WA832       0401   9     24.00
WA832       0401  10     22.00
WA832       0401  11     20.00
WA832       0401  12     20.00
WA832       0401  13     19.00
WA832       0401  14     20.00
WA832       0401  15     22.00
WA832       0401  16     32.00
WA832       0401  17     29.00
WA832       0401  18     27.00
WA832       0401  19     25.00
WA832       0401  20     28.00
WA832       0401  21     30.00
WA832       0401  22     28.00
WA832       0401  23     34.00
WA832       0401  24     34.00
WA832       0401  25     44.00
WA832       0401  26     46.00
WA832       0401  27     33.00
WA832       0401  28     23.00
WA832       0401  29     23.00
WA832       0401  30     24.00
WA832       0501   1     23.00
WA832       0501   2     25.00
WA832       0501   3     33.00
WA832       0501   4     30.00
WA832       0501   5     23.00
WA832       0501   6     25.00
WA832       0501   7     36.00
WA832       0501   8     38.00
WA832       0501   9     33.00
WA832       0501  10     31.00
WA832       0501  11     43.00
WA832       0501  12     44.00
WA832       0501  13     37.00
WA832       0501  14     32.00
WA832       0501  15     27.00
WA832       0501  16     27.00
WA832       0501  17     31.00
WA832       0501  18     31.00
WA832       0501  19     30.00
WA832       0501  20     30.00
WA832       0501  21     39.00
WA832       0501  22     55.00
WA832       0501  23     55.00
WA832       0501  24     51.00
WA832       0501  25     48.00
