$ Get data for 942:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:46:39 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA942           Burnt Mountain
WA942       0800  20     42.00
WA942       0800  21     44.00
WA942       0800  22     53.00
WA942       0800  23     56.00
WA942       0800  24     50.00
WA942       0800  25     47.00
WA942       0800  26     44.00
WA942       0800  27     40.00
WA942       0800  28     38.00
WA942       0800  29     48.00
WA942       0800  30     45.00
WA942       0800  31     40.00
WA942       0900   1     36.00
WA942       0900   2     38.00
WA942       0900   3     38.00
WA942       0900   4     39.00
WA942       0900   5     40.00
WA942       0900   6     43.00
WA942       0900   7     43.00
WA942       0900   8     39.00
WA942       0900   9     39.00
WA942       0900  10     45.00
WA942       0900  11     40.00
WA942       0900  12     49.00
WA942       0900  13     51.00
WA942       0900  14     51.00
WA942       0900  15     49.00
WA942       0900  16     46.00
WA942       0900  17     46.00
WA942       0900  18     51.00
WA942       0900  19     46.00
WA942       0900  20     46.00
WA942       0900  21     41.00
WA942       0900  22     36.00
WA942       0900  23     36.00
WA942       0900  24     48.00
WA942       0900  25     49.00
WA942       0900  26     50.00
WA942       0900  27     50.00
WA942       0900  28     45.00
WA942       0900  29     46.00
WA942       0900  30     48.00
WA942       1000   1     37.00
WA942       1000   2     35.00
WA942       1000   3     35.00
WA942       1000   4     35.00
WA942       1000   5     42.00
WA942       1000   6     48.00
WA942       1000   7     47.00
WA942       1000   8     46.00
WA942       1000   9     42.00
WA942       1000  10     39.00
WA942       1000  11     39.00
WA942       1000  12     40.00
WA942       1000  13     38.00
WA942       1000  14     34.00
WA942       1000  15     35.00
WA942       1000  16     42.00
WA942       1000  17     43.00
WA942       1000  18     36.00
WA942       1000  19     36.00
WA942       1000  20     35.00
WA942       1000  21     32.00
WA942       1000  22     31.00
WA942       1000  23     44.00
WA942       1000  24     44.00
WA942       1000  25     45.00
WA942       1000  26     39.00
WA942       1000  27     39.00
WA942       1000  28     34.00
WA942       1000  29     34.00
WA942       1000  30     34.00
WA942       1000  31     32.00
WA942       1100   1     31.00
WA942       1100   2     36.00
WA942       1100   3     38.00
WA942       1100   4     33.00
WA942       1100   5     33.00
WA942       1100   6     33.00
WA942       1100   7     32.00
WA942       1100   8     30.00
WA942       1100   9     26.00
WA942       1100  10     22.00
WA942       1100  11     20.00
WA942       1100  12     24.00
WA942       1100  13     27.00
WA942       1100  14     24.00
WA942       1100  15     24.00
WA942       1100  16     26.00
WA942       1100  17     28.00
WA942       1100  18     33.00
WA942       1100  19     38.00
WA942       1100  20     38.00
WA942       1100  21     36.00
WA942       1100  22     36.00
WA942       1100  23     33.00
WA942       1100  24     32.00
WA942       1100  25     32.00
WA942       1100  26     32.00
WA942       1100  27     26.00
WA942       1100  28     25.00
WA942       1100  29     33.00
WA942       1100  30     34.00
WA942       1200   1     36.00
WA942       1200   2     30.00
WA942       1200   3     33.00
WA942       1200   4     40.00
WA942       1200   5     43.00
WA942       1200   6     42.00
WA942       1200   7     38.00
WA942       1200   8     30.00
WA942       1200   9     26.00
WA942       1200  10     18.00
WA942       1200  11     19.00
WA942       1200  12     23.00
WA942       1200  13     23.00
WA942       1200  14     25.00
WA942       1200  15     22.00
WA942       1200  16     29.00
WA942       1200  17     24.00
WA942       1200  18     24.00
WA942       1200  19     27.00
WA942       1200  20     27.00
WA942       1200  21     35.00
WA942       1200  22     34.00
WA942       1200  23     33.00
WA942       1200  24     30.00
WA942       1200  25     31.00
WA942       1200  26     38.00
WA942       1200  27     32.00
WA942       1200  28     41.00
WA942       1200  29     37.00
WA942       1200  30     39.00
WA942       1200  31     32.00
WA942       0101   1     32.00
WA942       0101   2     46.00
WA942       0101   3     36.00
WA942       0101   4     38.00
WA942       0101   5     31.00
WA942       0101   6     27.00
WA942       0101   7     43.00
WA942       0101   8     29.00
WA942       0101   9     27.00
WA942       0101  10     32.00
WA942       0101  11     32.00
WA942       0101  12     29.00
WA942       0101  13     27.00
WA942       0101  14     25.00
WA942       0101  15     23.00
WA942       0101  16     24.00
