$ Get data for 908:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:42:25 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA908           Alpine Meadows
WA908       0800  21     42.00
WA908       0800  22     50.00
WA908       0800  23     54.00
WA908       0800  24     52.00
WA908       0800  25     49.00
WA908       0800  26     42.00
WA908       0800  27     39.00
WA908       0800  28     39.00
WA908       0800  29     45.00
WA908       0800  30     48.00
WA908       0800  31     40.00
WA908       0900   1     38.00
WA908       0900   2     40.00
WA908       0900   3     38.00
WA908       0900   4     40.00
WA908       0900   5     40.00
WA908       0900   6     42.00
WA908       0900   7     41.00
WA908       0900   8     36.00
WA908       0900   9     40.00
WA908       0900  10     44.00
WA908       0900  11     41.00
WA908       0900  12     44.00
WA908       0900  13     49.00
WA908       0900  14     53.00
WA908       0900  15     47.00
WA908       0900  16     47.00
WA908       0900  17     49.00
WA908       0900  18     51.00
WA908       0900  19     48.00
WA908       0900  20     46.00
WA908       0900  21     37.00
WA908       0900  22     33.00
WA908       0900  23     36.00
WA908       0900  24     45.00
WA908       0900  25     47.00
WA908       0900  26     49.00
WA908       0900  27     48.00
WA908       0900  28   -999.00
WA908       0900  29   -999.00
WA908       0900  30   -999.00
WA908       1000   1   -999.00
WA908       1000   2   -999.00
WA908       1000   3   -999.00
WA908       1000   4   -999.00
WA908       1000   5   -999.00
WA908       1000   6   -999.00
WA908       1000   7   -999.00
WA908       1000   8   -999.00
WA908       1000   9   -999.00
WA908       1000  10   -999.00
WA908       1000  11     40.00
WA908       1000  12     40.00
WA908       1000  13     38.00
WA908       1000  14     32.00
WA908       1000  15     30.00
WA908       1000  16     38.00
WA908       1000  17     40.00
WA908       1000  18     37.00
WA908       1000  19     35.00
WA908       1000  20     34.00
WA908       1000  21     31.00
WA908       1000  22     31.00
WA908       1000  23     40.00
WA908       1000  24     42.00
WA908       1000  25     42.00
WA908       1000  26     39.00
WA908       1000  27     37.00
WA908       1000  28     34.00
WA908       1000  29     34.00
WA908       1000  30     33.00
WA908       1000  31     30.00
WA908       1100   1     29.00
WA908       1100   2     34.00
WA908       1100   3     37.00
WA908       1100   4     32.00
WA908       1100   5     32.00
WA908       1100   6     31.00
WA908       1100   7     31.00
WA908       1100   8     29.00
WA908       1100   9     25.00
WA908       1100  10     19.00
WA908       1100  11     18.00
WA908       1100  12     22.00
WA908       1100  13     24.00
WA908       1100  14     22.00
WA908       1100  15     23.00
WA908       1100  16     23.00
WA908       1100  17     25.00
WA908       1100  18     28.00
WA908       1100  19     34.00
WA908       1100  20     36.00
WA908       1100  21     33.00
WA908       1100  22     32.00
WA908       1100  23     34.00
WA908       1100  24     30.00
WA908       1100  25     31.00
WA908       1100  26     31.00
WA908       1100  27     26.00
WA908       1100  28     24.00
WA908       1100  29     31.00
WA908       1100  30     32.00
WA908       1200   1     31.00
WA908       1200   2     30.00
WA908       1200   3     29.00
WA908       1200   4     35.00
WA908       1200   5     37.00
WA908       1200   6     36.00
WA908       1200   7     35.00
WA908       1200   8     30.00
WA908       1200   9     25.00
WA908       1200  10     16.00
WA908       1200  11     16.00
WA908       1200  12     16.00
WA908       1200  13     21.00
WA908       1200  14     21.00
WA908       1200  15     18.00
WA908       1200  16     23.00
WA908       1200  17     25.00
WA908       1200  18     24.00
WA908       1200  19     22.00
WA908       1200  20     22.00
WA908       1200  21     29.00
WA908       1200  22     31.00
WA908       1200  23     31.00
WA908       1200  24     29.00
WA908       1200  25     30.00
WA908       1200  26     35.00
WA908       1200  27     28.00
WA908       1200  28     32.00
WA908       1200  29     35.00
WA908       1200  30     36.00
WA908       1200  31     32.00
WA908       0101   1     30.00
WA908       0101   2     41.00
WA908       0101   3     32.00
WA908       0101   4     36.00
WA908       0101   5     31.00
WA908       0101   6     27.00
WA908       0101   7     35.00
WA908       0101   8     31.00
WA908       0101   9     26.00
WA908       0101  10     31.00
WA908       0101  11     32.00
WA908       0101  12     29.00
WA908       0101  13     27.00
WA908       0101  14     25.00
WA908       0101  15     21.00
WA908       0101  16     22.00
WA908       0101  17     25.00
WA908       0101  18     33.00
WA908       0101  19     28.00
WA908       0101  20     28.00
WA908       0101  21     31.00
WA908       0101  22     29.00
WA908       0101  23     33.00
WA908       0101  24     30.00
WA908       0101  25     26.00
WA908       0101  26     25.00
WA908       0101  27     28.00
WA908       0101  28     29.00
WA908       0101  29     27.00
WA908       0101  30     27.00
WA908       0101  31     31.00
WA908       0201   1     30.00
WA908       0201   2     29.00
WA908       0201   3     28.00
WA908       0201   4     32.00
WA908       0201   5     24.00
WA908       0201   6     17.00
WA908       0201   7     14.00
WA908       0201   8     19.00
WA908       0201   9     22.00
WA908       0201  10     20.00
WA908       0201  11     22.00
WA908       0201  12     22.00
WA908       0201  13     23.00
WA908       0201  14     27.00
WA908       0201  15     25.00
WA908       0201  16     25.00
WA908       0201  17     30.00
WA908       0201  18     30.00
WA908       0201  19     28.00
WA908       0201  20     30.00
WA908       0201  21     31.00
WA908       0201  22     30.00
WA908       0201  23     29.00
WA908       0201  24     25.00
WA908       0201  25     24.00
WA908       0201  26     22.00
WA908       0201  27     28.00
WA908       0201  28     28.00
WA908       0301   1     28.00
WA908       0301   2     26.00
WA908       0301   3     21.00
WA908       0301   4     21.00
WA908       0301   5     33.00
WA908       0301   6     37.00
WA908       0301   7     38.00
WA908       0301   8     30.00
WA908       0301   9     28.00
WA908       0301  10     28.00
WA908       0301  11     30.00
WA908       0301  12     31.00
WA908       0301  13     29.00
WA908       0301  14     29.00
WA908       0301  15     28.00
WA908       0301  16     27.00
WA908       0301  17     28.00
WA908       0301  18     32.00
WA908       0301  19     27.00
WA908       0301  20     26.00
WA908       0301  21     26.00
WA908       0301  22     31.00
WA908       0301  23     36.00
WA908       0301  24     38.00
WA908       0301  25     31.00
WA908       0301  26     28.00
WA908       0301  27     25.00
WA908       0301  28     29.00
WA908       0301  29     28.00
WA908       0301  30     31.00
WA908       0301  31     27.00
WA908       0401   1     25.00
WA908       0401   2     26.00
WA908       0401   3     25.00
WA908       0401   4     25.00
WA908       0401   5     29.00
WA908       0401   6     27.00
WA908       0401   7     26.00
WA908       0401   8     27.00
WA908       0401   9     29.00
WA908       0401  10     29.00
WA908       0401  11     27.00
WA908       0401  12     26.00
WA908       0401  13     24.00
WA908       0401  14     22.00
WA908       0401  15     28.00
WA908       0401  16     35.00
WA908       0401  17     33.00
WA908       0401  18     31.00
WA908       0401  19     31.00
WA908       0401  20     31.00
WA908       0401  21     33.00
WA908       0401  22     28.00
WA908       0401  23     33.00
WA908       0401  24     35.00
WA908       0401  25     40.00
WA908       0401  26     38.00
WA908       0401  27     35.00
WA908       0401  28     31.00
WA908       0401  29     30.00
WA908       0401  30     30.00
WA908       0501   1     30.00
WA908       0501   2     31.00
WA908       0501   3     31.00
WA908       0501   4     32.00
WA908       0501   5     28.00
WA908       0501   6     28.00
WA908       0501   7     37.00
WA908       0501   8     33.00
WA908       0501   9     30.00
WA908       0501  10     31.00
WA908       0501  11     38.00
WA908       0501  12     38.00
WA908       0501  13     37.00
WA908       0501  14     35.00
WA908       0501  15     33.00
WA908       0501  16     32.00
WA908       0501  17     31.00
WA908       0501  18     33.00
WA908       0501  19     31.00
WA908       0501  20     31.00
WA908       0501  21     36.00
WA908       0501  22     53.00
WA908       0501  23     48.00
WA908       0501  24     44.00
WA908       0501  25     43.00
WA908       0501  26     46.00
WA908       0501  27     38.00
WA908       0501  28     32.00
WA908       0501  29     32.00
WA908       0501  30     35.00
WA908       0501  31     45.00
WA908       0601   1     34.00
WA908       0601   2     32.00
WA908       0601   3     32.00
WA908       0601   4     35.00
WA908       0601   5     36.00
WA908       0601   6     39.00
WA908       0601   7     41.00
WA908       0601   8     45.00
WA908       0601   9     35.00
WA908       0601  10     34.00
WA908       0601  11     33.00
WA908       0601  12     32.00
WA908       0601  13     37.00
WA908       0601  14     38.00
WA908       0601  15     38.00
WA908       0601  16     38.00
WA908       0601  17     35.00
WA908       0601  18     35.00
WA908       0601  19     43.00
WA908       0601  20     50.00
WA908       0601  21     50.00
WA908       0601  22     44.00
WA908       0601  23     40.00
WA908       0601  24     38.00
WA908       0601  25     37.00
WA908       0601  26     44.00
WA908       0601  27     48.00
WA908       0601  28     41.00
WA908       0601  29     40.00
WA908       0601  30     43.00
WA908       0701   1     43.00
WA908       0701   2     44.00
WA908       0701   3     52.00
WA908       0701   4     47.00
WA908       0701   5     42.00
WA908       0701   6     40.00
WA908       0701   7     44.00
WA908       0701   8     47.00
WA908       0701   9     51.00
WA908       0701  10     53.00
WA908       0701  11     50.00
WA908       0701  12     50.00
WA908       0701  13     45.00
WA908       0701  14     45.00
WA908       0701  15     42.00
WA908       0701  16     41.00
WA908       0701  17     42.00
WA908       0701  18     43.00
WA908       0701  19     43.00
WA908       0701  20     46.00
WA908       0701  21     48.00
WA908       0701  22     48.00
WA908       0701  23     49.00
WA908       0701  24     46.00
WA908       0701  25     44.00
WA908       0701  26     47.00
WA908       0701  27     45.00
WA908       0701  28     43.00
WA908       0701  29     42.00
WA908       0701  30     46.00
WA908       0701  31     43.00
WA908       0801   1     43.00
WA908       0801   2     49.00
WA908       0801   3     49.00
WA908       0801   4     45.00
WA908       0801   5     45.00
WA908       0801   6     52.00
WA908       0801   7     48.00
WA908       0801   8     48.00
WA908       0801   9     58.00
WA908       0801  10     58.00
WA908       0801  11     54.00
WA908       0801  12     55.00
WA908       0801  13     56.00
WA908       0801  14     53.00
WA908       0801  15     54.00
WA908       0801  16     48.00
WA908       0801  17     44.00
WA908       0801  18     45.00
WA908       0801  19     43.00
WA908       0801  20     43.00
WA908       0801  21     45.00
WA908       0801  22     47.00
WA908       0801  23     44.00
WA908       0801  24     45.00
WA908       0801  25     45.00
WA908       0801  26     51.00
WA908       0801  27     49.00
WA908       0801  28     47.00
WA908       0801  29     51.00
WA908       0801  30     51.00
WA908       0801  31     49.00
WA908       0901   1     44.00
WA908       0901   2     43.00
WA908       0901   3     45.00
WA908       0901   4     41.00
WA908       0901   5     39.00
WA908       0901   6     40.00
WA908       0901   7     43.00
WA908       0901   8     44.00
WA908       0901   9     48.00
WA908       0901  10     47.00
WA908       0901  11     49.00
WA908       0901  12     52.00
WA908       0901  13     51.00
WA908       0901  14     53.00
WA908       0901  15     51.00
WA908       0901  16     47.00
WA908       0901  17     42.00
WA908       0901  18     40.00
WA908       0901  19     40.00
WA908       0901  20     46.00
WA908       0901  21     44.00
WA908       0901  22     46.00
WA908       0901  23     56.00
WA908       0901  24     54.00
WA908       0901  25     47.00
WA908       0901  26     36.00
WA908       0901  27     34.00
WA908       0901  28     35.00
WA908       0901  29     43.00
WA908       0901  30     49.00
WA908       1001   1     45.00
WA908       1001   2     43.00
WA908       1001   3     42.00
WA908       1001   4     44.00
WA908       1001   5     42.00
WA908       1001   6     36.00
WA908       1001   7     36.00
WA908       1001   8     34.00
WA908       1001   9     34.00
WA908       1001  10     33.00
WA908       1001  11     33.00
WA908       1001  12     33.00
WA908       1001  13     34.00
WA908       1001  14     39.00
WA908       1001  15     38.00
WA908       1001  16     32.00
WA908       1001  17     32.00
WA908       1001  18     32.00
WA908       1001  19     34.00
WA908       1001  20     32.00
WA908       1001  21     32.00
WA908       1001  22     34.00
WA908       1001  23     31.00
WA908       1001  24     30.00
WA908       1001  25     32.00
WA908       1001  26     38.00
WA908       1001  27     26.00
WA908       1001  28     25.00
WA908       1001  29     30.00
WA908       1001  30     39.00
WA908       1001  31     35.00
WA908       1101   1     37.00
WA908       1101   2     37.00
WA908       1101   3     38.00
WA908       1101   4     35.00
WA908       1101   5     28.00
WA908       1101   6     28.00
WA908       1101   7     29.00
WA908       1101   8     37.00
WA908       1101   9     42.00
WA908       1101  10     44.00
WA908       1101  11     42.00
WA908       1101  12     41.00
WA908       1101  13     39.00
WA908       1101  14     44.00
WA908       1101  15     38.00
WA908       1101  16     33.00
WA908       1101  17     29.00
WA908       1101  18     31.00
WA908       1101  19     38.00
WA908       1101  20     37.00
WA908       1101  21     34.00
WA908       1101  22     32.00
WA908       1101  23     29.00
WA908       1101  24     28.00
WA908       1101  25     28.00
WA908       1101  26     29.00
WA908       1101  27     26.00
WA908       1101  28     25.00
WA908       1101  29     26.00
WA908       1101  30     27.00
WA908       1201   1     31.00
WA908       1201   2     28.00
WA908       1201   3     24.00
WA908       1201   4     26.00
WA908       1201   5     25.00
WA908       1201   6     27.00
WA908       1201   7     30.00
WA908       1201   8     28.00
WA908       1201   9     23.00
WA908       1201  10     26.00
WA908       1201  11     26.00
WA908       1201  12     27.00
WA908       1201  13     32.00
WA908       1201  14     24.00
WA908       1201  15     26.00
WA908       1201  16     31.00
WA908       1201  17     21.00
WA908       1201  18     22.00
WA908       1201  19     26.00
WA908       1201  20     29.00
WA908       1201  21     28.00
WA908       1201  22     26.00
WA908       1201  23     28.00
WA908       1201  24     28.00
WA908       1201  25     29.00
WA908       1201  26     29.00
WA908       1201  27     32.00
WA908       1201  28     31.00
WA908       1201  29     31.00
WA908       1201  30     32.00
WA908       1201  31     31.00
WA908       0102   1     30.00
