$ Get data for 681:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:29:38 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA681           Park Creek Ridge
WA681       0800  20     40.00
WA681       0800  21     41.00
WA681       0800  22     50.00
WA681       0800  23     54.00
WA681       0800  24     54.00
WA681       0800  25     49.00
WA681       0800  26     41.00
WA681       0800  27     38.00
WA681       0800  28     38.00
WA681       0800  29     45.00
WA681       0800  30     46.00
WA681       0800  31     38.00
WA681       0900   1     35.00
WA681       0900   2     40.00
WA681       0900   3     37.00
WA681       0900   4     38.00
WA681       0900   5     40.00
WA681       0900   6     41.00
WA681       0900   7     42.00
WA681       0900   8     34.00
WA681       0900   9     35.00
WA681       0900  10     40.00
WA681       0900  11     38.00
WA681       0900  12     50.00
WA681       0900  13     49.00
WA681       0900  14     56.00
WA681       0900  15     51.00
WA681       0900  16     48.00
WA681       0900  17     50.00
WA681       0900  18     49.00
WA681       0900  19     46.00
WA681       0900  20     44.00
WA681       0900  21     38.00
WA681       0900  22     33.00
WA681       0900  23     31.00
WA681       0900  24     38.00
WA681       0900  25     42.00
WA681       0900  26     46.00
WA681       0900  27     47.00
WA681       0900  28     47.00
WA681       0900  29     44.00
WA681       0900  30     43.00
WA681       1000   1     35.00
WA681       1000   2     33.00
WA681       1000   3     31.00
WA681       1000   4     33.00
WA681       1000   5     31.00
WA681       1000   6     34.00
WA681       1000   7     37.00
WA681       1000   8     41.00
WA681       1000   9     42.00
WA681       1000  10     41.00
WA681       1000  11     40.00
WA681       1000  12     40.00
WA681       1000  13     38.00
WA681       1000  14     31.00
WA681       1000  15     32.00
WA681       1000  16     33.00
WA681       1000  17     35.00
WA681       1000  18     37.00
WA681       1000  19     32.00
WA681       1000  20     30.00
WA681       1000  21     26.00
WA681       1000  22     26.00
WA681       1000  23     31.00
WA681       1000  24     33.00
WA681       1000  25     36.00
WA681       1000  26     36.00
WA681       1000  27     34.00
WA681       1000  28     31.00
WA681       1000  29     31.00
WA681       1000  30     31.00
WA681       1000  31     29.00
WA681       1100   1     26.00
WA681       1100   2     29.00
WA681       1100   3     31.00
WA681       1100   4     27.00
WA681       1100   5     27.00
WA681       1100   6     28.00
WA681       1100   7     28.00
WA681       1100   8     25.00
WA681       1100   9     20.00
WA681       1100  10     15.00
WA681       1100  11     13.00
WA681       1100  12     20.00
WA681       1100  13     18.00
WA681       1100  14     16.00
WA681       1100  15     18.00
WA681       1100  16     18.00
WA681       1100  17     18.00
WA681       1100  18     18.00
WA681       1100  19     21.00
WA681       1100  20     20.00
WA681       1100  21     18.00
WA681       1100  22     20.00
WA681       1100  23     18.00
WA681       1100  24     21.00
WA681       1100  25     20.00
WA681       1100  26     20.00
WA681       1100  27     21.00
WA681       1100  28     17.00
WA681       1100  29     20.00
WA681       1100  30     23.00
WA681       1200   1     24.00
WA681       1200   2     24.00
WA681       1200   3     21.00
WA681       1200   4     21.00
WA681       1200   5     24.00
WA681       1200   6     20.00
WA681       1200   7     19.00
WA681       1200   8     18.00
WA681       1200   9     18.00
WA681       1200  10      4.00
WA681       1200  11      5.00
