$ Get data for 630:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:26 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA630           Miners Ridge
WA630       0300   6     11.00
WA630       0300   7     11.00
WA630       0300   8     20.00
WA630       0300   9     19.00
WA630       0300  10     18.00
WA630       0300  11     19.00
WA630       0300  12     16.00
WA630       0300  13     21.00
WA630       0300  14     19.00
WA630       0300  15     15.00
WA630       0300  16     17.00
WA630       0300  17     17.00
WA630       0300  18     18.00
WA630       0300  19     14.00
WA630       0300  20     13.00
WA630       0300  21     20.00
WA630       0300  22     18.00
WA630       0300  23     17.00
WA630       0300  24     17.00
WA630       0300  25     18.00
WA630       0300  26     19.00
WA630       0300  27     21.00
WA630       0300  28     18.00
WA630       0300  29     17.00
WA630       0300  30     21.00
WA630       0300  31     23.00
WA630       0400   1     31.00
WA630       0400   2     29.00
WA630       0400   3     36.00
WA630       0400   4     19.00
WA630       0400   5     18.00
WA630       0400   6     15.00
WA630       0400   7     15.00
WA630       0400   8     35.00
WA630       0400   9     29.00
WA630       0400  10     26.00
WA630       0400  11     37.00
WA630       0400  12     36.00
WA630       0400  13     30.00
WA630       0400  14     29.00
WA630       0400  15     25.00
WA630       0400  16     28.00
WA630       0400  17     26.00
WA630       0400  18     28.00
WA630       0400  19     25.00
WA630       0400  20     27.00
WA630       0400  21     33.00
WA630       0400  22     22.00
WA630       0400  23     17.00
WA630       0400  24     17.00
WA630       0400  25     22.00
WA630       0400  26     19.00
WA630       0400  27     22.00
WA630       0400  28     20.00
WA630       0400  29     19.00
WA630       0400  30     30.00
WA630       0500   1     31.00
WA630       0500   2     31.00
WA630       0500   3     24.00
WA630       0500   4     23.00
WA630       0500   5     22.00
WA630       0500   6     20.00
WA630       0500   7     22.00
WA630       0500   8     27.00
WA630       0500   9     25.00
WA630       0500  10     22.00
WA630       0500  11     24.00
WA630       0500  12     22.00
WA630       0500  13     29.00
WA630       0500  14     35.00
WA630       0500  15     37.00
WA630       0500  16     32.00
WA630       0500  17     29.00
WA630       0500  18     28.00
WA630       0500  19     34.00
WA630       0500  20     33.00
WA630       0500  21     35.00
WA630       0500  22     31.00
WA630       0500  23     27.00
WA630       0500  24     30.00
WA630       0500  25     27.00
WA630       0500  26     28.00
WA630       0500  27     29.00
WA630       0500  28     29.00
WA630       0500  29     28.00
