$ Get data for 702:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:31:50 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA702           Potato Hill
WA702       0800  21     34.00
WA702       0800  22     40.00
WA702       0800  23     42.00
WA702       0800  24     42.00
WA702       0800  25     45.00
WA702       0800  26     40.00
WA702       0800  27     34.00
WA702       0800  28     33.00
WA702       0800  29     36.00
WA702       0800  30     46.00
WA702       0800  31     40.00
WA702       0900   1     31.00
WA702       0900   2     30.00
WA702       0900   3     31.00
WA702       0900   4     35.00
WA702       0900   5     40.00
WA702       0900   6     38.00
WA702       0900   7     33.00
WA702       0900   8     39.00
WA702       0900   9     36.00
WA702       0900  10     44.00
WA702       0900  11     40.00
WA702       0900  12     38.00
WA702       0900  13     41.00
WA702       0900  14     54.00
WA702       0900  15     46.00
WA702       0900  16     46.00
WA702       0900  17     47.00
WA702       0900  18     48.00
WA702       0900  19     46.00
WA702       0900  20     39.00
WA702       0900  21     36.00
WA702       0900  22     31.00
WA702       0900  23     33.00
WA702       0900  24     34.00
WA702       0900  25     32.00
WA702       0900  26     35.00
WA702       0900  27     36.00
WA702       0900  28     38.00
WA702       0900  29     45.00
WA702       0900  30     49.00
WA702       1000   1     36.00
WA702       1000   2     33.00
WA702       1000   3     33.00
WA702       1000   4     31.00
WA702       1000   5     36.00
WA702       1000   6     38.00
WA702       1000   7     34.00
WA702       1000   8     31.00
WA702       1000   9     38.00
WA702       1000  10     39.00
WA702       1000  11     36.00
WA702       1000  12     40.00
WA702       1000  13     39.00
WA702       1000  14     28.00
WA702       1000  15     27.00
WA702       1000  16     37.00
WA702       1000  17     34.00
WA702       1000  18     31.00
WA702       1000  19     29.00
WA702       1000  20     34.00
WA702       1000  21     29.00
WA702       1000  22     25.00
WA702       1000  23     31.00
WA702       1000  24     29.00
WA702       1000  25     33.00
WA702       1000  26     38.00
WA702       1000  27     31.00
WA702       1000  28     33.00
WA702       1000  29     33.00
WA702       1000  30     27.00
WA702       1000  31     27.00
WA702       1100   1     28.00
WA702       1100   2     34.00
WA702       1100   3     34.00
WA702       1100   4     31.00
WA702       1100   5     31.00
WA702       1100   6     33.00
WA702       1100   7     31.00
WA702       1100   8     29.00
WA702       1100   9     20.00
WA702       1100  10     18.00
WA702       1100  11     11.00
WA702       1100  12     10.00
WA702       1100  13     21.00
WA702       1100  14     16.00
WA702       1100  15      9.00
WA702       1100  16     13.00
WA702       1100  17     15.00
WA702       1100  18     10.00
WA702       1100  19     20.00
WA702       1100  20     21.00
WA702       1100  21     22.00
WA702       1100  22     19.00
WA702       1100  23     22.00
WA702       1100  24     30.00
WA702       1100  25     31.00
WA702       1100  26     30.00
WA702       1100  27     17.00
WA702       1100  28     18.00
WA702       1100  29     27.00
WA702       1100  30     32.00
WA702       1200   1     30.00
WA702       1200   2     24.00
WA702       1200   3     24.00
WA702       1200   4     30.00
WA702       1200   5     29.00
WA702       1200   6     27.00
WA702       1200   7     26.00
WA702       1200   8     19.00
WA702       1200   9     25.00
WA702       1200  10      8.00
WA702       1200  11     11.00
WA702       1200  12     15.00
WA702       1200  13     17.00
WA702       1200  14     28.00
WA702       1200  15     20.00
WA702       1200  16     23.00
WA702       1200  17     13.00
WA702       1200  18     15.00
WA702       1200  19     26.00
WA702       1200  20     25.00
WA702       1200  21     24.00
WA702       1200  22     25.00
WA702       1200  23     31.00
WA702       1200  24     27.00
WA702       1200  25     27.00
WA702       1200  26     30.00
WA702       1200  27     27.00
WA702       1200  28     26.00
WA702       1200  29     29.00
WA702       1200  30     30.00
WA702       1200  31     25.00
WA702       0101   1     20.00
WA702       0101   2     30.00
WA702       0101   3     29.00
WA702       0101   4     35.00
WA702       0101   5     31.00
WA702       0101   6     21.00
WA702       0101   7     29.00
WA702       0101   8     30.00
WA702       0101   9     24.00
WA702       0101  10     29.00
WA702       0101  11     29.00
WA702       0101  12     30.00
WA702       0101  13     27.00
WA702       0101  14     24.00
WA702       0101  15     13.00
WA702       0101  16     11.00
WA702       0101  17     11.00
WA702       0101  18     31.00
WA702       0101  19     19.00
WA702       0101  20     24.00
WA702       0101  21     28.00
WA702       0101  22     25.00
WA702       0101  23     28.00
WA702       0101  24     28.00
WA702       0101  25     16.00
WA702       0101  26     23.00
WA702       0101  27     18.00
WA702       0101  28     16.00
WA702       0101  29     23.00
WA702       0101  30     26.00
WA702       0101  31     26.00
WA702       0201   1     24.00
WA702       0201   2     28.00
WA702       0201   3     20.00
WA702       0201   4     33.00
WA702       0201   5     24.00
WA702       0201   6     11.00
WA702       0201   7      0.00
WA702       0201   8     17.00
WA702       0201   9     20.00
WA702       0201  10     20.00
WA702       0201  11     21.00
WA702       0201  12     12.00
WA702       0201  13     18.00
WA702       0201  14     17.00
WA702       0201  15     24.00
WA702       0201  16     22.00
WA702       0201  17     20.00
WA702       0201  18     26.00
WA702       0201  19     26.00
WA702       0201  20     30.00
WA702       0201  21     30.00
WA702       0201  22     23.00
WA702       0201  23     28.00
WA702       0201  24     15.00
WA702       0201  25     11.00
WA702       0201  26     16.00
WA702       0201  27     22.00
WA702       0201  28     17.00
WA702       0301   1     21.00
WA702       0301   2     17.00
WA702       0301   3      9.00
WA702       0301   4     25.00
WA702       0301   5     31.00
WA702       0301   6     29.00
WA702       0301   7     32.00
WA702       0301   8     31.00
WA702       0301   9     30.00
WA702       0301  10     30.00
WA702       0301  11     28.00
WA702       0301  12     31.00
WA702       0301  13     29.00
WA702       0301  14     26.00
WA702       0301  15     26.00
WA702       0301  16     26.00
WA702       0301  17     28.00
WA702       0301  18     35.00
WA702       0301  19     21.00
WA702       0301  20     15.00
WA702       0301  21     14.00
WA702       0301  22     20.00
WA702       0301  23     28.00
WA702       0301  24     35.00
WA702       0301  25     31.00
WA702       0301  26     22.00
WA702       0301  27     22.00
WA702       0301  28     30.00
WA702       0301  29     24.00
WA702       0301  30     29.00
WA702       0301  31     30.00
WA702       0401   1     27.00
WA702       0401   2     25.00
WA702       0401   3     21.00
WA702       0401   4     19.00
WA702       0401   5     24.00
WA702       0401   6     25.00
WA702       0401   7     24.00
WA702       0401   8     25.00
WA702       0401   9     28.00
WA702       0401  10     29.00
WA702       0401  11     22.00
WA702       0401  12     19.00
WA702       0401  13     24.00
WA702       0401  14     16.00
WA702       0401  15     29.00
WA702       0401  16     34.00
WA702       0401  17     33.00
WA702       0401  18     29.00
WA702       0401  19     29.00
WA702       0401  20     29.00
WA702       0401  21     28.00
WA702       0401  22     27.00
WA702       0401  23     32.00
WA702       0401  24     31.00
WA702       0401  25     31.00
WA702       0401  26     33.00
WA702       0401  27     31.00
WA702       0401  28     29.00
WA702       0401  29     29.00
WA702       0401  30     30.00
WA702       0501   1     29.00
WA702       0501   2     28.00
WA702       0501   3     25.00
WA702       0501   4     30.00
WA702       0501   5     28.00
WA702       0501   6     24.00
WA702       0501   7     29.00
WA702       0501   8     30.00
WA702       0501   9     29.00
WA702       0501  10     30.00
WA702       0501  11     33.00
WA702       0501  12     38.00
WA702       0501  13     38.00
WA702       0501  14     34.00
WA702       0501  15     33.00
WA702       0501  16     33.00
WA702       0501  17     32.00
WA702       0501  18     31.00
WA702       0501  19     31.00
WA702       0501  20     28.00
WA702       0501  21     32.00
WA702       0501  22     41.00
WA702       0501  23     43.00
WA702       0501  24     38.00
WA702       0501  25     34.00
WA702       0501  26     34.00
WA702       0501  27     41.00
WA702       0501  28     31.00
WA702       0501  29     28.00
WA702       0501  30     30.00
WA702       0501  31     37.00
WA702       0601   1     33.00
WA702       0601   2     33.00
WA702       0601   3     32.00
WA702       0601   4     35.00
WA702       0601   5     35.00
WA702       0601   6     39.00
WA702       0601   7     33.00
WA702       0601   8     42.00
WA702       0601   9     39.00
WA702       0601  10     35.00
WA702       0601  11     33.00
WA702       0601  12     32.00
WA702       0601  13     37.00
WA702       0601  14     37.00
WA702       0601  15     33.00
WA702       0601  16     35.00
WA702       0601  17     36.00
WA702       0601  18     37.00
WA702       0601  19     36.00
WA702       0601  20     38.00
WA702       0601  21     40.00
WA702       0601  22     43.00
WA702       0601  23     34.00
WA702       0601  24     34.00
WA702       0601  25     34.00
WA702       0601  26     41.00
WA702       0601  27     47.00
WA702       0601  28     41.00
WA702       0601  29     35.00
WA702       0601  30     40.00
WA702       0701   1     39.00
WA702       0701   2     36.00
WA702       0701   3     41.00
WA702       0701   4     45.00
WA702       0701   5     36.00
WA702       0701   6     42.00
WA702       0701   7     41.00
WA702       0701   8     40.00
WA702       0701   9     40.00
WA702       0701  10     45.00
WA702       0701  11     46.00
WA702       0701  12     44.00
WA702       0701  13     40.00
WA702       0701  14     35.00
WA702       0701  15     42.00
WA702       0701  16     40.00
WA702       0701  17     41.00
WA702       0701  18     40.00
WA702       0701  19     40.00
WA702       0701  20     47.00
WA702       0701  21     46.00
WA702       0701  22     46.00
WA702       0701  23     46.00
WA702       0701  24     47.00
WA702       0701  25     42.00
WA702       0701  26     37.00
WA702       0701  27     48.00
WA702       0701  28     42.00
WA702       0701  29     40.00
WA702       0701  30     45.00
WA702       0701  31     36.00
WA702       0801   1     34.00
WA702       0801   2     45.00
WA702       0801   3     45.00
WA702       0801   4     40.00
WA702       0801   5     38.00
WA702       0801   6     41.00
