$ Get data for 975:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:40:49 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA975           Swamp Creek
WA975       0800  20     38.00
WA975       0800  21     35.00
WA975       0800  22     40.00
WA975       0800  23     43.00
WA975       0800  24     48.00
WA975       0800  25     46.00
WA975       0800  26     43.00
WA975       0800  27     35.00
WA975       0800  28     32.00
WA975       0800  29     40.00
WA975       0800  30     42.00
WA975       0800  31     40.00
WA975       0900   1     35.00
WA975       0900   2     38.00
WA975       0900   3     39.00
WA975       0900   4     33.00
WA975       0900   5     40.00
WA975       0900   6     43.00
WA975       0900   7     36.00
WA975       0900   8     39.00
WA975       0900   9     39.00
WA975       0900  10     35.00
WA975       0900  11     34.00
WA975       0900  12     39.00
WA975       0900  13     41.00
WA975       0900  14     50.00
WA975       0900  15     47.00
WA975       0900  16     45.00
WA975       0900  17     44.00
WA975       0900  18     50.00
WA975       0900  19     39.00
WA975       0900  20     39.00
WA975       0900  21     36.00
WA975       0900  22     29.00
WA975       0900  23     29.00
WA975       0900  24     35.00
WA975       0900  25     37.00
WA975       0900  26     37.00
WA975       0900  27     36.00
WA975       0900  28     40.00
WA975       0900  29     44.00
WA975       0900  30     35.00
WA975       1000   1     32.00
WA975       1000   2     35.00
WA975       1000   3     31.00
WA975       1000   4     31.00
WA975       1000   5     28.00
WA975       1000   6     38.00
WA975       1000   7     45.00
WA975       1000   8     36.00
WA975       1000   9     39.00
WA975       1000  10     41.00
WA975       1000  11     35.00
WA975       1000  12     32.00
WA975       1000  13     37.00
WA975       1000  14     29.00
WA975       1000  15     27.00
WA975       1000  16     33.00
WA975       1000  17     36.00
WA975       1000  18     38.00
WA975       1000  19     34.00
WA975       1000  20     35.00
WA975       1000  21     30.00
WA975       1000  22     28.00
WA975       1000  23     33.00
WA975       1000  24     35.00
WA975       1000  25     31.00
WA975       1000  26     32.00
