$ Get data for 734:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:34:09 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA734           Sasse Ridge
WA734       0800  21     42.00
WA734       0800  22     50.00
WA734       0800  23     56.00
WA734       0800  24     49.00
WA734       0800  25     45.00
WA734       0800  26     41.00
WA734       0800  27     37.00
WA734       0800  28     38.00
WA734       0800  29     47.00
WA734       0800  30     45.00
WA734       0800  31     35.00
WA734       0900   1     34.00
WA734       0900   2     37.00
WA734       0900   3     35.00
WA734       0900   4     37.00
WA734       0900   5     38.00
WA734       0900   6     40.00
WA734       0900   7     43.00
WA734       0900   8     35.00
WA734       0900   9     35.00
WA734       0900  10     39.00
WA734       0900  11     39.00
WA734       0900  12     48.00
WA734       0900  13     50.00
WA734       0900  14     54.00
WA734       0900  15     44.00
WA734       0900  16     43.00
WA734       0900  17     46.00
WA734       0900  18     49.00
WA734       0900  19     46.00
WA734       0900  20     41.00
WA734       0900  21     33.00
WA734       0900  22     27.00
WA734       0900  23     29.00
WA734       0900  24     36.00
WA734       0900  25     40.00
WA734       0900  26     45.00
WA734       0900  27     48.00
WA734       0900  28     43.00
WA734       0900  29     45.00
WA734       0900  30     46.00
WA734       1000   1     35.00
WA734       1000   2     31.00
WA734       1000   3     31.00
WA734       1000   4     33.00
WA734       1000   5     33.00
WA734       1000   6     33.00
WA734       1000   7     37.00
WA734       1000   8     44.00
WA734       1000   9     39.00
WA734       1000  10     36.00
WA734       1000  11     36.00
WA734       1000  12     37.00
WA734       1000  13     36.00
WA734       1000  14     30.00
WA734       1000  15     31.00
WA734       1000  16     38.00
WA734       1000  17     39.00
WA734       1000  18     33.00
WA734       1000  19     31.00
WA734       1000  20     29.00
WA734       1000  21     27.00
WA734       1000  22     28.00
WA734       1000  23     30.00
WA734       1000  24     33.00
WA734       1000  25     36.00
WA734       1000  26     36.00
WA734       1000  27     37.00
WA734       1000  28     32.00
WA734       1000  29     32.00
WA734       1000  30     31.00
WA734       1000  31     27.00
WA734       1100   1     26.00
WA734       1100   2     30.00
WA734       1100   3     33.00
WA734       1100   4     30.00
WA734       1100   5     28.00
WA734       1100   6     29.00
WA734       1100   7     28.00
WA734       1100   8     24.00
WA734       1100   9     19.00
WA734       1100  10     12.00
WA734       1100  11     12.00
WA734       1100  12     20.00
WA734       1100  13     16.00
WA734       1100  14     15.00
WA734       1100  15     18.00
WA734       1100  16     13.00
WA734       1100  17     14.00
WA734       1100  18     15.00
WA734       1100  19     19.00
WA734       1100  20     18.00
WA734       1100  21     19.00
WA734       1100  22     21.00
WA734       1100  23     17.00
WA734       1100  24     25.00
WA734       1100  25     24.00
WA734       1100  26     27.00
WA734       1100  27     20.00
WA734       1100  28     19.00
WA734       1100  29     21.00
WA734       1100  30     27.00
WA734       1200   1     26.00
WA734       1200   2     24.00
WA734       1200   3     22.00
WA734       1200   4     25.00
WA734       1200   5     21.00
WA734       1200   6     23.00
WA734       1200   7     16.00
WA734       1200   8     12.00
WA734       1200   9     20.00
WA734       1200  10     10.00
WA734       1200  11      4.00
WA734       1200  12      4.00
WA734       1200  13      4.00
WA734       1200  14      9.00
WA734       1200  15     11.00
WA734       1200  16      9.00
WA734       1200  17     20.00
WA734       1200  18     19.00
WA734       1200  19     18.00
WA734       1200  20     18.00
WA734       1200  21     16.00
WA734       1200  22     17.00
WA734       1200  23     22.00
WA734       1200  24     25.00
WA734       1200  25     26.00
WA734       1200  26     27.00
WA734       1200  27     24.00
WA734       1200  28     24.00
WA734       1200  29     23.00
WA734       1200  30     25.00
WA734       1200  31     24.00
WA734       0101   1     18.00
WA734       0101   2     19.00
WA734       0101   3     26.00
WA734       0101   4     32.00
WA734       0101   5     25.00
WA734       0101   6     21.00
WA734       0101   7     19.00
WA734       0101   8     25.00
WA734       0101   9     21.00
WA734       0101  10     22.00
WA734       0101  11     24.00
WA734       0101  12     28.00
WA734       0101  13     24.00
WA734       0101  14     20.00
WA734       0101  15     17.00
WA734       0101  16     15.00
WA734       0101  17     13.00
WA734       0101  18     19.00
WA734       0101  19     20.00
WA734       0101  20     18.00
WA734       0101  21     21.00
WA734       0101  22     21.00
WA734       0101  23     21.00
WA734       0101  24     24.00
WA734       0101  25     18.00
WA734       0101  26     17.00
WA734       0101  27     19.00
WA734       0101  28     10.00
WA734       0101  29     15.00
WA734       0101  30     22.00
WA734       0101  31     28.00
WA734       0201   1     28.00
WA734       0201   2     25.00
WA734       0201   3     22.00
WA734       0201   4     25.00
WA734       0201   5     20.00
WA734       0201   6     12.00
WA734       0201   7     11.00
WA734       0201   8     14.00
WA734       0201   9     14.00
WA734       0201  10     12.00
WA734       0201  11     18.00
WA734       0201  12     17.00
WA734       0201  13     22.00
WA734       0201  14     23.00
WA734       0201  15     16.00
WA734       0201  16     13.00
WA734       0201  17     13.00
WA734       0201  18     22.00
WA734       0201  19     23.00
WA734       0201  20     24.00
WA734       0201  21     23.00
WA734       0201  22     24.00
WA734       0201  23     23.00
WA734       0201  24     22.00
WA734       0201  25     19.00
WA734       0201  26     19.00
WA734       0201  27     21.00
WA734       0201  28     20.00
WA734       0301   1     23.00
WA734       0301   2     20.00
WA734       0301   3     16.00
WA734       0301   4     20.00
WA734       0301   5     29.00
WA734       0301   6     34.00
WA734       0301   7     35.00
WA734       0301   8     26.00
WA734       0301   9     25.00
WA734       0301  10     22.00
WA734       0301  11     22.00
WA734       0301  12     30.00
WA734       0301  13     22.00
WA734       0301  14     20.00
WA734       0301  15     22.00
WA734       0301  16     20.00
WA734       0301  17     23.00
WA734       0301  18     31.00
WA734       0301  19     21.00
WA734       0301  20     22.00
WA734       0301  21     24.00
WA734       0301  22     33.00
WA734       0301  23     36.00
WA734       0301  24     36.00
WA734       0301  25     30.00
WA734       0301  26     24.00
WA734       0301  27     21.00
WA734       0301  28     27.00
WA734       0301  29     22.00
WA734       0301  30     27.00
WA734       0301  31     27.00
WA734       0401   1     20.00
WA734       0401   2     20.00
WA734       0401   3     20.00
WA734       0401   4     22.00
WA734       0401   5     28.00
WA734       0401   6     21.00
WA734       0401   7     20.00
WA734       0401   8     20.00
WA734       0401   9     22.00
WA734       0401  10     23.00
WA734       0401  11     23.00
WA734       0401  12     24.00
WA734       0401  13     20.00
WA734       0401  14     19.00
WA734       0401  15     27.00
WA734       0401  16     36.00
WA734       0401  17     32.00
WA734       0401  18     28.00
WA734       0401  19     27.00
WA734       0401  20     30.00
WA734       0401  21     29.00
WA734       0401  22     27.00
WA734       0401  23     34.00
WA734       0401  24     35.00
WA734       0401  25     40.00
WA734       0401  26     42.00
WA734       0401  27     36.00
WA734       0401  28     27.00
WA734       0401  29     27.00
WA734       0401  30     27.00
WA734       0501   1     25.00
WA734       0501   2     25.00
WA734       0501   3     30.00
WA734       0501   4     31.00
WA734       0501   5     25.00
WA734       0501   6     24.00
WA734       0501   7     36.00
WA734       0501   8     32.00
WA734       0501   9     30.00
WA734       0501  10     30.00
WA734       0501  11     41.00
WA734       0501  12     38.00
WA734       0501  13     37.00
WA734       0501  14     33.00
WA734       0501  15     30.00
WA734       0501  16     30.00
WA734       0501  17     29.00
WA734       0501  18     31.00
WA734       0501  19     31.00
WA734       0501  20     29.00
WA734       0501  21     37.00
WA734       0501  22     52.00
WA734       0501  23     55.00
WA734       0501  24     48.00
WA734       0501  25     45.00
WA734       0501  26     49.00
WA734       0501  27     38.00
WA734       0501  28     29.00
WA734       0501  29     28.00
WA734       0501  30     34.00
WA734       0501  31     46.00
WA734       0601   1     32.00
WA734       0601   2     31.00
WA734       0601   3     30.00
WA734       0601   4     34.00
WA734       0601   5     36.00
WA734       0601   6     38.00
WA734       0601   7     42.00
WA734       0601   8     45.00
WA734       0601   9     35.00
WA734       0601  10     33.00
WA734       0601  11     30.00
WA734       0601  12     29.00
WA734       0601  13     33.00
WA734       0601  14     38.00
WA734       0601  15     34.00
WA734       0601  16     34.00
WA734       0601  17     33.00
WA734       0601  18     34.00
WA734       0601  19     45.00
WA734       0601  20     51.00
WA734       0601  21     49.00
WA734       0601  22     40.00
WA734       0601  23     37.00
WA734       0601  24     35.00
WA734       0601  25     33.00
WA734       0601  26     42.00
WA734       0601  27     46.00
WA734       0601  28     40.00
WA734       0601  29     38.00
WA734       0601  30     44.00
WA734       0701   1     41.00
WA734       0701   2     45.00
WA734       0701   3     54.00
WA734       0701   4     51.00
WA734       0701   5     43.00
WA734       0701   6     41.00
WA734       0701   7     46.00
WA734       0701   8     51.00
WA734       0701   9     54.00
WA734       0701  10     53.00
WA734       0701  11     51.00
WA734       0701  12     54.00
WA734       0701  13     47.00
WA734       0701  14     45.00
WA734       0701  15     41.00
WA734       0701  16     40.00
WA734       0701  17     40.00
WA734       0701  18     41.00
WA734       0701  19     40.00
WA734       0701  20     46.00
WA734       0701  21     47.00
WA734       0701  22     46.00
WA734       0701  23     47.00
WA734       0701  24   -999.00
WA734       0701  25     52.00
WA734       0701  26     52.00
WA734       0701  27     49.00
WA734       0701  28     41.00
WA734       0701  29     40.00
WA734       0701  30     42.00
WA734       0701  31     43.00
WA734       0801   1     49.00
WA734       0801   2     50.00
WA734       0801   3     50.00
WA734       0801   4     46.00
WA734       0801   5     46.00
WA734       0801   6     52.00
WA734       0801   7     48.00
WA734       0801   8     54.00
WA734       0801   9     59.00
WA734       0801  10     60.00
WA734       0801  11     59.00
WA734       0801  12     64.00
WA734       0801  13     66.00
WA734       0801  14     66.00
WA734       0801  15     67.00
WA734       0801  16     57.00
WA734       0801  17     46.00
WA734       0801  18     45.00
WA734       0801  19     43.00
WA734       0801  20     44.00
WA734       0801  21     44.00
WA734       0801  22     47.00
WA734       0801  23     42.00
WA734       0801  24     42.00
WA734       0801  25     46.00
WA734       0801  26     56.00
WA734       0801  27     52.00
WA734       0801  28     51.00
WA734       0801  29     56.00
WA734       0801  30     54.00
WA734       0801  31     49.00
WA734       0901   1     42.00
WA734       0901   2     43.00
WA734       0901   3     49.00
WA734       0901   4     40.00
WA734       0901   5     38.00
WA734       0901   6     38.00
WA734       0901   7     41.00
WA734       0901   8     46.00
WA734       0901   9     51.00
WA734       0901  10     53.00
WA734       0901  11     53.00
