$ Get data for 911:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:33:12 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA911           Rex River
WA911       0800  21     41.00
WA911       0800  22     51.00
WA911       0800  23     53.00
WA911       0800  24     51.00
WA911       0800  25     46.00
WA911       0800  26     41.00
WA911       0800  27     38.00
WA911       0800  28     37.00
WA911       0800  29     44.00
WA911       0800  30     45.00
WA911       0800  31     38.00
WA911       0900   1     37.00
WA911       0900   2     37.00
WA911       0900   3     36.00
WA911       0900   4     38.00
WA911       0900   5     39.00
WA911       0900   6     40.00
WA911       0900   7     40.00
WA911       0900   8     36.00
WA911       0900   9     39.00
WA911       0900  10     44.00
WA911       0900  11     40.00
WA911       0900  12     44.00
WA911       0900  13     48.00
WA911       0900  14     52.00
WA911       0900  15     49.00
WA911       0900  16     47.00
WA911       0900  17     49.00
WA911       0900  18     51.00
WA911       0900  19     47.00
WA911       0900  20     45.00
WA911       0900  21     39.00
WA911       0900  22     34.00
WA911       0900  23     37.00
WA911       0900  24     47.00
WA911       0900  25     49.00
WA911       0900  26     51.00
WA911       0900  27     47.00
WA911       0900  28     42.00
WA911       0900  29     44.00
WA911       0900  30     48.00
WA911       1000   1     37.00
WA911       1000   2     32.00
WA911       1000   3     31.00
WA911       1000   4     30.00
WA911       1000   5     40.00
WA911       1000   6     44.00
WA911       1000   7     47.00
WA911       1000   8     44.00
WA911       1000   9     43.00
WA911       1000  10     38.00
WA911       1000  11     39.00
WA911       1000  12     38.00
WA911       1000  13     39.00
WA911       1000  14     31.00
WA911       1000  15     30.00
WA911       1000  16     38.00
WA911       1000  17     41.00
WA911       1000  18     34.00
WA911       1000  19     33.00
WA911       1000  20     31.00
WA911       1000  21     30.00
WA911       1000  22     29.00
WA911       1000  23     39.00
WA911       1000  24     41.00
WA911       1000  25     42.00
WA911       1000  26     36.00
WA911       1000  27     38.00
WA911       1000  28     32.00
WA911       1000  29     33.00
WA911       1000  30     33.00
WA911       1000  31     31.00
WA911       1100   1     29.00
WA911       1100   2     35.00
WA911       1100   3     35.00
WA911       1100   4     31.00
WA911       1100   5     31.00
WA911       1100   6     32.00
WA911       1100   7     31.00
WA911       1100   8     27.00
WA911       1100   9     24.00
WA911       1100  10     20.00
WA911       1100  11     18.00
WA911       1100  12     20.00
WA911       1100  13     22.00
WA911       1100  14     21.00
WA911       1100  15     21.00
WA911       1100  16     22.00
WA911       1100  17     23.00
WA911       1100  18     29.00
WA911       1100  19     29.00
WA911       1100  20     28.00
WA911       1100  21     30.00
WA911       1100  22     33.00
WA911       1100  23     32.00
WA911       1100  24     31.00
WA911       1100  25     31.00
WA911       1100  26     31.00
WA911       1100  27     25.00
WA911       1100  28     24.00
WA911       1100  29     27.00
WA911       1100  30     32.00
WA911       1200   1     31.00
WA911       1200   2     27.00
WA911       1200   3     28.00
WA911       1200   4     32.00
WA911       1200   5     39.00
WA911       1200   6     37.00
WA911       1200   7     34.00
WA911       1200   8     29.00
WA911       1200   9     24.00
WA911       1200  10     13.00
WA911       1200  11     14.00
WA911       1200  12     14.00
WA911       1200  13     18.00
WA911       1200  14     23.00
WA911       1200  15     19.00
WA911       1200  16     19.00
WA911       1200  17     22.00
WA911       1200  18     21.00
WA911       1200  19     23.00
WA911       1200  20     23.00
WA911       1200  21     23.00
WA911       1200  22     24.00
WA911       1200  23     29.00
WA911       1200  24     28.00
WA911       1200  25     31.00
WA911       1200  26     37.00
WA911       1200  27     28.00
WA911       1200  28     33.00
WA911       1200  29     33.00
WA911       1200  30     33.00
WA911       1200  31     29.00
WA911       0101   1     28.00
WA911       0101   2     38.00
WA911       0101   3     34.00
WA911       0101   4     37.00
WA911       0101   5     30.00
WA911       0101   6     26.00
WA911       0101   7     33.00
WA911       0101   8     27.00
WA911       0101   9     27.00
WA911       0101  10     28.00
WA911       0101  11     30.00
WA911       0101  12     29.00
WA911       0101  13     26.00
WA911       0101  14     25.00
WA911       0101  15     20.00
WA911       0101  16     20.00
WA911       0101  17     26.00
WA911       0101  18     35.00
WA911       0101  19     25.00
WA911       0101  20     26.00
WA911       0101  21     27.00
WA911       0101  22     28.00
WA911       0101  23     29.00
WA911       0101  24     29.00
WA911       0101  25     22.00
WA911       0101  26     26.00
WA911       0101  27     29.00
WA911       0101  28     24.00
WA911       0101  29     22.00
WA911       0101  30     26.00
WA911       0101  31     30.00
WA911       0201   1     31.00
WA911       0201   2     28.00
WA911       0201   3     27.00
WA911       0201   4     31.00
WA911       0201   5     24.00
WA911       0201   6     15.00
WA911       0201   7     12.00
WA911       0201   8     20.00
WA911       0201   9     19.00
WA911       0201  10     18.00
WA911       0201  11     23.00
WA911       0201  12     20.00
WA911       0201  13     23.00
WA911       0201  14     28.00
WA911       0201  15     20.00
WA911       0201  16     19.00
WA911       0201  17     24.00
WA911       0201  18     27.00
WA911       0201  19     29.00
WA911       0201  20     32.00
WA911       0201  21     30.00
WA911       0201  22     28.00
WA911       0201  23     29.00
WA911       0201  24     24.00
WA911       0201  25     22.00
WA911       0201  26     21.00
WA911       0201  27     29.00
WA911       0201  28     27.00
WA911       0301   1     26.00
WA911       0301   2     21.00
WA911       0301   3     17.00
WA911       0301   4     26.00
WA911       0301   5     34.00
WA911       0301   6     41.00
WA911       0301   7     42.00
WA911       0301   8     29.00
WA911       0301   9     24.00
WA911       0301  10     24.00
WA911       0301  11     28.00
WA911       0301  12     31.00
WA911       0301  13     28.00
WA911       0301  14     26.00
WA911       0301  15     27.00
WA911       0301  16     26.00
WA911       0301  17     28.00
WA911       0301  18     32.00
WA911       0301  19     25.00
WA911       0301  20     24.00
WA911       0301  21     23.00
WA911       0301  22     31.00
WA911       0301  23     38.00
WA911       0301  24     38.00
WA911       0301  25     29.00
WA911       0301  26     26.00
WA911       0301  27     23.00
WA911       0301  28     28.00
WA911       0301  29     26.00
WA911       0301  30     30.00
WA911       0301  31     27.00
WA911       0401   1     25.00
WA911       0401   2     25.00
WA911       0401   3     26.00
WA911       0401   4     25.00
WA911       0401   5     29.00
WA911       0401   6     25.00
WA911       0401   7     23.00
WA911       0401   8     25.00
WA911       0401   9     28.00
WA911       0401  10     26.00
WA911       0401  11     22.00
WA911       0401  12     25.00
WA911       0401  13     24.00
WA911       0401  14     21.00
WA911       0401  15     33.00
WA911       0401  16     36.00
WA911       0401  17     32.00
WA911       0401  18     31.00
WA911       0401  19     29.00
WA911       0401  20     29.00
WA911       0401  21     30.00
WA911       0401  22     27.00
WA911       0401  23     35.00
WA911       0401  24     38.00
WA911       0401  25     41.00
WA911       0401  26     39.00
WA911       0401  27     35.00
WA911       0401  28     29.00
WA911       0401  29     28.00
WA911       0401  30     29.00
WA911       0501   1     28.00
WA911       0501   2     29.00
WA911       0501   3     30.00
WA911       0501   4     31.00
WA911       0501   5     27.00
WA911       0501   6     26.00
WA911       0501   7     38.00
WA911       0501   8     35.00
WA911       0501   9     30.00
WA911       0501  10     29.00
WA911       0501  11     40.00
WA911       0501  12     39.00
WA911       0501  13     37.00
WA911       0501  14     33.00
WA911       0501  15     31.00
WA911       0501  16     31.00
WA911       0501  17     30.00
WA911       0501  18     33.00
WA911       0501  19     32.00
WA911       0501  20     29.00
WA911       0501  21     37.00
WA911       0501  22     56.00
WA911       0501  23     46.00
WA911       0501  24     44.00
WA911       0501  25     41.00
WA911       0501  26     46.00
WA911       0501  27     40.00
WA911       0501  28     31.00
WA911       0501  29     31.00
WA911       0501  30     33.00
WA911       0501  31     46.00
WA911       0601   1     33.00
WA911       0601   2     32.00
WA911       0601   3     31.00
WA911       0601   4     35.00
WA911       0601   5     35.00
WA911       0601   6     39.00
WA911       0601   7     40.00
WA911       0601   8     44.00
WA911       0601   9     35.00
WA911       0601  10     32.00
WA911       0601  11     31.00
WA911       0601  12     31.00
WA911       0601  13     37.00
WA911       0601  14     37.00
WA911       0601  15     36.00
WA911       0601  16     36.00
WA911       0601  17     38.00
WA911       0601  18     37.00
WA911       0601  19     41.00
WA911       0601  20     50.00
WA911       0601  21     46.00
WA911       0601  22     43.00
WA911       0601  23     38.00
WA911       0601  24     36.00
WA911       0601  25     36.00
WA911       0601  26     47.00
WA911       0601  27     47.00
WA911       0601  28     39.00
WA911       0601  29     38.00
WA911       0601  30     44.00
WA911       0701   1     42.00
WA911       0701   2     43.00
WA911       0701   3     51.00
WA911       0701   4     49.00
WA911       0701   5     40.00
WA911       0701   6     40.00
WA911       0701   7     42.00
WA911       0701   8     45.00
WA911       0701   9     49.00
WA911       0701  10     52.00
WA911       0701  11     49.00
WA911       0701  12     48.00
WA911       0701  13     44.00
WA911       0701  14     42.00
WA911       0701  15     41.00
WA911       0701  16     39.00
WA911       0701  17     41.00
WA911       0701  18     41.00
WA911       0701  19     42.00
WA911       0701  20     45.00
WA911       0701  21     47.00
WA911       0701  22     47.00
WA911       0701  23     47.00
WA911       0701  24     46.00
WA911       0701  25     42.00
WA911       0701  26     46.00
WA911       0701  27     45.00
WA911       0701  28     41.00
WA911       0701  29     40.00
WA911       0701  30     44.00
WA911       0701  31     41.00
WA911       0801   1     41.00
WA911       0801   2     47.00
WA911       0801   3     48.00
WA911       0801   4     43.00
WA911       0801   5     44.00
WA911       0801   6     51.00
WA911       0801   7     46.00
WA911       0801   8     47.00
WA911       0801   9     59.00
WA911       0801  10     56.00
WA911       0801  11     52.00
WA911       0801  12     53.00
WA911       0801  13     56.00
WA911       0801  14     52.00
WA911       0801  15     53.00
WA911       0801  16     46.00
WA911       0801  17     42.00
WA911       0801  18     44.00
WA911       0801  19     42.00
WA911       0801  20     41.00
WA911       0801  21     43.00
WA911       0801  22     47.00
WA911       0801  23     41.00
WA911       0801  24     43.00
WA911       0801  25     43.00
WA911       0801  26     50.00
WA911       0801  27     47.00
WA911       0801  28     47.00
WA911       0801  29     48.00
WA911       0801  30     51.00
WA911       0801  31     48.00
WA911       0901   1     42.00
WA911       0901   2     41.00
WA911       0901   3     44.00
WA911       0901   4     41.00
WA911       0901   5     38.00
WA911       0901   6     39.00
WA911       0901   7     42.00
WA911       0901   8     44.00
WA911       0901   9     46.00
WA911       0901  10     44.00
WA911       0901  11     48.00
WA911       0901  12     50.00
WA911       0901  13     51.00
WA911       0901  14     52.00
WA911       0901  15     50.00
WA911       0901  16     46.00
WA911       0901  17     42.00
WA911       0901  18     41.00
WA911       0901  19     39.00
WA911       0901  20     40.00
WA911       0901  21     45.00
WA911       0901  22     47.00
WA911       0901  23     56.00
WA911       0901  24     53.00
WA911       0901  25     45.00
WA911       0901  26     35.00
WA911       0901  27     33.00
WA911       0901  28     36.00
WA911       0901  29     43.00
WA911       0901  30     54.00
WA911       1001   1     42.00
WA911       1001   2     41.00
WA911       1001   3     40.00
WA911       1001   4     48.00
WA911       1001   5     42.00
WA911       1001   6     35.00
WA911       1001   7     34.00
WA911       1001   8     32.00
WA911       1001   9     33.00
WA911       1001  10     34.00
WA911       1001  11     31.00
WA911       1001  12     32.00
WA911       1001  13     34.00
WA911       1001  14     40.00
WA911       1001  15     41.00
WA911       1001  16     34.00
WA911       1001  17     31.00
WA911       1001  18     30.00
WA911       1001  19     36.00
WA911       1001  20     30.00
WA911       1001  21     33.00
WA911       1001  22     32.00
WA911       1001  23     29.00
WA911       1001  24     29.00
WA911       1001  25     33.00
WA911       1001  26     38.00
WA911       1001  27     26.00
WA911       1001  28     23.00
WA911       1001  29     33.00
WA911       1001  30     38.00
WA911       1001  31     31.00
WA911       1101   1     35.00
WA911       1101   2     36.00
WA911       1101   3     42.00
WA911       1101   4     33.00
WA911       1101   5     28.00
WA911       1101   6     28.00
WA911       1101   7     28.00
WA911       1101   8     35.00
WA911       1101   9     43.00
WA911       1101  10     43.00
WA911       1101  11     41.00
WA911       1101  12     39.00
WA911       1101  13     38.00
WA911       1101  14     43.00
WA911       1101  15     37.00
WA911       1101  16     33.00
WA911       1101  17     29.00
WA911       1101  18     35.00
WA911       1101  19     35.00
WA911       1101  20     33.00
WA911       1101  21     32.00
WA911       1101  22     31.00
WA911       1101  23     28.00
WA911       1101  24     28.00
WA911       1101  25     27.00
WA911       1101  26     28.00
WA911       1101  27     26.00
WA911       1101  28     22.00
WA911       1101  29     24.00
WA911       1101  30     26.00
WA911       1201   1     29.00
WA911       1201   2     26.00
WA911       1201   3     23.00
WA911       1201   4     24.00
WA911       1201   5     23.00
WA911       1201   6     26.00
WA911       1201   7     28.00
WA911       1201   8     27.00
WA911       1201   9     24.00
WA911       1201  10     24.00
WA911       1201  11     26.00
WA911       1201  12     24.00
WA911       1201  13     29.00
WA911       1201  14     23.00
WA911       1201  15     25.00
WA911       1201  16     29.00
WA911       1201  17     19.00
WA911       1201  18     22.00
WA911       1201  19     22.00
WA911       1201  20     28.00
WA911       1201  21     27.00
WA911       1201  22     25.00
WA911       1201  23     27.00
WA911       1201  24     26.00
WA911       1201  25     23.00
WA911       1201  26     21.00
WA911       1201  27     25.00
WA911       1201  28     26.00
WA911       1201  29     27.00
WA911       1201  30     29.00
WA911       1201  31     29.00
WA911       0102   1     28.00
WA911       0102   2     29.00
WA911       0102   3     30.00
WA911       0102   4     31.00
WA911       0102   5     31.00
WA911       0102   6     33.00
WA911       0102   7     39.00
WA911       0102   8     33.00
WA911       0102   9     31.00
WA911       0102  10     34.00
WA911       0102  11     35.00
WA911       0102  12     26.00
WA911       0102  13     24.00
WA911       0102  14     20.00
WA911       0102  15     18.00
WA911       0102  16     19.00
WA911       0102  17     21.00
WA911       0102  18     20.00
WA911       0102  19     26.00
WA911       0102  20     25.00
WA911       0102  21     21.00
WA911       0102  22     22.00
WA911       0102  23     23.00
WA911       0102  24     31.00
WA911       0102  25     23.00
WA911       0102  26     17.00
WA911       0102  27     17.00
WA911       0102  28     15.00
WA911       0102  29     15.00
WA911       0102  30     23.00
WA911       0102  31     27.00
WA911       0202   1     25.00
WA911       0202   2     25.00
WA911       0202   3     23.00
WA911       0202   4     26.00
WA911       0202   5     29.00
WA911       0202   6     29.00
WA911       0202   7     25.00
WA911       0202   8     25.00
WA911       0202   9     24.00
WA911       0202  10     24.00
WA911       0202  11     19.00
WA911       0202  12     27.00
WA911       0202  13     23.00
WA911       0202  14     23.00
WA911       0202  15     31.00
WA911       0202  16     28.00
WA911       0202  17     28.00
WA911       0202  18     31.00
WA911       0202  19     28.00
WA911       0202  20     27.00
WA911       0202  21     31.00
WA911       0202  22     38.00
WA911       0202  23     26.00
WA911       0202  24     18.00
WA911       0202  25     19.00
WA911       0202  26     19.00
WA911       0202  27     23.00
WA911       0202  28     19.00
WA911       0302   1     18.00
WA911       0302   2     24.00
WA911       0302   3     31.00
WA911       0302   4     31.00
WA911       0302   5     25.00
WA911       0302   6     18.00
WA911       0302   7     15.00
WA911       0302   8     15.00
WA911       0302   9     21.00
WA911       0302  10     26.00
WA911       0302  11     29.00
WA911       0302  12     27.00
WA911       0302  13     26.00
WA911       0302  14     25.00
WA911       0302  15     21.00
WA911       0302  16     20.00
WA911       0302  17     18.00
WA911       0302  18     19.00
WA911       0302  19     27.00
WA911       0302  20     20.00
WA911       0302  21     19.00
WA911       0302  22     29.00
WA911       0302  23     32.00
WA911       0302  24     33.00
WA911       0302  25     30.00
WA911       0302  26     25.00
WA911       0302  27     24.00
WA911       0302  28     29.00
WA911       0302  29     27.00
WA911       0302  30     30.00
WA911       0302  31     30.00
WA911       0402   1     27.00
WA911       0402   2     27.00
WA911       0402   3     31.00
WA911       0402   4     36.00
WA911       0402   5     35.00
WA911       0402   6     32.00
WA911       0402   7     28.00
WA911       0402   8     26.00
WA911       0402   9     34.00
