$ Get data for 841:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:43:37 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA841           Upper Wheeler
WA841       0800  20     38.00
WA841       0800  21     41.00
WA841       0800  22     47.00
WA841       0800  23     55.00
WA841       0800  24     56.00
WA841       0800  25     48.00
WA841       0800  26     42.00
WA841       0800  27     38.00
WA841       0800  28     38.00
WA841       0800  29     47.00
WA841       0800  30     46.00
WA841       0800  31     42.00
WA841       0900   1     33.00
WA841       0900   2     36.00
WA841       0900   3     35.00
WA841       0900   4     38.00
WA841       0900   5     38.00
WA841       0900   6     40.00
WA841       0900   7     43.00
WA841       0900   8     33.00
WA841       0900   9     33.00
WA841       0900  10     40.00
WA841       0900  11     37.00
WA841       0900  12     46.00
WA841       0900  13     49.00
WA841       0900  14     54.00
WA841       0900  15     49.00
WA841       0900  16     46.00
WA841       0900  17     50.00
WA841       0900  18     53.00
WA841       0900  19     48.00
WA841       0900  20     42.00
WA841       0900  21     30.00
WA841       0900  22     27.00
WA841       0900  23     28.00
WA841       0900  24     34.00
WA841       0900  25     36.00
WA841       0900  26     41.00
WA841       0900  27     45.00
WA841       0900  28     50.00
WA841       0900  29     47.00
WA841       0900  30     46.00
WA841       1000   1     39.00
WA841       1000   2     32.00
WA841       1000   3     29.00
WA841       1000   4     31.00
WA841       1000   5     30.00
WA841       1000   6     31.00
WA841       1000   7     35.00
WA841       1000   8     41.00
WA841       1000   9     38.00
WA841       1000  10     40.00
WA841       1000  11     41.00
WA841       1000  12     39.00
WA841       1000  13     36.00
WA841       1000  14     32.00
WA841       1000  15     30.00
WA841       1000  16     38.00
WA841       1000  17     39.00
WA841       1000  18     36.00
WA841       1000  19     33.00
WA841       1000  20     30.00
WA841       1000  21     27.00
WA841       1000  22     27.00
WA841       1000  23     29.00
WA841       1000  24     30.00
WA841       1000  25     35.00
WA841       1000  26     35.00
WA841       1000  27     37.00
WA841       1000  28     32.00
WA841       1000  29     31.00
WA841       1000  30     29.00
WA841       1000  31     27.00
WA841       1100   1     28.00
WA841       1100   2     29.00
WA841       1100   3     31.00
WA841       1100   4     28.00
WA841       1100   5     28.00
WA841       1100   6     28.00
WA841       1100   7     28.00
WA841       1100   8     23.00
WA841       1100   9     19.00
WA841       1100  10     11.00
WA841       1100  11     12.00
WA841       1100  12     19.00
WA841       1100  13     18.00
WA841       1100  14     16.00
WA841       1100  15     14.00
WA841       1100  16     14.00
WA841       1100  17     12.00
WA841       1100  18     16.00
WA841       1100  19     20.00
WA841       1100  20     17.00
WA841       1100  21     20.00
WA841       1100  22     21.00
WA841       1100  23     14.00
WA841       1100  24     24.00
WA841       1100  25     19.00
WA841       1100  26     26.00
WA841       1100  27     19.00
WA841       1100  28     17.00
WA841       1100  29     21.00
WA841       1100  30     23.00
WA841       1200   1     24.00
WA841       1200   2     22.00
WA841       1200   3     21.00
WA841       1200   4     23.00
WA841       1200   5     20.00
WA841       1200   6     15.00
WA841       1200   7     16.00
WA841       1200   8     12.00
WA841       1200   9     16.00
WA841       1200  10      7.00
WA841       1200  11      5.00
WA841       1200  12      4.00
WA841       1200  13      2.00
WA841       1200  14      6.00
WA841       1200  15      7.00
WA841       1200  16      3.00
WA841       1200  17     18.00
WA841       1200  18     16.00
WA841       1200  19     18.00
WA841       1200  20     16.00
WA841       1200  21     15.00
WA841       1200  22     17.00
WA841       1200  23     20.00
WA841       1200  24     21.00
WA841       1200  25     23.00
WA841       1200  26     23.00
WA841       1200  27     24.00
WA841       1200  28     21.00
WA841       1200  29     22.00
WA841       1200  30     23.00
WA841       1200  31     24.00
WA841       0101   1     17.00
WA841       0101   2     18.00
WA841       0101   3     22.00
WA841       0101   4     31.00
WA841       0101   5     26.00
WA841       0101   6     22.00
WA841       0101   7     19.00
WA841       0101   8     22.00
WA841       0101   9     17.00
WA841       0101  10     21.00
WA841       0101  11     25.00
WA841       0101  12     25.00
WA841       0101  13     20.00
WA841       0101  14     20.00
WA841       0101  15     15.00
WA841       0101  16     14.00
WA841       0101  17      7.00
WA841       0101  18     15.00
WA841       0101  19     17.00
WA841       0101  20     13.00
WA841       0101  21     20.00
WA841       0101  22     20.00
WA841       0101  23     23.00
WA841       0101  24     25.00
WA841       0101  25     21.00
WA841       0101  26     20.00
WA841       0101  27     16.00
WA841       0101  28      9.00
WA841       0101  29     13.00
WA841       0101  30     19.00
WA841       0101  31     29.00
WA841       0201   1     29.00
WA841       0201   2     27.00
WA841       0201   3     23.00
WA841       0201   4     25.00
WA841       0201   5     22.00
WA841       0201   6     11.00
WA841       0201   7      8.00
WA841       0201   8     13.00
WA841       0201   9     11.00
WA841       0201  10     11.00
WA841       0201  11     17.00
WA841       0201  12     15.00
WA841       0201  13     22.00
WA841       0201  14     23.00
WA841       0201  15     13.00
WA841       0201  16     12.00
WA841       0201  17     12.00
WA841       0201  18     21.00
WA841       0201  19     20.00
WA841       0201  20     24.00
WA841       0201  21     22.00
WA841       0201  22     24.00
WA841       0201  23     22.00
WA841       0201  24     22.00
WA841       0201  25     17.00
WA841       0201  26     16.00
WA841       0201  27     17.00
WA841       0201  28     20.00
WA841       0301   1     24.00
WA841       0301   2     18.00
WA841       0301   3     14.00
WA841       0301   4     22.00
WA841       0301   5     26.00
WA841       0301   6     30.00
WA841       0301   7     31.00
WA841       0301   8     29.00
WA841       0301   9     27.00
WA841       0301  10     23.00
WA841       0301  11     23.00
WA841       0301  12     30.00
WA841       0301  13     24.00
WA841       0301  14     20.00
WA841       0301  15     21.00
WA841       0301  16     20.00
WA841       0301  17     26.00
WA841       0301  18     32.00
WA841       0301  19     24.00
WA841       0301  20     22.00
WA841       0301  21     24.00
WA841       0301  22     30.00
WA841       0301  23     31.00
WA841       0301  24     34.00
WA841       0301  25     32.00
WA841       0301  26     26.00
WA841       0301  27     23.00
WA841       0301  28     25.00
WA841       0301  29     26.00
WA841       0301  30     27.00
WA841       0301  31     29.00
WA841       0401   1     24.00
WA841       0401   2     24.00
WA841       0401   3     22.00
WA841       0401   4     25.00
WA841       0401   5     26.00
WA841       0401   6     25.00
WA841       0401   7     22.00
WA841       0401   8     19.00
WA841       0401   9     23.00
WA841       0401  10     26.00
WA841       0401  11     25.00
WA841       0401  12     21.00
WA841       0401  13     20.00
WA841       0401  14     18.00
WA841       0401  15     27.00
WA841       0401  16     33.00
WA841       0401  17     32.00
WA841       0401  18     29.00
WA841       0401  19     27.00
WA841       0401  20     29.00
WA841       0401  21     31.00
WA841       0401  22     29.00
WA841       0401  23     33.00
WA841       0401  24     33.00
WA841       0401  25     37.00
WA841       0401  26     41.00
WA841       0401  27     38.00
WA841       0401  28     29.00
WA841       0401  29     28.00
WA841       0401  30     30.00
WA841       0501   1     27.00
WA841       0501   2     26.00
WA841       0501   3     30.00
WA841       0501   4     34.00
WA841       0501   5     28.00
WA841       0501   6     26.00
WA841       0501   7     34.00
WA841       0501   8     38.00
WA841       0501   9     33.00
WA841       0501  10     31.00
WA841       0501  11     40.00
WA841       0501  12     45.00
WA841       0501  13     41.00
WA841       0501  14     34.00
WA841       0501  15     30.00
WA841       0501  16     31.00
WA841       0501  17     29.00
WA841       0501  18     30.00
WA841       0501  19     31.00
WA841       0501  20     31.00
WA841       0501  21     37.00
WA841       0501  22     49.00
WA841       0501  23     55.00
WA841       0501  24     51.00
WA841       0501  25     45.00
WA841       0501  26     50.00
WA841       0501  27     42.00
WA841       0501  28     32.00
WA841       0501  29     28.00
WA841       0501  30     33.00
WA841       0501  31     45.00
WA841       0601   1     33.00
WA841       0601   2     31.00
WA841       0601   3     31.00
WA841       0601   4     36.00
WA841       0601   5     36.00
WA841       0601   6     36.00
WA841       0601   7     37.00
WA841       0601   8     45.00
WA841       0601   9     39.00
WA841       0601  10     35.00
