$ Get data for 990:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:43:02 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA990           Beaver Pass
WA990       0202  23   -999.00
WA990       0202  24   -999.00
WA990       0202  25   -999.00
WA990       0202  26     18.00
WA990       0202  27     18.00
WA990       0202  28     17.00
WA990       0302   1     15.00
WA990       0302   2     18.00
WA990       0302   3     24.00
WA990       0302   4     30.00
WA990       0302   5     16.00
WA990       0302   6      9.00
WA990       0302   7      9.00
WA990       0302   8     11.00
WA990       0302   9     19.00
WA990       0302  10     26.00
WA990       0302  11     32.00
WA990       0302  12     30.00
WA990       0302  13     28.00
WA990       0302  14     27.00
WA990       0302  15     23.00
WA990       0302  16     15.00
WA990       0302  17      7.00
WA990       0302  18     15.00
WA990       0302  19     19.00
WA990       0302  20     13.00
WA990       0302  21     18.00
WA990       0302  22     26.00
WA990       0302  23     32.00
WA990       0302  24     31.00
WA990       0302  25     31.00
WA990       0302  26     29.00
WA990       0302  27     28.00
WA990       0302  28     31.00
WA990       0302  29     31.00
WA990       0302  30     32.00
WA990       0302  31     31.00
WA990       0402   1     29.00
WA990       0402   2     22.00
WA990       0402   3     27.00
WA990       0402   4     29.00
WA990       0402   5     33.00
WA990       0402   6     34.00
WA990       0402   7     29.00
WA990       0402   8     26.00
WA990       0402   9     34.00
WA990       0402  10     34.00
WA990       0402  11     34.00
WA990       0402  12     35.00
WA990       0402  13     34.00
WA990       0402  14     29.00
WA990       0402  15     29.00
WA990       0402  16     30.00
WA990       0402  17     32.00
WA990       0402  18     30.00
WA990       0402  19     29.00
WA990       0402  20     33.00
WA990       0402  21     35.00
WA990       0402  22     29.00
WA990       0402  23     25.00
WA990       0402  24     24.00
WA990       0402  25     28.00
WA990       0402  26     31.00
WA990       0402  27     32.00
WA990       0402  28     31.00
WA990       0402  29     31.00
WA990       0402  30     36.00
WA990       0502   1     33.00
WA990       0502   2     31.00
WA990       0502   3     28.00
WA990       0502   4     33.00
WA990       0502   5     27.00
WA990       0502   6     26.00
WA990       0502   7     30.00
WA990       0502   8     28.00
WA990       0502   9     27.00
WA990       0502  10     29.00
WA990       0502  11     30.00
WA990       0502  12     34.00
WA990       0502  13     35.00
WA990       0502  14     30.00
WA990       0502  15     29.00
WA990       0502  16     31.00
WA990       0502  17     34.00
WA990       0502  18     34.00
WA990       0502  19     35.00
WA990       0502  20     36.00
WA990       0502  21     36.00
WA990       0502  22     36.00
WA990       0502  23     33.00
WA990       0502  24     31.00
WA990       0502  25     37.00
WA990       0502  26     36.00
WA990       0502  27     36.00
WA990       0502  28     38.00
WA990       0502  29     37.00
WA990       0502  30     37.00
WA990       0502  31     36.00
WA990       0602   1     35.00
WA990       0602   2     37.00
WA990       0602   3     36.00
WA990       0602   4     38.00
WA990       0602   5     36.00
WA990       0602   6     35.00
WA990       0602   7     33.00
WA990       0602   8     33.00
WA990       0602   9     36.00
WA990       0602  10     38.00
WA990       0602  11     39.00
WA990       0602  12     41.00
WA990       0602  13     42.00
WA990       0602  14     43.00
WA990       0602  15     43.00
WA990       0602  16     42.00
WA990       0602  17     42.00
WA990       0602  18     38.00
WA990       0602  19     40.00
WA990       0602  20     38.00
WA990       0602  21     41.00
WA990       0602  22     44.00
WA990       0602  23     44.00
WA990       0602  24     42.00
WA990       0602  25     43.00
WA990       0602  26     48.00
WA990       0602  27     46.00
WA990       0602  28     44.00
WA990       0602  29     43.00
WA990       0602  30     42.00
WA990       0702   1     38.00
WA990       0702   2     35.00
WA990       0702   3     42.00
WA990       0702   4     40.00
WA990       0702   5     35.00
WA990       0702   6     40.00
WA990       0702   7     49.00
WA990       0702   8     42.00
WA990       0702   9     41.00
WA990       0702  10     49.00
WA990       0702  11     52.00
WA990       0702  12     49.00
WA990       0702  13     55.00
WA990       0702  14     49.00
WA990       0702  15     48.00
WA990       0702  16     48.00
WA990       0702  17     51.00
WA990       0702  18     49.00
WA990       0702  19     47.00
WA990       0702  20     43.00
WA990       0702  21     47.00
WA990       0702  22     51.00
WA990       0702  23     54.00
WA990       0702  24     52.00
WA990       0702  25     52.00
WA990       0702  26     49.00
WA990       0702  27     47.00
WA990       0702  28     48.00
WA990       0702  29     50.00
WA990       0702  30     43.00
WA990       0702  31     40.00
WA990       0802   1     41.00
WA990       0802   2     40.00
WA990       0802   3     38.00
WA990       0802   4     43.00
WA990       0802   5     42.00
WA990       0802   6     43.00
WA990       0802   7     45.00
WA990       0802   8     43.00
WA990       0802   9     48.00
WA990       0802  10     47.00
WA990       0802  11     43.00
WA990       0802  12     46.00
WA990       0802  13     51.00
WA990       0802  14     52.00
WA990       0802  15     49.00
WA990       0802  16     47.00
WA990       0802  17     44.00
WA990       0802  18     42.00
WA990       0802  19     44.00
WA990       0802  20     45.00
WA990       0802  21     48.00
WA990       0802  22     47.00
WA990       0802  23     49.00
WA990       0802  24     51.00
WA990       0802  25     52.00
WA990       0802  26     49.00
WA990       0802  27     47.00
WA990       0802  28     51.00
WA990       0802  29     50.00
WA990       0802  30     50.00
WA990       0802  31     50.00
WA990       0902   1     46.00
WA990       0902   2     46.00
WA990       0902   3     37.00
WA990       0902   4     36.00
WA990       0902   5     39.00
WA990       0902   6     38.00
WA990       0902   7     39.00
WA990       0902   8     40.00
WA990       0902   9     45.00
WA990       0902  10     44.00
WA990       0902  11     44.00
WA990       0902  12     46.00
WA990       0902  13     45.00
WA990       0902  14     48.00
WA990       0902  15     46.00
WA990       0902  16     43.00
WA990       0902  17     38.00
